phase,domain,axis,value,accuracy,n_prototypes,condensation_ratio,training_time_s,proj_dim,nonlinearity,layers,loss_type,triplet_margin,infonce_temp,ms_alpha,ms_beta,ms_base,lr,epochs,mining_strategy,batch_size
1,aircraft,proj_dim,256,34.6235,3283,0.984703,6.068,256,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,proj_dim,512,46.4146,3264,0.979004,6.045,512,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,proj_dim,1024,31.8032,3289,0.986503,6.401,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,proj_dim,2048,30.9031,3280,0.983803,6.249,2048,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,nonlinearity,relu,41.6742,3262,0.978404,6.082,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,nonlinearity,gelu,45.4245,3259,0.977504,6.301,1024,gelu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,nonlinearity,silu,33.7834,3283,0.984703,6.062,1024,silu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,nonlinearity,identity,30.5131,3279,0.983503,5.923,1024,identity,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,layers,1,35.6136,3284,0.985003,5.962,1024,relu,1,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,layers,2,37.6838,3276,0.982603,6.011,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,layers,3,33.9034,3268,0.980204,6.095,1024,relu,3,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,layers,4,24.7225,3310,0.992801,6.717,1024,relu,4,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,loss_type,triplet,39.9640,3267,0.979904,6.259,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,loss_type,infonce,68.0168,3249,0.974505,0.405,1024,relu,2,infonce,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,loss_type,multisim,67.3867,3301,0.990102,8.947,1024,relu,2,multisim,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,triplet_margin,0.1,34.7435,3275,0.982304,6.219,1024,relu,2,triplet,0.1,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,triplet_margin,0.2,43.3243,3264,0.979004,6.284,1024,relu,2,triplet,0.2,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,triplet_margin,0.3,39.3339,3261,0.978104,6.084,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,triplet_margin,0.5,34.2934,3266,0.979604,6.180,1024,relu,2,triplet,0.5,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,triplet_margin,1.0,42.2142,3250,0.974805,6.052,1024,relu,2,triplet,1.0,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,infonce_temp,0.01,52.3552,3229,0.968506,0.299,1024,relu,2,infonce,0.3,0.01,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,infonce_temp,0.05,66.4866,3220,0.965807,0.292,1024,relu,2,infonce,0.3,0.05,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,infonce_temp,0.07,61.4461,3260,0.977804,0.300,1024,relu,2,infonce,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,infonce_temp,0.1,70.1770,3262,0.978404,0.362,1024,relu,2,infonce,0.3,0.1,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,infonce_temp,0.2,58.2958,3215,0.964307,0.298,1024,relu,2,infonce,0.3,0.2,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,lr,0.0001,39.3339,3277,0.982903,6.260,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.0001,10,semi-hard,256
1,aircraft,lr,0.0005,37.5638,3278,0.983203,6.136,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.0005,10,semi-hard,256
1,aircraft,lr,0.001,42.9343,3265,0.979304,6.254,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,10,semi-hard,256
1,aircraft,lr,0.005,38.4338,3268,0.980204,6.165,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.005,10,semi-hard,256
1,aircraft,epochs,5,40.2040,3264,0.979004,3.243,1024,relu,2,triplet,0.3,0.07,2.0,50.0,0.5,0.001,5,semi-hard,256
