phase,domain,vigilance,nstp,accuracy,condensation_ratio,num_prototypes,num_train,delta_vs_g31
1,dogs,0.7000,0,89.8601,0.820833,9850,12000,-0.1199
1,dogs,0.7500,0,89.9184,0.823417,9881,12000,-0.0616
1,dogs,0.8000,0,89.9767,0.832500,9990,12000,-0.0033
1,dogs,0.8500,0,90.1282,0.856583,10279,12000,0.1482
1,dogs,0.9000,0,89.9301,0.905917,10871,12000,-0.0499
1,dogs,0.9200,0,89.8834,0.933250,11199,12000,-0.0966
1,dogs,0.9500,0,89.8368,0.978750,11745,12000,-0.1432
1,birds,0.7000,0,90.7663,0.947447,5679,5994,-0.0137
1,birds,0.7500,0,90.8526,0.951118,5701,5994,0.0726
1,birds,0.8000,0,90.8526,0.956456,5733,5994,0.0726
1,birds,0.8500,0,90.9044,0.963130,5773,5994,0.1244
1,birds,0.9000,0,90.9389,0.974308,5840,5994,0.1589
1,birds,0.9200,0,90.9044,0.979146,5869,5994,0.1244
1,birds,0.9500,0,90.8871,0.988655,5926,5994,0.1071
1,cars,0.7000,0,89.6779,0.935044,7615,8144,-0.1221
1,cars,0.7500,0,89.7401,0.943271,7682,8144,-0.0599
1,cars,0.8000,0,89.8396,0.952972,7761,8144,0.0396
1,cars,0.8500,0,89.8893,0.967829,7882,8144,0.0893
1,cars,0.9000,0,89.8271,0.986984,8038,8144,0.0271
1,cars,0.9200,0,89.8769,0.993983,8095,8144,0.0769
1,cars,0.9500,0,89.8644,0.998649,8133,8144,0.0644
1,aircraft,0.7000,0,72.9073,0.958308,3195,3334,-0.6027
1,aircraft,0.7500,0,73.1473,0.966407,3222,3334,-0.3627
1,aircraft,0.8000,0,73.2073,0.973905,3247,3334,-0.3027
1,aircraft,0.8500,0,73.3273,0.982603,3276,3334,-0.1827
1,aircraft,0.9000,0,73.4173,0.990102,3301,3334,-0.0927
1,aircraft,0.9200,0,73.4173,0.991302,3305,3334,-0.0927
1,aircraft,0.9500,0,73.4173,0.994301,3315,3334,-0.0927
2,dogs,0.7000,1,89.7669,0.820833,9850,12000,-0.2131
2,dogs,0.7000,3,89.7669,0.820833,9850,12000,-0.2131
2,dogs,0.7000,5,89.7669,0.820833,9850,12000,-0.2131
2,dogs,0.7000,10,89.7669,0.820833,9850,12000,-0.2131
2,birds,0.7000,1,90.6973,0.947447,5679,5994,-0.0827
2,birds,0.7000,3,90.6973,0.947447,5679,5994,-0.0827
2,birds,0.7000,5,90.6973,0.947447,5679,5994,-0.0827
2,birds,0.7000,10,90.6973,0.947447,5679,5994,-0.0827
2,cars,0.7000,1,89.6033,0.935044,7615,8144,-0.1967
2,cars,0.7000,3,89.6033,0.935044,7615,8144,-0.1967
2,cars,0.7000,5,89.6033,0.935044,7615,8144,-0.1967
2,cars,0.7000,10,89.6033,0.935044,7615,8144,-0.1967
2,aircraft,0.7000,1,73.0873,0.958308,3195,3334,-0.4227
2,aircraft,0.7000,3,73.0873,0.958308,3195,3334,-0.4227
2,aircraft,0.7000,5,73.0873,0.958308,3195,3334,-0.4227
2,aircraft,0.7000,10,73.0873,0.958308,3195,3334,-0.4227
