candidate_slot,candidate_class,n_queries,mean_delta,sum_positive,sum_negative,sum_zero,mean_rank,stage_mode
0,0,47,0.0,0,0,47,37.38297872340426,rerank_drop
1,0,51,0.0,0,0,51,21.764705882352942,final_survivor
2,0,48,0.0,0,0,48,23.583333333333332,final_survivor
3,0,47,0.0,0,0,47,71.76595744680851,rerank_drop
4,0,49,0.0,0,0,49,40.204081632653065,rerank_drop
5,0,47,0.0,0,0,47,75.95744680851064,rerank_drop
6,0,45,0.0,0,0,45,73.42222222222222,rerank_drop
7,0,48,0.0,0,0,48,78.85416666666667,rerank_drop
8,0,49,0.0,0,0,49,62.95918367346939,rerank_drop
9,0,49,0.0,0,0,49,43.36734693877551,rerank_drop
10,0,49,0.0,0,0,49,34.87755102040816,rerank_drop
11,0,49,0.0,0,0,49,20.79591836734694,final_survivor
12,0,48,0.0,0,0,48,25.145833333333332,final_survivor
13,0,48,0.0,0,0,48,72.75,rerank_drop
14,0,50,0.0,0,0,50,31.12,rerank_drop
15,0,46,0.0,0,0,46,48.08695652173913,rerank_drop
16,0,49,0.0,0,0,49,23.959183673469386,final_survivor
17,0,48,0.0,0,0,48,51.020833333333336,rerank_drop
18,0,48,0.0,0,0,48,38.25,rerank_drop
19,0,50,0.0,0,0,50,59.7,rerank_drop
20,0,49,0.0,0,0,49,20.285714285714285,final_survivor
21,0,51,0.0,0,0,51,46.01960784313726,rerank_drop
22,0,49,0.0,0,0,49,57.89795918367347,rerank_drop
23,0,49,0.0,0,0,49,29.367346938775512,rerank_drop
24,0,48,0.0,0,0,48,36.833333333333336,rerank_drop
25,0,47,0.0,0,0,47,79.04255319148936,rerank_drop
26,0,49,0.0,0,0,49,52.265306122448976,rerank_drop
27,0,49,0.0,0,0,49,32.775510204081634,rerank_drop
28,0,48,0.0,0,0,48,44.666666666666664,rerank_drop
29,0,50,0.0,0,0,50,27.06,final_survivor
30,0,46,0.0,0,0,46,79.58695652173913,rerank_drop
31,0,49,0.0,0,0,49,55.46938775510204,rerank_drop
32,0,48,0.0,0,0,48,33.958333333333336,rerank_drop
33,0,48,0.0,0,0,48,39.333333333333336,rerank_drop
34,0,50,0.0,0,0,50,65.96,rerank_drop
35,0,48,0.0,0,0,48,72.97916666666667,rerank_drop
36,0,49,0.0,0,0,49,24.836734693877553,final_survivor
37,0,48,0.0,0,0,48,41.291666666666664,rerank_drop
38,0,49,0.0,0,0,49,39.40816326530612,rerank_drop
39,0,48,0.0,0,0,48,17.5625,final_survivor
40,0,50,0.0,0,0,50,49.64,rerank_drop
