split,target,model,n_train,n_test,train_auc,heldout_auc,note
parity,vote_correct,baseline:rank_gap,1872,2076,0.7361,0.7203,
parity,vote_correct,baseline:support_breadth,1872,2076,0.6397,0.625,
parity,vote_correct,baseline:manifold_support,1872,2076,0.689,0.6773,
parity,vote_correct,main:rank_gap+manifold_support,1872,2076,0.7683,0.7481,
parity,vote_correct,diag:rank_gap+manifold_support+support^2,1872,2076,0.7717,0.7508,
parity,top1_correct,baseline:rank_gap,1872,2076,0.7524,0.747,
parity,top1_correct,baseline:support_breadth,1872,2076,0.5694,0.5668,
parity,top1_correct,baseline:manifold_support,1872,2076,0.6115,0.6132,
parity,top1_correct,main:rank_gap+manifold_support,1872,2076,0.7544,0.7499,
parity,top1_correct,diag:rank_gap+manifold_support+support^2,1872,2076,0.7609,0.7525,
contiguous,vote_correct,baseline:rank_gap,1448,2500,0.7678,0.7047,
contiguous,vote_correct,baseline:support_breadth,1448,2500,0.7282,0.6066,
contiguous,vote_correct,baseline:manifold_support,1448,2500,0.7613,0.6802,
contiguous,vote_correct,main:rank_gap+manifold_support,1448,2500,0.8272,0.7402,
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,1448,2500,0.8277,0.7414,
contiguous,top1_correct,baseline:rank_gap,1448,2500,0.7807,0.7317,
contiguous,top1_correct,baseline:support_breadth,1448,2500,0.6515,0.5513,
contiguous,top1_correct,baseline:manifold_support,1448,2500,0.6855,0.6118,
contiguous,top1_correct,main:rank_gap+manifold_support,1448,2500,0.795,0.7397,
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,1448,2500,0.7982,0.7428,
