split,target,model,selection,threshold,n_total,no_abstention_accuracy,retained_coverage,retained_accuracy,abstention_rate,error_capture_rate,false_abstain_rate_on_correct,n_retained,n_errors_captured
parity,vote_correct,baseline:rank_gap,youden_J_train,0.525795,2076,0.303,0.6166,0.4391,0.3834,0.5038,0.1065,1280,729
parity,vote_correct,baseline:support_breadth,youden_J_train,0.334785,2076,0.303,0.6845,0.3688,0.3155,0.3801,0.1669,1421,550
parity,vote_correct,baseline:manifold_support,youden_J_train,0.36956,2076,0.303,0.6272,0.3925,0.3728,0.4534,0.1876,1302,656
parity,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.261101,2076,0.303,0.5882,0.4431,0.4118,0.5301,0.1399,1221,767
parity,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.302301,2076,0.303,0.5265,0.4611,0.4735,0.593,0.1987,1093,858
parity,top1_correct,baseline:rank_gap,youden_J_train,0.526821,2076,0.224,0.6142,0.36,0.3858,0.4935,0.0129,1275,795
parity,top1_correct,baseline:support_breadth,youden_J_train,0.334785,2076,0.224,0.6845,0.2569,0.3155,0.3445,0.2151,1421,555
parity,top1_correct,baseline:manifold_support,youden_J_train,0.36956,2076,0.224,0.6272,0.2719,0.3728,0.4115,0.2387,1302,663
parity,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.149845,2076,0.224,0.6122,0.3596,0.3878,0.4947,0.0172,1271,797
parity,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.166698,2076,0.224,0.5882,0.3604,0.4118,0.5152,0.0538,1221,830
contiguous,vote_correct,baseline:rank_gap,youden_J_train,0.552397,2500,0.3032,0.6216,0.4266,0.3784,0.4885,0.1253,1554,851
contiguous,vote_correct,baseline:support_breadth,youden_J_train,0.421202,2500,0.3032,0.8368,0.3423,0.1632,0.2101,0.0554,2092,366
contiguous,vote_correct,baseline:manifold_support,youden_J_train,0.453164,2500,0.3032,0.7912,0.3544,0.2088,0.2669,0.0752,1978,465
contiguous,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.327983,2500,0.3032,0.694,0.4058,0.306,0.4082,0.0712,1735,711
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.353458,2500,0.3032,0.6696,0.414,0.3304,0.4369,0.0858,1674,761
contiguous,top1_correct,baseline:rank_gap,youden_J_train,0.552397,2500,0.216,0.6216,0.3372,0.3784,0.4745,0.0296,1554,930
contiguous,top1_correct,baseline:support_breadth,youden_J_train,0.372293,2500,0.216,0.876,0.2333,0.124,0.1434,0.0537,2190,281
contiguous,top1_correct,baseline:manifold_support,youden_J_train,0.388934,2500,0.216,0.8408,0.2402,0.1592,0.1852,0.0648,2102,363
contiguous,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.157117,2500,0.216,0.7036,0.3053,0.2964,0.3765,0.0056,1759,738
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.155957,2500,0.216,0.6996,0.3053,0.3004,0.3801,0.0111,1749,745
