vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.05247250199317932,0.41725000739097595,0.36477750539779663,1.067243218421936,2.907353401184082,0.6036399006843567,4,0,0,1,0,1,0,0.0,0.13923561573028564,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.1619214117527008,0.44981303811073303,0.2878916263580322,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.1619214117527008,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.06090497970581055,0.4211249351501465,0.36021995544433594,1.8057383298873901,6.0844621658325195,0.43534478545188904,9,0,0,1,0,1,1,0.43659356236457825,0.06090497970581055,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.04357784986495972,0.400023490190506,0.35644564032554626,0.854744017124176,2.3507726192474365,0.6414957046508789,3,0,0,1,0,1,0,0.0,0.16614055633544922,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.01329013705253601,0.33077308535575867,0.31748294830322266,1.5610930919647217,4.764025688171387,0.30214637517929077,5,0,0,1,0,1,0,0.0,0.056529492139816284,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.007143765687942505,0.37090781331062317,0.36376404762268066,0.6906020641326904,1.9949162006378174,0.5356581211090088,2,0,0,1,0,1,0,0.0,0.18018311262130737,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.14789654314517975,0.3164719343185425,0.16857539117336273,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.14789654314517975,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.014940142631530762,0.30077439546585083,0.28583425283432007,-0.0,1.0,1.0,1,0,2,0,2,0,1,1.0,-0.022722572088241577,0
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.10703915357589722,0.35623645782470703,0.24919730424880981,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.15269361436367035,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.013996809720993042,0.3852950930595398,0.37129828333854675,1.5459781885147095,4.692559719085693,0.3803466260433197,6,0,0,1,0,1,0,0.0,0.15860715508460999,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.15596094727516174,0.46938449144363403,0.3134235441684723,0.31277352571487427,1.3672118186950684,0.9265871047973633,3,0,0,1,0,1,0,0.0,0.18065619468688965,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.02580946683883667,0.47937342524528503,0.45356395840644836,1.0881433486938477,2.968757152557373,0.5568282604217529,6,0,0,1,0,1,0,0.0,0.273279070854187,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.010195672512054443,0.34650009870529175,0.3363044261932373,0.6879764795303345,1.989685297012329,0.5508024096488953,2,0,0,1,0,1,0,0.0,0.10328207910060883,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.11493360996246338,0.4728431701660156,0.35790956020355225,0.43430835008621216,1.54389488697052,0.8805393576622009,3,0,0,1,0,1,1,0.1194605678319931,0.11493360996246338,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.07253548502922058,0.5051571726799011,0.43262168765068054,1.2919846773147583,3.6400036811828613,0.5846630334854126,6,0,0,1,0,1,0,0.0,0.22224614024162292,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.2740296423435211,0.6920246481895447,0.41799500584602356,0.05446568503975868,1.0559762716293335,0.9922537207603455,5,0,0,1,0,1,0,0.0,0.4548094868659973,2
margin,live-delta,0,0.0,0.235223,0.421859,0.07627,0.886719,0.289211,0.439211,0.20849332213401794,0.4083974361419678,0.19990411400794983,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2315613180398941,2
