predictor,bin,n,pred_mean,pred_lo,pred_hi,emp_correct
top1_top2_margin,0,483,0.002524,1e-06,0.005233,0.772257
top1_top2_margin,1,484,0.007869,0.005233,0.011135,0.791322
top1_top2_margin,2,483,0.01437,0.011141,0.018005,0.824017
top1_top2_margin,3,484,0.021657,0.018016,0.025137,0.791322
top1_top2_margin,4,483,0.029525,0.025163,0.033925,0.821946
top1_top2_margin,5,484,0.040013,0.033925,0.045853,0.859504
top1_top2_margin,6,483,0.052646,0.045853,0.059521,0.757764
top1_top2_margin,7,484,0.068724,0.059639,0.079346,0.857438
top1_top2_margin,8,483,0.095183,0.079402,0.114506,0.89441
top1_top2_margin,9,484,0.189248,0.114743,0.531436,0.923554
vote_entropy,0,483,0.0,-0.0,-0.0,0.621118
vote_entropy,1,484,0.312446,-0.0,0.598249,0.871901
vote_entropy,2,483,0.68678,0.598598,0.799894,0.759834
vote_entropy,3,484,0.969385,0.801105,1.093718,0.816116
vote_entropy,4,483,1.24014,1.093907,1.354189,0.801242
vote_entropy,5,484,1.478454,1.355249,1.600075,0.803719
vote_entropy,6,483,1.717572,1.600208,1.838416,0.857143
vote_entropy,7,484,1.983119,1.838513,2.134606,0.902893
vote_entropy,8,483,2.260022,2.135082,2.382925,0.919255
vote_entropy,9,484,2.556205,2.384887,2.868369,0.940083
effective_support,0,483,1.0,1.0,1.0,0.621118
effective_support,1,484,1.397673,1.0,1.818932,0.871901
effective_support,2,483,1.989827,1.819567,2.225305,0.759834
effective_support,3,484,2.646787,2.228001,2.985354,0.816116
effective_support,4,483,3.467465,2.985918,3.873616,0.801242
effective_support,5,484,4.39783,3.877725,4.953405,0.803719
effective_support,6,483,5.583184,4.954062,6.28657,0.857143
effective_support,7,484,7.291779,6.28718,8.453712,0.902893
effective_support,8,483,9.607764,8.457738,10.836556,0.919255
effective_support,9,484,12.9888,10.857833,17.608282,0.940083
max_vote_weight,0,483,1.0,1.0,1.0,0.621118
max_vote_weight,1,484,0.915277,0.810872,1.0,0.92562
max_vote_weight,2,483,0.735234,0.670231,0.810069,0.867495
max_vote_weight,3,484,0.614653,0.559941,0.670083,0.847107
max_vote_weight,4,483,0.510634,0.467235,0.559429,0.774327
max_vote_weight,5,484,0.427857,0.390924,0.467008,0.818182
max_vote_weight,6,483,0.361717,0.33412,0.390883,0.84058
max_vote_weight,7,484,0.305087,0.275074,0.334055,0.838843
max_vote_weight,8,483,0.246798,0.219923,0.275043,0.875776
max_vote_weight,9,484,0.179748,0.099086,0.21969,0.884298
n_surviving_votes,0,483,1.0,1.0,1.0,0.621118
n_surviving_votes,1,484,1.952479,1.0,2.0,0.700413
n_surviving_votes,2,483,2.981366,2.0,4.0,0.73913
n_surviving_votes,3,484,4.105372,4.0,5.0,0.791322
n_surviving_votes,4,483,5.445135,5.0,6.0,0.859213
n_surviving_votes,5,484,7.024793,6.0,8.0,0.836777
n_surviving_votes,6,483,9.567288,8.0,12.0,0.865424
n_surviving_votes,7,484,14.082645,12.0,17.0,0.919421
n_surviving_votes,8,483,18.73706,17.0,20.0,0.989648
n_surviving_votes,9,484,20.0,20.0,20.0,0.971074
sim_floor_active,0,483,0.332791,0.324029,0.338568,0.745342
sim_floor_active,1,484,0.317687,0.310548,0.324029,0.807851
sim_floor_active,2,483,0.304032,0.299408,0.310548,0.853002
sim_floor_active,3,484,0.293034,0.290166,0.299408,0.85124
sim_floor_active,4,483,0.285584,0.27773,0.290166,0.869565
sim_floor_active,5,484,0.275834,0.273089,0.27773,0.900826
sim_floor_active,6,483,0.270616,0.268048,0.273089,0.877847
sim_floor_active,7,484,0.264846,0.262694,0.268048,0.855372
sim_floor_active,8,483,0.258349,0.256298,0.262694,0.813665
sim_floor_active,9,484,0.250483,0.248762,0.256298,0.719008
