predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
top1_top2_margin,rank_gap,top1_correct,1,1.0,4835,0.8294,0.0
top1_top2_margin,rank_gap,top1_correct,1,0.9,4352,0.8357,0.1333
top1_top2_margin,rank_gap,top1_correct,1,0.8,3868,0.8413,0.2558
top1_top2_margin,rank_gap,top1_correct,1,0.7,3384,0.8437,0.3588
top1_top2_margin,rank_gap,top1_correct,1,0.6,2901,0.8525,0.4812
top1_top2_margin,rank_gap,top1_correct,1,0.5,2418,0.8586,0.5855
top1_top2_margin,rank_gap,top1_correct,1,0.4,1934,0.8583,0.6679
top1_top2_margin,rank_gap,top1_correct,1,0.3,1450,0.8924,0.8109
top1_top2_margin,rank_gap,top1_correct,1,0.2,967,0.909,0.8933
vote_entropy,support_dispersion,top1_correct,1,1.0,4835,0.8294,0.0
vote_entropy,support_dispersion,top1_correct,1,0.9,4352,0.8534,0.2267
vote_entropy,support_dispersion,top1_correct,1,0.8,3868,0.8501,0.297
vote_entropy,support_dispersion,top1_correct,1,0.7,3384,0.8629,0.4376
vote_entropy,support_dispersion,top1_correct,1,0.6,2901,0.8707,0.5455
vote_entropy,support_dispersion,top1_correct,1,0.5,2418,0.8846,0.6618
vote_entropy,support_dispersion,top1_correct,1,0.4,1934,0.9049,0.777
vote_entropy,support_dispersion,top1_correct,1,0.3,1450,0.9214,0.8618
vote_entropy,support_dispersion,top1_correct,1,0.2,967,0.9297,0.9176
effective_support,manifold_support,top1_correct,1,1.0,4835,0.8294,0.0
effective_support,manifold_support,top1_correct,1,0.9,4352,0.8534,0.2267
effective_support,manifold_support,top1_correct,1,0.8,3868,0.8501,0.297
effective_support,manifold_support,top1_correct,1,0.7,3384,0.8629,0.4376
effective_support,manifold_support,top1_correct,1,0.6,2901,0.8707,0.5455
effective_support,manifold_support,top1_correct,1,0.5,2418,0.8846,0.6618
effective_support,manifold_support,top1_correct,1,0.4,1934,0.9049,0.777
effective_support,manifold_support,top1_correct,1,0.3,1450,0.9214,0.8618
effective_support,manifold_support,top1_correct,1,0.2,967,0.9297,0.9176
max_vote_weight,peak_mass,top1_correct,-1,1.0,4835,0.8294,0.0
max_vote_weight,peak_mass,top1_correct,-1,0.9,4352,0.8534,0.2267
max_vote_weight,peak_mass,top1_correct,-1,0.8,3868,0.8433,0.2655
max_vote_weight,peak_mass,top1_correct,-1,0.7,3384,0.8398,0.343
max_vote_weight,peak_mass,top1_correct,-1,0.6,2901,0.8387,0.4327
max_vote_weight,peak_mass,top1_correct,-1,0.5,2418,0.8515,0.5648
max_vote_weight,peak_mass,top1_correct,-1,0.4,1934,0.8599,0.6715
max_vote_weight,peak_mass,top1_correct,-1,0.3,1450,0.8669,0.7661
max_vote_weight,peak_mass,top1_correct,-1,0.2,967,0.88,0.8594
n_surviving_votes,support_breadth,top1_correct,1,1.0,4835,0.8294,0.0
n_surviving_votes,support_breadth,top1_correct,1,0.9,4352,0.8534,0.2267
n_surviving_votes,support_breadth,top1_correct,1,0.8,3868,0.8746,0.4121
n_surviving_votes,support_breadth,top1_correct,1,0.7,3384,0.8913,0.5539
n_surviving_votes,support_breadth,top1_correct,1,0.6,2901,0.9069,0.6727
n_surviving_votes,support_breadth,top1_correct,1,0.5,2418,0.9239,0.777
n_surviving_votes,support_breadth,top1_correct,1,0.4,1934,0.939,0.857
n_surviving_votes,support_breadth,top1_correct,1,0.3,1450,0.9648,0.9382
n_surviving_votes,support_breadth,top1_correct,1,0.2,967,0.9824,0.9794
sim_floor_active,floor_level,top1_correct,-1,1.0,4835,0.8294,0.0
sim_floor_active,floor_level,top1_correct,-1,0.9,4352,0.8375,0.143
sim_floor_active,floor_level,top1_correct,-1,0.8,3868,0.8428,0.263
sim_floor_active,floor_level,top1_correct,-1,0.7,3384,0.8395,0.3418
sim_floor_active,floor_level,top1_correct,-1,0.6,2901,0.839,0.4339
sim_floor_active,floor_level,top1_correct,-1,0.5,2418,0.8309,0.5042
sim_floor_active,floor_level,top1_correct,-1,0.4,1934,0.8164,0.5697
sim_floor_active,floor_level,top1_correct,-1,0.3,1450,0.7959,0.6412
sim_floor_active,floor_level,top1_correct,-1,0.2,967,0.758,0.7164
top1_top2_margin,rank_gap,vote_correct,1,1.0,4835,0.8387,0.0
top1_top2_margin,rank_gap,vote_correct,1,0.9,4352,0.8417,0.1167
top1_top2_margin,rank_gap,vote_correct,1,0.8,3868,0.8462,0.2372
