window,decile,n,mean_n_surviving,emp_acc,mean_offclass_weight
mid,0,483,1.0,0.6211,0.3789
mid,1,484,1.95,0.7004,0.3075
mid,2,483,2.98,0.7391,0.2947
mid,3,484,4.11,0.7913,0.2327
mid,4,483,5.45,0.8592,0.1884
mid,5,484,7.02,0.8368,0.186
mid,6,483,9.57,0.8654,0.1579
mid,7,484,14.08,0.9194,0.1116
mid,8,483,18.74,0.9896,0.0385
mid,9,484,20.0,0.9711,0.0467
late,0,503,1.17,0.501,0.4974
late,1,503,2.74,0.507,0.4826
late,2,503,5.08,0.5706,0.4484
late,3,503,7.92,0.6282,0.4427
late,4,504,11.71,0.5774,0.4797
late,5,503,16.57,0.6123,0.4821
late,6,503,19.94,0.6262,0.4391
late,7,503,20.0,0.6541,0.3678
late,8,503,20.0,0.4811,0.58
late,9,504,20.0,0.4127,0.6431
