target,model,auc,separation,orientation
top1_correct,single:rank_gap,0.2282,0.2718,-1
top1_correct,single:support_dispersion,0.6902,0.1902,1
top1_correct,single:manifold_support,0.6902,0.1902,1
top1_correct,single:peak_mass,0.2651,0.2349,-1
top1_correct,single:support_breadth,0.6572,0.1572,1
top1_correct,single:floor_level,0.5172,0.0172,1
top1_correct,two-axis:rank_gap+manifold_support,0.7882,0.2882,
top1_correct,three:rank_gap+manifold_support+support_breadth,0.7926,0.2926,
vote_correct,single:rank_gap,0.2381,0.2619,-1
vote_correct,single:support_dispersion,0.7636,0.2636,1
vote_correct,single:manifold_support,0.7636,0.2636,1
vote_correct,single:peak_mass,0.2058,0.2942,-1
vote_correct,single:support_breadth,0.7327,0.2327,1
vote_correct,single:floor_level,0.5524,0.0524,1
vote_correct,two-axis:rank_gap+manifold_support,0.8249,0.3249,
vote_correct,three:rank_gap+manifold_support+support_breadth,0.8254,0.3254,
