vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.03387928009033203,0.7483686804771423,0.7144894003868103,2.509317398071289,12.296533584594727,0.2720072865486145,20,0,0,1,0,1,0,0.034807607531547546,0.11058133840560913,2,contra,0.15,-1,0,18,CORRECT,0,0,0,0,2,0,0.034808,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.06985175609588623,0.874986469745636,0.8051347136497498,1.8918663263320923,6.6317338943481445,0.4417262673377991,20,0,0,1,0,1,1,0.10925173759460449,0.06985175609588623,2,contra,0.15,-1,1,27,CORRECT,0,0,0,0,1,0,0.109252,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.010311007499694824,0.6870408058166504,0.6767297983169556,2.3159103393554688,10.134143829345703,0.24437931180000305,20,0,0,1,0,1,0,0.09135422110557556,0.07187676429748535,2,contra,0.15,-1,2,28,CORRECT,0,0,0,0,3,0,0.091354,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.0,0.7837405800819397,0.7837405800819397,2.2109341621398926,9.124236106872559,0.20168013870716095,20,0,2,0,0,1,1,0.20168013870716095,0.0,0,contra,0.15,-1,3,132,CORRECT,0,0,0,0,1,0,0.20168,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.011476278305053711,0.8532717823982239,0.8417955040931702,2.3167316913604736,10.142471313476562,0.22056403756141663,20,0,0,1,0,1,1,0.17532853782176971,0.011476278305053711,0,contra,0.15,-1,4,27,CORRECT,0,0,0,0,1,0,0.175329,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.008448898792266846,0.6277357339859009,0.619286835193634,1.4630016088485718,4.318903923034668,0.31929340958595276,9,0,0,1,0,1,0,0.0031068676616996527,0.2316247820854187,2,contra,0.15,-1,5,3,CORRECT,0,0,0,0,1,0,0.003107,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.02677243947982788,0.7397220134735107,0.7129495739936829,2.430572748184204,11.365389823913574,0.28378069400787354,20,0,0,1,0,1,0,0.09349782764911652,0.07771551609039307,2,contra,0.15,-1,6,28,CORRECT,0,0,0,0,2,0,0.093498,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.026081502437591553,0.7790729403495789,0.7529914379119873,2.5382936000823975,12.658052444458008,0.22401605546474457,20,0,0,1,0,1,0,0.0530615895986557,0.074226975440979,2,contra,0.15,-1,7,18,CORRECT,0,0,0,0,2,0,0.053062,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.030427217483520508,0.8791252374649048,0.8486980199813843,2.334718942642212,10.326557159423828,0.27929118275642395,20,0,0,1,0,1,0,0.027718814089894295,0.11550718545913696,2,contra,0.15,-1,8,18,CORRECT,0,0,0,0,1,0,0.027719,0.0,answer,
margin,live-delta,0,0.0,0.487217,0.598594,0.10992,0.984375,0.393179,0.543179,0.02542126178741455,0.6868306398391724,0.6614093780517578,2.266969919204712,9.650115966796875,0.3240412771701813,20,0,0,1,0,1,0,0.06306212395429611,0.09580367803573608,2,contra,0.15,-1,9,28,CORRECT,0,0,0,0,3,0,0.063062,0.0,answer,
