vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.00440293550491333,0.6673038005828857,0.6629008650779724,0.6921788454055786,1.9980642795562744,0.5220003724098206,2,0,0,1,0,1,0,0.0,0.5299475193023682,2,contra,0.15,-1,0,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.013249516487121582,0.8781955242156982,0.8649460077285767,0.6844462156295776,1.9826735258102417,0.5658625364303589,2,0,0,1,0,1,0,0.0,0.7339297533035278,2,contra,0.15,-1,1,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.05329543352127075,0.7647343873977661,0.7114389538764954,1.0221163034439087,2.7790699005126953,0.6763059496879578,13,0,0,1,0,1,0,0.007368003483861685,0.22597497701644897,2,contra,0.15,-1,2,28,CORRECT,0,0,0,0,1,0,0.007368,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.0033568143844604492,0.8981385231018066,0.8947817087173462,0.6925840973854065,1.9988741874694824,0.5167778730392456,2,0,0,1,0,1,0,0.0,0.7086101770401001,2,contra,0.15,-1,3,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.040418922901153564,0.707013726234436,0.6665948033332825,1.945400595664978,6.996434211730957,0.3395039439201355,11,0,0,1,0,1,1,0.11234283447265625,0.05529654026031494,2,contra,0.15,-1,4,1,CORRECT,0,0,0,0,1,0,0.112343,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.07569658756256104,0.7127097845077515,0.6370131969451904,0.6816456913948059,1.9771287441253662,0.7799190878868103,5,0,0,1,0,1,0,0.0,0.298874169588089,2,contra,0.15,-1,5,9,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.107677161693573,0.7898891568183899,0.6822119951248169,1.1180380582809448,3.058846950531006,0.7216904163360596,13,0,0,1,0,1,0,0.011263348162174225,0.21345603466033936,2,contra,0.15,-1,6,19,CORRECT,0,0,0,0,2,0,0.011263,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.0,0.7458006143569946,0.7458006143569946,2.0330989360809326,7.637718677520752,0.2187860906124115,14,0,1,0,0,1,1,0.25424903631210327,0.0,0,contra,0.15,-1,7,139,CORRECT,0,0,0,0,3,0,0.254249,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.013192892074584961,0.5580552816390991,0.5448623895645142,2.201061248779297,9.03459644317627,0.2452583909034729,11,0,0,1,0,1,0,0.05037635564804077,0.07913953065872192,2,contra,0.15,-1,8,10,CORRECT,0,0,0,0,1,0,0.050376,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.09731873869895935,0.4910767674446106,0.39375802874565125,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.22254455089569092,2,contra,0.15,-1,9,12,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.07558119297027588,0.79444420337677,0.7188630104064941,0.956659197807312,2.6029858589172363,0.6952546238899231,9,0,0,1,0,1,0,0.001951466198079288,0.29378485679626465,2,contra,0.15,-1,10,26,CORRECT,0,0,0,0,1,0,0.001951,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.011922359466552734,0.8878562450408936,0.8759338855743408,0.6860902309417725,1.9859358072280884,0.559330940246582,2,0,0,1,0,1,0,0.0,0.6696486473083496,2,contra,0.15,-1,11,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.03325176239013672,0.8003379702568054,0.7670862078666687,1.860496163368225,6.426924705505371,0.31827351450920105,13,0,0,1,0,1,1,0.18174175918102264,0.03325176239013672,1,contra,0.15,-1,12,1,CORRECT,0,0,0,0,2,0,0.181742,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.06258037686347961,0.46901607513427734,0.40643569827079773,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.16136440634727478,2,contra,0.15,-1,13,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.0,0.7444828152656555,0.7444828152656555,1.7968480587005615,6.030609607696533,0.3100448548793793,12,0,3,0,0,1,1,0.40714597702026367,0.0,0,contra,0.15,-1,14,142,CORRECT,0,0,0,0,2,0,0.407146,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.07894754409790039,0.7699598073959351,0.6910122632980347,0.8077937960624695,2.2429540157318115,0.7637444734573364,10,0,0,1,0,1,0,0.002283173380419612,0.29063335061073303,2,contra,0.15,-1,15,16,CORRECT,0,0,0,0,1,0,0.002283,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.019542038440704346,0.6250524520874023,0.605510413646698,1.6722248792648315,5.323999881744385,0.3350974917411804,8,0,0,1,0,1,0,0.0,0.1753382384777069,2,contra,0.15,-1,17,21,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.06710803508758545,0.49450206756591797,0.4273940324783325,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.3116215169429779,2,contra,0.15,-1,18,30,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.532374,0.672433,0.087423,0.988281,0.461512,0.611512,0.05638843774795532,0.6520357728004456,0.5956473350524902,1.2552798986434937,3.5088202953338623,0.5281608700752258,5,0,0,1,0,1,0,0.0,0.25634846091270447,2,contra,0.15,-1,19,28,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
