vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,1.7881393432617188e-07,0.6283861398696899,0.6283859610557556,1.9428174495697021,6.978384494781494,0.27134376764297485,20,0,3,0,0,1,1,0.29294654726982117,-1.7881393432617188e-07,0,contra,0.15,-1,0,144,CORRECT,0,0,0,0,3,0,0.292947,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0,0.538063645362854,0.538063645362854,2.149137020111084,8.57745361328125,0.24350963532924652,16,0,1,0,0,1,1,0.2905014455318451,0.0,0,contra,0.15,-1,1,130,CORRECT,0,0,0,0,3,0,0.280541,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.050639808177948,0.6435017585754395,0.5928619503974915,2.3744397163391113,10.744991302490234,0.3226741850376129,20,0,0,1,0,1,1,0.19009838998317719,0.06002700328826904,2,contra,0.15,-1,2,9,CORRECT,0,0,0,0,4,0,0.164907,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.06146061420440674,0.7017878293991089,0.6403272151947021,2.021505355834961,7.549681186676025,0.39674806594848633,20,0,0,1,0,1,1,0.23770496249198914,0.06146061420440674,2,contra,0.15,-1,3,11,CORRECT,0,0,0,0,3,0,0.237705,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.00846010446548462,0.6306256651878357,0.6221655607223511,2.2179172039031982,9.1881742477417,0.20073360204696655,20,0,0,1,0,1,1,0.2495393455028534,0.00846022367477417,0,contra,0.15,-1,4,7,CORRECT,0,0,0,0,3,0,0.249539,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0811147689819336,0.6353706121444702,0.5542558431625366,1.8231208324432373,6.191149711608887,0.5399643182754517,20,0,0,1,0,1,0,0.09500600397586823,0.11406058073043823,2,contra,0.15,-1,5,13,CORRECT,0,0,0,0,4,0,0.095006,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.06274926662445068,0.6143373250961304,0.5515880584716797,2.4384236335754395,11.45496940612793,0.31065240502357483,20,0,0,1,0,1,1,0.1531175673007965,0.06274926662445068,2,contra,0.15,-1,6,27,CORRECT,0,0,0,0,3,0,0.153118,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.20145222544670105,0.49529901146888733,0.2938467860221863,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.20145222544670105,2,contra,0.15,-1,7,7,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.019235551357269287,0.5491014122962952,0.5298658609390259,1.7805050611495972,5.932852268218994,0.4097013771533966,12,0,0,1,0,1,0,0.03867414966225624,0.11801287531852722,2,contra,0.15,-1,8,12,CORRECT,0,0,0,0,1,0,0.038674,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.08658438920974731,0.6821415424346924,0.5955571532249451,1.5123344659805298,4.537310600280762,0.6399193406105042,20,0,0,1,0,1,0,0.031719643622636795,0.16609269380569458,2,contra,0.15,-1,9,12,CORRECT,0,0,0,0,3,0,0.03172,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0325850248336792,0.5376240611076355,0.5050390362739563,1.9940766096115112,7.345417022705078,0.32967472076416016,10,0,0,1,0,1,0,0.08203936368227005,0.06954532861709595,2,contra,0.15,-1,10,26,CORRECT,0,0,0,0,1,0,0.082039,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.03140735626220703,0.5394497513771057,0.5080423951148987,2.4180688858032227,11.224163055419922,0.26568761467933655,20,0,0,1,0,1,1,0.20462021231651306,0.05197146534919739,2,contra,0.15,-1,11,24,CORRECT,0,0,0,0,3,0,0.118831,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0,0.6589005589485168,0.6589005589485168,2.1897385120391846,8.932876586914062,0.19821485877037048,20,0,0,1,0,1,1,0.22910714149475098,0.0,0,contra,0.15,-1,12,20,CORRECT,0,0,0,0,3,0,0.224926,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.004485130310058594,0.6025277972221375,0.5980426669120789,1.967337727546692,7.151611804962158,0.32108068466186523,20,0,0,1,0,1,0,0.02509652078151703,0.16824856400489807,2,contra,0.15,-1,13,28,CORRECT,0,0,0,0,3,0,0.025097,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0068146586418151855,0.6395174860954285,0.6327028274536133,1.9167746305465698,6.7989935874938965,0.30528873205184937,20,0,0,1,0,1,0,0.02975262701511383,0.14208543300628662,2,contra,0.15,-1,14,26,CORRECT,0,0,0,0,3,0,0.029753,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0438503623008728,0.664881706237793,0.6210313439369202,1.9766789674758911,7.218729496002197,0.41397470235824585,20,0,0,1,0,1,0,0.02131452038884163,0.179019957780838,2,contra,0.15,-1,15,13,CORRECT,0,0,0,0,3,0,0.018773,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0043985843658447266,0.5671543478965759,0.5627557635307312,2.6501002311706543,14.155457496643066,0.13536085188388824,20,0,0,1,0,1,1,0.10104125738143921,0.03002375364303589,1,contra,0.15,-1,16,12,CORRECT,0,0,0,0,3,0,0.101041,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.020671069622039795,0.6850572228431702,0.6643861532211304,2.1732048988342285,8.786398887634277,0.28805026412010193,20,0,0,1,0,1,1,0.14168910682201385,0.04570877552032471,1,contra,0.15,-1,17,30,CORRECT,0,0,0,0,3,0,0.13876,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.13047552108764648,0.7553185224533081,0.6248430013656616,1.3353525400161743,3.8013358116149902,0.7137258648872375,20,0,0,1,0,1,0,0.06071639060974121,0.14898639917373657,2,contra,0.15,-1,18,30,CORRECT,0,0,0,0,3,0,0.060716,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.21431148052215576,0.7999752163887024,0.5856637358665466,0.6504347324371338,1.9163737297058105,0.8891999125480652,20,0,0,1,0,1,0,0.029238970950245857,0.2169327735900879,2,contra,0.15,-1,19,30,CORRECT,0,0,0,0,3,0,0.025252,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.005678772926330566,0.6305544376373291,0.6248756647109985,2.651111125946045,14.169774055480957,0.16110435128211975,20,0,0,1,0,1,0,0.0795481950044632,0.07862508296966553,2,contra,0.15,-1,20,0,CORRECT,0,0,0,0,3,0,0.071963,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.01732957363128662,0.7488837242126465,0.7315541505813599,1.1454049348831177,3.14371395111084,0.5203644037246704,20,0,0,1,0,1,0,0.0030901427380740643,0.3033927083015442,2,contra,0.15,-1,21,25,CORRECT,0,0,0,0,3,0,0.001885,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,1.1920928955078125e-07,0.6977768540382385,0.697776734828949,1.970368504524231,7.173319339752197,0.2824421525001526,20,0,3,0,0,1,1,0.33383962512016296,-1.1920928955078125e-07,0,contra,0.15,-1,22,144,CORRECT,0,0,0,0,4,0,0.33384,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,1.1920928955078125e-07,0.6982559561729431,0.6982558369636536,2.1117587089538574,8.262760162353516,0.2956221103668213,20,0,0,1,0,1,1,0.3610769510269165,1.1920928955078125e-07,0,contra,0.15,-1,23,1,CORRECT,0,0,0,0,3,0,0.361077,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0,0.550545334815979,0.550545334815979,1.0763349533081055,2.9339070320129395,0.43359625339508057,4,0,2,0,2,0,1,0.9570984244346619,-0.11566036939620972,0,contra,0.15,-1,24,134,CONTRADICTORY_STRICT,1,1,0,0,1,0,0.433596,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.01704925298690796,0.6313489079475403,0.6142996549606323,2.626434564590454,13.824392318725586,0.2240840494632721,20,0,0,1,0,1,1,0.1277521252632141,0.07265657186508179,2,contra,0.15,-1,25,30,CORRECT,0,0,0,0,3,0,0.127752,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.02894890308380127,0.5523542165756226,0.5234053134918213,2.4174375534057617,11.217079162597656,0.2673061788082123,20,0,0,1,0,1,1,0.17474329471588135,0.02894890308380127,1,contra,0.15,-1,26,27,CORRECT,0,0,0,0,3,0,0.174743,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.04773306846618652,0.6731027364730835,0.625369668006897,1.9068866968154907,6.732097148895264,0.40985703468322754,20,0,0,1,0,1,1,0.18994377553462982,0.059629201889038086,2,contra,0.15,-1,27,16,CORRECT,0,0,0,0,2,0,0.16287,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0,0.4923955500125885,0.4923955500125885,1.4238475561141968,4.153069019317627,0.32895636558532715,5,0,2,0,2,0,1,0.6935718059539795,-0.03371754288673401,0,contra,0.15,-1,28,134,CONTRADICTORY_STRICT,1,1,0,0,1,0,0.328956,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0004004240036010742,0.529884934425354,0.5294845104217529,2.520902395248413,12.439817428588867,0.2068176418542862,20,0,0,1,0,1,0,0.09898015856742859,0.08668169379234314,2,contra,0.15,-1,29,13,CORRECT,0,0,0,0,2,0,0.048526,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.04991328716278076,0.6916114091873169,0.6416981220245361,2.2189741134643555,9.197890281677246,0.3427198827266693,20,0,0,1,0,1,1,0.2390519082546234,0.04991346597671509,1,contra,0.15,-1,30,11,CORRECT,0,0,0,0,3,0,0.239052,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.015379667282104492,0.5836500525474548,0.5682703852653503,2.6217777729034424,13.760164260864258,0.20367586612701416,20,0,0,1,0,1,0,0.0900360494852066,0.0772402286529541,2,contra,0.15,-1,31,11,CORRECT,0,0,0,0,3,0,0.090036,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.00023111701011657715,0.4375622570514679,0.4373311400413513,1.3393038511276245,3.8163857460021973,0.32678624987602234,4,0,0,1,0,1,1,0.3479343056678772,0.031522005796432495,1,contra,0.15,-1,32,7,CORRECT,0,0,0,0,1,0,0.173967,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.0,0.6656931638717651,0.6656931638717651,2.3111934661865234,10.086455345153809,0.22360748052597046,20,0,1,0,0,1,1,0.31824538111686707,0.0,0,contra,0.15,-1,33,130,CORRECT,0,0,0,0,4,0,0.318245,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,5.960464477539063e-08,0.6726762652397156,0.6726762056350708,1.9133442640304565,6.775710582733154,0.29985299706459045,20,0,3,0,0,1,1,0.32789117097854614,-5.960464477539063e-08,0,contra,0.15,-1,34,144,CORRECT,0,0,0,0,3,0,0.327891,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.06339681148529053,0.6739566326141357,0.6105598211288452,1.473433494567871,4.364193916320801,0.6025719046592712,20,0,0,1,0,1,0,0.0359511524438858,0.18079394102096558,2,contra,0.15,-1,35,28,CORRECT,0,0,0,0,3,0,0.023771,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.06188356876373291,0.6948245763778687,0.6329410076141357,1.9378868341445923,6.944061279296875,0.47462642192840576,20,0,0,1,0,1,0,0.07244773209095001,0.11883038282394409,2,contra,0.15,-1,36,12,CORRECT,0,0,0,0,4,0,0.072448,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.016531944274902344,0.5996270775794983,0.583095133304596,2.206475257873535,9.08364200592041,0.2475774735212326,18,0,0,1,0,1,1,0.23049110174179077,0.016531944274902344,0,contra,0.15,-1,37,26,CORRECT,0,0,0,0,3,0,0.230491,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.01701536774635315,0.5104827880859375,0.49346742033958435,2.8551199436187744,17.376522064208984,0.11701509356498718,20,0,0,1,0,1,1,0.12939170002937317,0.022472798824310303,0,contra,0.15,-1,38,28,CORRECT,0,0,0,0,2,0,0.129392,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.07330387830734253,0.7156831622123718,0.6423792839050293,2.1910524368286133,8.944622039794922,0.41444194316864014,20,0,0,1,0,1,1,0.18781252205371857,0.07330387830734253,2,contra,0.15,-1,39,11,CORRECT,0,0,0,0,3,0,0.187813,0.0,answer,
margin,live-delta,0,0.0,0.483385,0.581161,0.144822,0.976562,0.376198,0.526198,0.01202094554901123,0.5193359851837158,0.5073150396347046,2.151808977127075,8.60040283203125,0.2644074261188507,12,0,0,1,0,1,1,0.1695757508277893,0.0560949444770813,2,contra,0.15,-1,40,18,CORRECT,0,0,0,0,3,0,0.169576,0.0,answer,
