vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.08858919143676758,0.5616472959518433,0.4730581045150757,1.4385156631469727,4.214435577392578,0.6336310505867004,20,0,0,1,0,1,0,0.03229689225554466,0.22280466556549072,2,mixed,0.15,6,0,7,CORRECT,0,0,0,0,1,0,0.004318,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.06531032919883728,0.4198814332485199,0.3545711040496826,1.4498950242996216,4.262667179107666,0.5243123173713684,7,0,0,1,0,1,1,0.11854515969753265,0.07433965802192688,2,mixed,0.15,6,1,0,CORRECT,0,0,0,0,1,0,0.118545,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.15834328532218933,0.490217924118042,0.33187463879585266,1.0062892436981201,2.735431671142578,0.7900375723838806,12,0,0,1,0,1,0,0.0570484921336174,0.15834328532218933,2,mixed,0.15,6,2,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.006202340126037598,0.4598029851913452,0.4536006450653076,2.5060904026031494,12.256916999816895,0.18518754839897156,20,0,0,1,0,1,0,0.030422989279031754,0.13865387439727783,2,mixed,0.15,6,3,7,CORRECT,0,0,0,0,1,0,0.011569,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.0393713116645813,0.49600115418434143,0.45662984251976013,2.598430871963501,13.442627906799316,0.2528025805950165,20,0,1,0,1,0,1,0.6617647409439087,-0.0393713116645813,0,mixed,0.15,6,4,43,CONTRADICTORY_LENIENT,0,1,0,0,3,0,0.088835,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.016749083995819092,0.42364418506622314,0.40689510107040405,2.4983878135681152,12.162869453430176,0.267198771238327,20,0,0,1,0,1,1,0.15347783267498016,0.09157764911651611,2,mixed,0.15,6,5,17,CORRECT,0,0,0,0,2,0,0.058411,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.04408806562423706,0.5367840528488159,0.49269598722457886,2.223362922668457,9.238346099853516,0.31233370304107666,20,0,0,1,0,1,1,0.38813281059265137,0.04408806562423706,1,mixed,0.15,6,6,24,CORRECT,0,0,0,0,1,0,0.009609,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.01738610863685608,0.3785971701145172,0.36121106147766113,2.118013620376587,8.314604759216309,0.29817599058151245,12,0,1,0,0,1,1,0.46876510977745056,-0.01738610863685608,0,mixed,0.15,6,7,61,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.0845651924610138,0.45839157700538635,0.37382638454437256,1.9481476545333862,7.015680313110352,0.49250972270965576,17,0,1,0,1,0,1,0.7227545976638794,-0.10061854124069214,0,mixed,0.15,6,8,52,CONTRADICTORY_LENIENT,0,1,0,0,2,0,0.077361,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.0042091310024261475,0.4691773056983948,0.46496817469596863,1.92841637134552,6.878608226776123,0.33152130246162415,15,0,0,1,0,1,1,0.11243017762899399,0.08444088697433472,2,mixed,0.15,6,9,29,CORRECT,0,0,0,0,1,0,0.015711,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.14829882979393005,0.6366702318191528,0.4883714020252228,0.5205521583557129,1.6829566955566406,0.8963586091995239,19,0,0,1,0,1,0,0.07111048698425293,0.14829882979393005,2,mixed,0.15,6,10,24,CORRECT,0,0,0,0,1,0,0.001746,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.005578368902206421,0.29805994033813477,0.29248157143592834,1.9316232204437256,6.900702476501465,0.1735452562570572,7,0,2,0,0,1,1,0.5644341111183167,-0.005578368902206421,0,mixed,0.15,6,11,72,CORRECT,0,0,0,0,1,0,0.149377,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.016799569129943848,0.3495281934738159,0.33272862434387207,2.817352771759033,16.732498168945312,0.13256722688674927,19,0,0,1,0,1,1,0.21321529150009155,0.04678088426589966,1,mixed,0.15,6,12,13,CORRECT,0,0,0,0,1,0,0.04478,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.039746373891830444,0.30318111181259155,0.2634347379207611,0.6199872493743896,1.8589043617248535,0.6888883113861084,2,0,0,1,0,1,0,0.0,0.08661070466041565,2,mixed,0.15,6,13,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.09863480925559998,0.5681047439575195,0.46946993470191956,1.0676448345184326,2.9085214138031006,0.757737934589386,20,0,1,0,1,0,1,0.9653425216674805,-0.20242634415626526,0,mixed,0.15,6,14,35,CONTRADICTORY_LENIENT,0,1,0,0,2,0,0.015657,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.08912575244903564,0.4009496569633484,0.31182390451431274,1.3331458568572998,3.792956829071045,0.5835461020469666,6,0,0,1,0,1,0,0.09816090017557144,0.08912575244903564,2,mixed,0.15,6,15,19,CORRECT,0,0,0,0,1,0,0.098161,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.01698249578475952,0.5011003613471985,0.48411786556243896,2.457195520401001,11.67203140258789,0.23420561850070953,20,0,0,1,1,0,1,0.5834801197052002,0.01698249578475952,0,mixed,0.15,6,16,24,CONTRADICTORY_LENIENT,0,1,0,0,3,0,0.052581,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.12077382206916809,0.38686102628707886,0.26608720421791077,0.283627450466156,1.3279380798339844,0.917999804019928,2,0,0,1,0,1,0,0.0,0.13998812437057495,2,mixed,0.15,6,17,15,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.05058789253234863,0.3627921938896179,0.3122043013572693,2.1354236602783203,8.460630416870117,0.33456429839134216,11,0,0,1,0,1,0,0.07173507660627365,0.07699248194694519,2,mixed,0.15,6,18,7,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.24001169204711914,0.697227954864502,0.4572162628173828,0.2334928810596466,1.2630038261413574,0.9655041694641113,20,0,0,1,0,1,0,0.009990314021706581,0.2588767409324646,2,mixed,0.15,6,20,17,CORRECT,0,0,0,0,1,0,0.000603,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.10926885902881622,0.34342271089553833,0.2341538518667221,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.10926885902881622,2,mixed,0.15,6,21,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.009639084339141846,0.26879435777664185,0.2591552734375,0.6885231137275696,1.9907732009887695,0.5480466485023499,2,0,0,1,0,1,1,0.45195335149765015,0.009639084339141846,0,mixed,0.15,6,22,8,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.03158572316169739,0.32356974482536316,0.29198402166366577,2.1241748332977295,8.365991592407227,0.23173344135284424,9,0,0,1,0,1,0,0.09068483859300613,0.046909868717193604,1,mixed,0.15,6,23,5,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.07864773273468018,0.5750564336776733,0.49640870094299316,1.3058124780654907,3.6906864643096924,0.6781870722770691,20,0,0,1,0,1,0,0.06421304494142532,0.13445734977722168,2,mixed,0.15,6,24,17,CORRECT,0,0,0,0,1,0,0.003219,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.04762151837348938,0.37726834416389465,0.3296468257904053,1.49820876121521,4.473668575286865,0.5047736763954163,7,0,0,1,0,1,1,0.14948996901512146,0.11129793524742126,2,mixed,0.15,6,25,26,CORRECT,0,0,0,0,1,0,0.047496,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.05207479000091553,0.40230363607406616,0.35022884607315063,2.018033742904663,7.52351713180542,0.3855326473712921,12,0,1,0,1,0,1,0.5121772885322571,-0.05207479000091553,0,mixed,0.15,6,26,52,BLENDED,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.002972900867462158,0.44835323095321655,0.4453803300857544,2.6198055744171143,13.733053207397461,0.16341134905815125,20,0,0,1,0,1,1,0.1480342447757721,0.06983911991119385,2,mixed,0.15,6,27,17,CORRECT,0,0,0,0,1,0,0.022119,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,5.960464477539063e-08,0.32633841037750244,0.32633835077285767,1.51387357711792,4.544299602508545,0.2911389172077179,5,0,0,1,0,1,1,0.29113849997520447,5.960464477539063e-08,0,mixed,0.15,6,28,146,CORRECT,0,0,0,0,1,0,0.291139,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.0,0.33918243646621704,0.33918243646621704,1.7913382053375244,5.997472763061523,0.26648446917533875,7,0,1,0,0,1,1,0.3431095778942108,0.0,0,mixed,0.15,6,29,50,CORRECT,0,0,0,0,1,0,0.266484,0.0,answer,
margin,live-delta,0,0.0,0.479207,0.576616,0.187731,0.929688,0.258713,0.408713,0.18138855695724487,0.5200752019882202,0.33868664503097534,0.9073566198348999,2.477764129638672,0.8329573273658752,18,0,0,1,0,1,0,0.03491095453500748,0.21417245268821716,2,mixed,0.15,6,30,17,CORRECT,0,0,0,0,1,0,0.005039,0.0,answer,
