arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-oneshot,0,initial,stale1:vision-class0,0,plain-miss,nan,nan,0.85,-1,0,-1,0,0,-1
stale-oneshot,0,initial,stale1:vision-class0,1,plain-miss,nan,nan,0.85,-1,0,-1,0,1,-1
stale-oneshot,0,initial,stale1:vision-class0,2,plain-miss,nan,nan,0.85,-1,0,-1,0,2,-1
stale-oneshot,0,initial,stale1:vision-class0,3,plain-miss,nan,nan,0.85,-1,0,-1,0,3,-1
stale-oneshot,0,initial,stale1:vision-class0,4,plain-miss,nan,nan,0.85,-1,0,-1,0,4,-1
stale-oneshot,0,initial,stale1:vision-class0,5,plain-miss,nan,nan,0.85,-1,0,-1,0,5,-1
stale-oneshot,0,initial,stale1:vision-class0,6,plain-miss,nan,nan,0.85,-1,0,-1,0,6,-1
stale-oneshot,0,initial,stale1:vision-class0,7,plain-miss,nan,nan,0.85,-1,0,-1,0,7,-1
stale-oneshot,0,initial,stale1:vision-class0,8,plain-miss,nan,nan,0.85,-1,0,-1,0,8,-1
stale-oneshot,0,initial,stale1:vision-class0,9,plain-miss,nan,nan,0.85,-1,0,-1,0,9,-1
stale-oneshot,0,initial,stale1:vision-class0,10,plain-miss,nan,nan,0.85,-1,0,-1,0,10,-1
stale-oneshot,0,initial,stale1:vision-class0,11,plain-miss,nan,nan,0.85,-1,0,-1,0,11,-1
stale-oneshot,0,initial,stale1:vision-class0,12,plain-miss,nan,nan,0.85,-1,0,-1,0,12,-1
stale-oneshot,0,initial,stale1:vision-class0,13,plain-miss,nan,nan,0.85,-1,0,-1,0,13,-1
stale-oneshot,0,initial,stale1:vision-class0,14,plain-miss,nan,nan,0.85,-1,0,-1,0,14,-1
stale-oneshot,0,initial,stale1:vision-class0,15,plain-miss,nan,nan,0.85,-1,0,-1,0,15,-1
stale-oneshot,0,initial,stale1:vision-class0,16,plain-miss,nan,nan,0.85,-1,0,-1,0,16,-1
stale-oneshot,0,initial,stale1:vision-class0,17,plain-miss,nan,nan,0.85,-1,0,-1,0,17,-1
stale-oneshot,0,initial,stale1:vision-class0,18,plain-miss,nan,nan,0.85,-1,0,-1,0,18,-1
stale-oneshot,0,initial,stale1:vision-class0,19,plain-miss,nan,nan,0.85,-1,0,-1,0,19,-1
stale-oneshot,0,initial,stale1:vision-class0,20,plain-miss,nan,nan,0.85,-1,0,-1,0,20,-1
stale-oneshot,0,initial,stale1:vision-class0,21,plain-miss,nan,nan,0.85,-1,0,-1,0,21,-1
stale-oneshot,0,initial,stale1:vision-class0,22,plain-miss,nan,nan,0.85,-1,0,-1,0,22,-1
stale-oneshot,0,initial,stale1:vision-class0,23,plain-miss,nan,nan,0.85,-1,0,-1,0,23,-1
stale-oneshot,0,initial,stale1:vision-class0,24,plain-miss,nan,nan,0.85,-1,0,-1,0,24,-1
stale-oneshot,0,initial,stale1:vision-class0,25,plain-miss,nan,nan,0.85,-1,0,-1,0,25,-1
stale-oneshot,0,initial,stale1:vision-class0,26,plain-miss,nan,nan,0.85,-1,0,-1,0,26,-1
stale-oneshot,0,initial,stale1:vision-class0,27,plain-miss,nan,nan,0.85,-1,0,-1,0,27,-1
stale-oneshot,0,initial,stale1:vision-class0,28,plain-miss,nan,nan,0.85,-1,0,-1,0,28,-1
stale-oneshot,0,initial,stale1:vision-class0,29,plain-miss,nan,nan,0.85,-1,0,-1,0,29,-1
stale-oneshot,0,initial,stale1:vision-class0,30,plain-miss,nan,nan,0.85,-1,0,-1,0,30,-1
stale-oneshot,0,initial,stale1:vision-class0,31,plain-miss,nan,nan,0.85,-1,0,-1,0,31,-1
stale-oneshot,0,initial,clean,32,forked,0.33377,0.0,0.3,17,1,17,1,32,-1
stale-oneshot,0,initial,clean,33,forked,0.303181,0.0,0.3,17,1,17,1,33,-1
stale-oneshot,0,initial,clean,34,plain-miss,0.045882,0.0,0.3,31,1,31,1,34,-1
stale-oneshot,0,initial,clean,35,plain-miss,0.114371,0.0,0.3,25,1,25,1,35,-1
stale-oneshot,0,initial,clean,36,plain-miss,0.087128,0.0,0.3,0,1,0,1,36,-1
stale-oneshot,0,initial,clean,37,plain-miss,0.111074,0.0,0.3,4,1,4,1,37,-1
stale-oneshot,0,initial,clean,38,plain-miss,0.10441,0.0,0.3,31,1,31,1,38,-1
stale-oneshot,0,initial,clean,39,plain-miss,0.268456,0.0,0.3,9,1,9,1,39,-1
stale-oneshot,0,initial,clean,40,plain-miss,0.071229,0.0,0.3,29,1,29,1,40,-1
stale-oneshot,0,initial,clean,41,forked,0.375878,0.0,0.3,9,1,9,1,41,-1
stale-oneshot,0,initial,clean,42,plain-miss,0.12664,0.0,0.3,4,1,4,1,42,-1
stale-oneshot,0,initial,clean,43,forked,0.308863,0.0,0.3,17,1,17,1,43,-1
stale-oneshot,0,initial,clean,44,plain-miss,0.222697,0.0,0.3,25,1,25,1,44,-1
stale-oneshot,0,initial,clean,45,forked,0.31823,0.0,0.3,9,1,9,1,45,-1
stale-oneshot,0,initial,clean,46,plain-miss,0.200214,0.0,0.3,25,1,25,1,46,-1
stale-oneshot,0,initial,clean,47,plain-miss,0.159311,0.0,0.3,31,1,31,1,47,-1
stale-oneshot,0,initial,clean,48,plain-miss,0.113753,0.0,0.3,0,1,0,1,48,-1
stale-oneshot,0,initial,clean,49,plain-miss,0.130618,0.0,0.3,13,1,13,1,49,-1
stale-oneshot,0,initial,clean,50,forked,0.300198,0.0,0.3,9,1,9,1,50,-1
stale-oneshot,0,initial,clean,51,plain-miss,0.145321,0.0,0.3,31,1,31,1,51,-1
stale-oneshot,0,initial,clean,52,plain-miss,0.088503,0.0,0.3,25,1,25,1,52,-1
stale-oneshot,0,initial,clean,53,plain-miss,0.079347,0.0,0.3,0,1,0,1,53,-1
stale-oneshot,0,initial,clean,54,plain-miss,0.069283,0.0,0.3,0,1,0,1,54,-1
stale-oneshot,0,initial,clean,55,plain-miss,0.114125,0.0,0.3,0,1,0,1,55,-1
stale-oneshot,0,initial,clean,56,plain-miss,0.211683,0.0,0.3,31,1,31,1,56,-1
stale-oneshot,0,initial,clean,57,plain-miss,0.239817,0.0,0.3,9,1,9,1,57,-1
stale-oneshot,0,initial,clean,58,plain-miss,0.033661,0.0,0.3,5,1,5,1,58,-1
stale-oneshot,0,initial,clean,59,plain-miss,0.061974,0.0,0.3,13,1,13,1,59,-1
stale-oneshot,0,initial,clean,60,plain-miss,0.141016,0.0,0.3,31,1,31,1,60,-1
stale-oneshot,0,initial,clean,61,plain-miss,0.227906,0.0,0.3,31,1,31,1,61,-1
stale-oneshot,0,initial,clean,62,plain-miss,0.282943,0.0,0.3,9,1,9,1,62,-1
stale-oneshot,0,initial,clean,63,plain-miss,0.064294,0.0,0.3,27,1,27,1,63,-1
stale-oneshot,0,initial,clean,64,plain-miss,0.096718,0.0,0.3,0,1,0,1,64,-1
stale-oneshot,0,initial,clean,65,plain-miss,0.102434,0.0,0.3,25,1,25,1,65,-1
stale-oneshot,0,initial,clean,66,plain-miss,0.099061,0.0,0.3,0,1,0,1,66,-1
