query_id,epoch,probe_index,led_slot,merge_support_flag,abstained_core,state,disposition,reason_code,evidence_ptr,certification_tier
clean_pairA_s1:e0:p0,0,0,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p1,0,1,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p2,0,2,11,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p3,0,3,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p4,0,4,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p5,0,5,9,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p6,0,6,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p7,0,7,1,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p8,0,8,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p9,0,9,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p10,0,10,11,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p11,0,11,11,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p12,0,12,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p13,0,13,21,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p14,0,14,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p15,0,15,9,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p16,0,16,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p17,0,17,3,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p19,0,19,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p20,0,20,6,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p21,0,21,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p22,0,22,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p23,0,23,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p24,0,24,27,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p25,0,25,3,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p26,0,26,3,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p27,0,27,24,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p28,0,28,17,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p29,0,29,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p30,0,30,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p31,0,31,11,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p32,0,32,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p33,0,33,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p34,0,34,25,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p35,0,35,14,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p36,0,36,29,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p39,0,39,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p40,0,40,24,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p41,0,41,27,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p42,0,42,17,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p43,0,43,9,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
clean_pairA_s1:e0:p44,0,44,10,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
