query_id,width,truth_in_set,truth_in_alts,deployed_correct,P-assert,P-uniform,P-alt-uniform
pairD_contra_s0:e0:p32,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p35,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p40,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p44,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p52,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p54,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p66,2,0,0,0,0.0,0.0,0.0
pairD_contra_s0:e0:p67,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p78,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e0:p87,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p117,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p123,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p130,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p131,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p135,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p139,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p143,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p144,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p148,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p150,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p164,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p170,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p183,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p187,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p192,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p199,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p201,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p203,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p206,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p207,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p214,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p216,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p217,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p230,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p233,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e0:p234,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p252,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e0:p254,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p0,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p3,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p17,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p18,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p38,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p44,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p55,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e1:p64,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p65,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p75,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p77,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p81,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p83,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p88,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p90,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p107,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p113,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p127,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e1:p130,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p144,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p151,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p158,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p164,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p170,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p187,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p193,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p197,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p200,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p202,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p204,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e1:p208,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p209,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p210,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e1:p220,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p222,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p224,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p228,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p236,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p237,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p239,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p240,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p244,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p250,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p251,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e1:p253,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p39,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p51,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p57,2,0,0,0,0.0,0.0,0.0
pairD_contra_s0:e2:p59,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p64,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p75,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p99,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p104,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p126,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p145,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p151,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p152,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p158,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p166,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p174,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p204,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p208,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p218,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p222,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p229,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p231,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p234,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p235,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e2:p236,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p242,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e2:p244,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p4,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e3:p35,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p40,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p41,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e3:p52,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p54,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p55,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p68,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p72,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p84,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p86,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p94,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p98,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p104,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p107,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p109,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p112,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p114,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p118,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p122,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p124,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p140,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e3:p141,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p147,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e3:p186,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e3:p193,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p212,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p223,2,1,1,0,0.0,0.5,1.0
pairD_contra_s0:e3:p224,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p237,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p239,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p241,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e3:p248,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p1,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p2,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p5,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p6,3,1,0,1,1.0,0.333333,0.0
pairD_contra_s0:e4:p10,2,1,0,1,1.0,0.5,0.0
pairD_contra_s0:e4:p16,3,1,1,0,0.0,0.333333,0.5
pairD_contra_s0:e4:p20,2,1,0,1,1.0,0.5,0.0
