query_id,width,truth_in_set,truth_in_alts,deployed_correct,P-assert,P-uniform,P-alt-uniform
pairD_oneshot_s0:e0:p2,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p5,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p7,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p8,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p9,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p15,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e0:p20,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p21,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e0:p24,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p26,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p27,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p30,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p32,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p35,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p37,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p40,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p46,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p49,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p52,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p54,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p56,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p61,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p62,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p63,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p64,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p65,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p67,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p70,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p75,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p76,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p78,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p81,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p91,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p92,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p95,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p97,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p101,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p111,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p116,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e0:p121,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p123,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e0:p127,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e6:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e6:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p18,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p23,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p33,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p34,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p47,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e6:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p54,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e6:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p58,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e6:p60,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e6:p61,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e6:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e6:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e6:p87,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e6:p89,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e6:p138,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p18,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p33,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p54,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e7:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p58,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e7:p60,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p61,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e7:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e7:p87,3,1,1,0,0.0,0.333333,0.5
