query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_contra_s2:e0:p7,2,1,0,DEFER,,
pairB_contra_s2:e0:p14,2,1,0,DEFER,,
pairB_contra_s2:e0:p34,2,1,0,DEFER,,
pairB_contra_s2:e0:p45,3,1,0,DEFER,,
pairB_contra_s2:e0:p56,2,1,0,DEFER,,
pairB_contra_s2:e0:p69,2,1,0,DEFER,,
pairB_contra_s2:e0:p74,2,1,0,DEFER,,
pairB_contra_s2:e0:p75,2,1,0,DEFER,,
pairB_contra_s2:e0:p76,3,1,0,DEFER,,
pairB_contra_s2:e0:p81,2,1,0,DEFER,,
pairB_contra_s2:e0:p96,2,1,0,DEFER,,
pairB_contra_s2:e0:p103,2,1,0,DEFER,,
pairB_contra_s2:e0:p105,2,1,0,DEFER,,
pairB_contra_s2:e0:p108,2,1,0,DEFER,,
pairB_contra_s2:e0:p121,2,1,0,DEFER,,
pairB_contra_s2:e0:p128,2,1,0,DEFER,,
pairB_contra_s2:e0:p130,2,1,0,DEFER,,
pairB_contra_s2:e0:p135,2,1,0,DEFER,,
pairB_contra_s2:e0:p137,2,1,0,DEFER,,
pairB_contra_s2:e0:p147,2,1,0,DEFER,,
pairB_contra_s2:e0:p160,2,1,0,DEFER,,
pairB_contra_s2:e0:p164,2,1,0,DEFER,,
pairB_contra_s2:e0:p170,2,1,0,DEFER,,
pairB_contra_s2:e0:p187,2,1,0,DEFER,,
pairB_contra_s2:e0:p189,2,1,0,DEFER,,
pairB_contra_s2:e0:p205,2,1,0,DEFER,,
pairB_contra_s2:e0:p208,2,1,0,DEFER,,
pairB_contra_s2:e0:p225,2,1,0,DEFER,,
pairB_contra_s2:e1:p67,2,1,0,DEFER,,
pairB_contra_s2:e1:p68,2,1,0,DEFER,,
pairB_contra_s2:e1:p70,2,1,0,DEFER,,
pairB_contra_s2:e1:p80,3,1,0,DEFER,,
pairB_contra_s2:e1:p82,3,1,0,DEFER,,
pairB_contra_s2:e1:p88,2,1,0,DEFER,,
pairB_contra_s2:e1:p91,3,1,0,DEFER,,
pairB_contra_s2:e1:p92,2,1,0,DEFER,,
pairB_contra_s2:e1:p98,3,1,0,DEFER,,
pairB_contra_s2:e1:p99,2,1,0,DEFER,,
pairB_contra_s2:e1:p100,2,1,0,DEFER,,
pairB_contra_s2:e1:p110,3,1,0,DEFER,,
pairB_contra_s2:e1:p115,3,1,0,DEFER,,
pairB_contra_s2:e1:p123,3,1,0,DEFER,,
pairB_contra_s2:e1:p129,2,1,0,DEFER,,
pairB_contra_s2:e1:p134,2,1,0,DEFER,,
pairB_contra_s2:e1:p168,3,1,0,DEFER,,
pairB_contra_s2:e1:p180,2,1,0,DEFER,,
pairB_contra_s2:e1:p188,2,1,1,DEFER,,
pairB_contra_s2:e1:p195,2,1,0,DEFER,,
pairB_contra_s2:e1:p197,2,1,0,DEFER,,
pairB_contra_s2:e1:p199,3,1,0,DEFER,,
pairB_contra_s2:e1:p229,2,1,0,DEFER,,
pairB_contra_s2:e1:p237,2,1,0,DEFER,,
pairB_contra_s2:e1:p245,2,1,0,DEFER,,
pairB_contra_s2:e1:p249,2,1,0,DEFER,,
pairB_contra_s2:e1:p253,2,1,0,DEFER,,
pairB_contra_s2:e2:p34,2,1,0,DEFER,,
pairB_contra_s2:e2:p38,2,1,0,DEFER,,
pairB_contra_s2:e2:p40,2,1,0,DEFER,,
pairB_contra_s2:e2:p109,3,1,0,DEFER,,
pairB_contra_s2:e2:p112,2,1,0,DEFER,,
pairB_contra_s2:e2:p131,2,1,0,DEFER,,
pairB_contra_s2:e2:p141,2,1,0,DEFER,,
pairB_contra_s2:e2:p143,3,1,0,DEFER,,
pairB_contra_s2:e2:p147,3,1,0,DEFER,,
pairB_contra_s2:e2:p149,2,1,0,DEFER,,
pairB_contra_s2:e2:p241,2,1,0,DEFER,,
pairB_contra_s2:e2:p242,2,1,0,DEFER,,
pairB_contra_s2:e2:p255,2,1,0,DEFER,,
pairB_contra_s2:e3:p7,3,1,0,DEFER,,
pairB_contra_s2:e3:p33,2,1,0,DEFER,,
pairB_contra_s2:e3:p36,2,1,0,DEFER,,
pairB_contra_s2:e3:p39,2,1,0,DEFER,,
pairB_contra_s2:e3:p58,2,1,0,DEFER,,
pairB_contra_s2:e3:p90,2,1,0,DEFER,,
pairB_contra_s2:e3:p107,2,1,0,DEFER,,
pairB_contra_s2:e3:p134,3,1,0,DEFER,,
pairB_contra_s2:e3:p150,2,1,0,DEFER,,
pairB_contra_s2:e3:p221,2,1,0,DEFER,,
pairB_contra_s2:e3:p223,2,1,0,DEFER,,
pairB_contra_s2:e3:p227,2,1,0,DEFER,,
pairB_contra_s2:e3:p232,2,1,0,DEFER,,
pairB_contra_s2:e3:p251,2,1,0,DEFER,,
pairB_contra_s2:e4:p2,2,1,0,DEFER,,
pairB_contra_s2:e4:p8,2,1,0,DEFER,,
pairB_contra_s2:e4:p19,2,1,0,DEFER,,
pairB_contra_s2:e4:p22,2,1,0,DEFER,,
pairB_contra_s2:e4:p26,2,1,0,DEFER,,
pairB_contra_s2:e4:p30,2,1,0,DEFER,,
pairB_contra_s2:e4:p35,2,1,0,DEFER,,
pairB_contra_s2:e4:p42,2,1,0,DEFER,,
pairB_contra_s2:e4:p43,2,1,0,DEFER,,
pairB_contra_s2:e4:p46,3,1,0,DEFER,,
pairB_contra_s2:e4:p61,2,1,0,DEFER,,
pairB_contra_s2:e4:p76,3,1,0,DEFER,,
pairB_contra_s2:e4:p82,3,1,0,DEFER,,
pairB_contra_s2:e4:p90,3,1,0,DEFER,,
pairB_contra_s2:e4:p92,3,1,0,DEFER,,
pairB_contra_s2:e4:p98,3,1,0,DEFER,,
pairB_contra_s2:e4:p110,3,1,0,DEFER,,
pairB_contra_s2:e4:p131,3,1,0,DEFER,,
pairB_contra_s2:e4:p132,3,1,0,DEFER,,
pairB_contra_s2:e4:p138,2,1,0,DEFER,,
pairB_contra_s2:e4:p141,3,1,0,DEFER,,
pairB_contra_s2:e4:p146,3,1,0,DEFER,,
pairB_contra_s2:e4:p148,3,1,0,DEFER,,
pairB_contra_s2:e4:p153,2,1,0,DEFER,,
pairB_contra_s2:e4:p156,2,1,0,DEFER,,
pairB_contra_s2:e4:p162,2,1,0,DEFER,,
pairB_contra_s2:e4:p171,2,1,0,DEFER,,
pairB_contra_s2:e4:p174,2,1,0,DEFER,,
pairB_contra_s2:e4:p180,2,1,1,DEFER,,
pairB_contra_s2:e4:p183,2,1,0,DEFER,,
pairB_contra_s2:e4:p196,2,1,0,DEFER,,
pairB_contra_s2:e4:p206,2,1,0,DEFER,,
pairB_contra_s2:e4:p230,3,1,0,DEFER,,
pairB_contra_s2:e5:p5,2,1,0,DEFER,,
pairB_contra_s2:e5:p23,2,1,0,DEFER,,
pairB_contra_s2:e5:p25,2,1,0,DEFER,,
pairB_contra_s2:e5:p28,3,1,0,DEFER,,
pairB_contra_s2:e5:p31,2,1,0,DEFER,,
pairB_contra_s2:e5:p50,2,1,0,DEFER,,
pairB_contra_s2:e5:p57,2,1,0,DEFER,,
pairB_contra_s2:e5:p160,3,1,0,DEFER,,
pairB_contra_s2:e5:p187,3,1,0,DEFER,,
pairB_contra_s2:e5:p189,3,1,0,DEFER,,
pairB_contra_s2:e5:p193,2,1,0,DEFER,,
