query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_oneshot_s2:e0:p93,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p104,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p113,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p139,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p140,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p145,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p151,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p163,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p165,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p166,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p190,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p191,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p214,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p220,2,0,0,DEFER,,
pairB_oneshot_s2:e0:p248,2,0,0,DEFER,,
pairB_oneshot_s2:e6:p0,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p1,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p2,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p3,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p4,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p5,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p6,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p7,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p8,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p9,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p10,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p11,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p12,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p14,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p15,2,1,1,DEFER,,
pairB_oneshot_s2:e6:p17,2,1,1,DEFER,,
