query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_contra_s1:e0:p7,2,1,0,DEFER,,
pairD_contra_s1:e0:p33,2,1,0,DEFER,,
pairD_contra_s1:e0:p68,2,1,0,DEFER,,
pairD_contra_s1:e0:p71,2,1,0,DEFER,,
pairD_contra_s1:e0:p72,2,1,0,DEFER,,
pairD_contra_s1:e0:p74,2,1,0,DEFER,,
pairD_contra_s1:e0:p75,2,1,0,DEFER,,
pairD_contra_s1:e0:p82,2,1,0,DEFER,,
pairD_contra_s1:e0:p88,3,1,0,DEFER,,
pairD_contra_s1:e0:p91,2,1,0,DEFER,,
pairD_contra_s1:e0:p95,2,1,0,DEFER,,
pairD_contra_s1:e0:p99,2,1,0,DEFER,,
pairD_contra_s1:e0:p102,2,1,0,DEFER,,
pairD_contra_s1:e0:p103,2,1,0,DEFER,,
pairD_contra_s1:e0:p104,2,1,0,DEFER,,
pairD_contra_s1:e0:p112,3,1,0,DEFER,,
pairD_contra_s1:e0:p113,2,1,0,DEFER,,
pairD_contra_s1:e0:p115,2,1,0,DEFER,,
pairD_contra_s1:e0:p117,2,1,0,DEFER,,
pairD_contra_s1:e0:p118,2,1,0,DEFER,,
pairD_contra_s1:e0:p122,2,1,0,DEFER,,
pairD_contra_s1:e0:p123,2,1,0,DEFER,,
pairD_contra_s1:e0:p128,2,1,0,DEFER,,
pairD_contra_s1:e0:p206,2,1,0,DEFER,,
pairD_contra_s1:e0:p208,2,1,0,DEFER,,
pairD_contra_s1:e0:p214,2,1,0,DEFER,,
pairD_contra_s1:e1:p13,3,1,0,DEFER,,
pairD_contra_s1:e1:p29,2,1,0,DEFER,,
pairD_contra_s1:e1:p33,2,1,0,DEFER,,
pairD_contra_s1:e1:p34,2,1,0,DEFER,,
pairD_contra_s1:e1:p35,2,1,0,DEFER,,
pairD_contra_s1:e1:p40,3,1,0,DEFER,,
pairD_contra_s1:e1:p42,3,1,0,DEFER,,
pairD_contra_s1:e1:p43,2,1,0,DEFER,,
pairD_contra_s1:e1:p61,2,1,0,DEFER,,
pairD_contra_s1:e1:p79,2,1,0,DEFER,,
pairD_contra_s1:e1:p81,2,1,0,DEFER,,
pairD_contra_s1:e1:p84,2,1,0,DEFER,,
pairD_contra_s1:e1:p87,2,1,0,DEFER,,
pairD_contra_s1:e1:p88,3,1,1,DEFER,,
pairD_contra_s1:e1:p90,2,1,0,DEFER,,
pairD_contra_s1:e1:p91,3,1,1,DEFER,,
pairD_contra_s1:e1:p104,3,1,1,DEFER,,
pairD_contra_s1:e1:p109,2,1,0,DEFER,,
pairD_contra_s1:e1:p116,2,1,0,DEFER,,
pairD_contra_s1:e1:p130,3,1,0,DEFER,,
pairD_contra_s1:e1:p131,2,1,0,DEFER,,
pairD_contra_s1:e1:p133,2,1,0,DEFER,,
pairD_contra_s1:e1:p135,2,1,0,DEFER,,
pairD_contra_s1:e1:p136,2,1,0,DEFER,,
pairD_contra_s1:e1:p137,2,1,1,DEFER,,
pairD_contra_s1:e1:p140,2,1,0,DEFER,,
pairD_contra_s1:e1:p141,2,1,0,DEFER,,
pairD_contra_s1:e1:p142,2,1,1,DEFER,,
pairD_contra_s1:e1:p145,2,1,1,DEFER,,
pairD_contra_s1:e1:p148,2,1,0,DEFER,,
pairD_contra_s1:e1:p149,2,1,1,DEFER,,
pairD_contra_s1:e1:p151,2,1,0,DEFER,,
pairD_contra_s1:e1:p152,2,1,1,DEFER,,
pairD_contra_s1:e1:p159,2,1,1,DEFER,,
pairD_contra_s1:e1:p165,2,1,1,DEFER,,
pairD_contra_s1:e1:p170,2,1,1,DEFER,,
pairD_contra_s1:e1:p173,2,1,0,DEFER,,
pairD_contra_s1:e1:p177,2,1,0,DEFER,,
pairD_contra_s1:e1:p182,3,1,0,DEFER,,
pairD_contra_s1:e1:p183,2,1,0,DEFER,,
pairD_contra_s1:e1:p184,3,1,0,DEFER,,
pairD_contra_s1:e1:p185,3,1,0,DEFER,,
pairD_contra_s1:e1:p200,3,1,0,DEFER,,
pairD_contra_s1:e1:p203,2,1,0,DEFER,,
pairD_contra_s1:e1:p226,3,1,0,DEFER,,
pairD_contra_s1:e1:p227,3,1,0,DEFER,,
pairD_contra_s1:e1:p238,2,1,0,DEFER,,
pairD_contra_s1:e1:p246,2,1,0,DEFER,,
pairD_contra_s1:e2:p5,2,1,0,DEFER,,
pairD_contra_s1:e2:p14,2,1,0,DEFER,,
pairD_contra_s1:e2:p22,2,1,0,DEFER,,
pairD_contra_s1:e2:p24,2,1,0,DEFER,,
pairD_contra_s1:e2:p37,2,1,0,DEFER,,
pairD_contra_s1:e2:p47,2,1,0,DEFER,,
pairD_contra_s1:e2:p48,3,1,0,DEFER,,
pairD_contra_s1:e2:p53,2,1,0,DEFER,,
pairD_contra_s1:e2:p58,2,1,0,DEFER,,
pairD_contra_s1:e2:p60,2,1,0,DEFER,,
pairD_contra_s1:e2:p62,2,1,0,DEFER,,
pairD_contra_s1:e2:p70,2,1,0,DEFER,,
pairD_contra_s1:e2:p75,3,1,0,DEFER,,
pairD_contra_s1:e2:p79,3,1,0,DEFER,,
pairD_contra_s1:e2:p81,3,1,0,DEFER,,
pairD_contra_s1:e2:p88,3,1,0,DEFER,,
pairD_contra_s1:e2:p91,3,1,0,DEFER,,
pairD_contra_s1:e2:p102,3,1,0,DEFER,,
pairD_contra_s1:e2:p104,3,1,0,DEFER,,
pairD_contra_s1:e2:p105,2,1,0,DEFER,,
pairD_contra_s1:e2:p110,2,1,0,DEFER,,
pairD_contra_s1:e2:p122,3,1,0,DEFER,,
pairD_contra_s1:e2:p123,3,1,0,DEFER,,
pairD_contra_s1:e2:p124,2,1,0,DEFER,,
pairD_contra_s1:e2:p137,2,1,1,DEFER,,
pairD_contra_s1:e2:p187,2,1,0,DEFER,,
pairD_contra_s1:e2:p196,2,1,0,DEFER,,
pairD_contra_s1:e2:p198,2,1,0,DEFER,,
