query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_contra_s2:e0:p24,2,1,0,DEFER,,
pairD_contra_s2:e0:p45,2,1,0,DEFER,,
pairD_contra_s2:e0:p70,3,1,0,DEFER,,
pairD_contra_s2:e0:p72,2,1,0,DEFER,,
pairD_contra_s2:e0:p73,2,1,0,DEFER,,
pairD_contra_s2:e0:p77,2,1,0,DEFER,,
pairD_contra_s2:e0:p87,2,1,0,DEFER,,
pairD_contra_s2:e0:p92,2,1,0,DEFER,,
pairD_contra_s2:e0:p93,2,1,0,DEFER,,
pairD_contra_s2:e0:p96,2,1,0,DEFER,,
pairD_contra_s2:e0:p98,3,1,0,DEFER,,
pairD_contra_s2:e0:p101,2,1,0,DEFER,,
pairD_contra_s2:e0:p108,2,1,0,DEFER,,
pairD_contra_s2:e0:p116,3,1,0,DEFER,,
pairD_contra_s2:e0:p117,2,1,0,DEFER,,
pairD_contra_s2:e0:p122,2,1,0,DEFER,,
pairD_contra_s2:e0:p123,2,1,0,DEFER,,
pairD_contra_s2:e0:p148,2,1,0,DEFER,,
pairD_contra_s2:e0:p169,2,1,0,DEFER,,
pairD_contra_s2:e0:p176,2,1,0,DEFER,,
pairD_contra_s2:e0:p202,2,1,0,DEFER,,
pairD_contra_s2:e0:p205,2,1,0,DEFER,,
pairD_contra_s2:e0:p208,2,1,0,DEFER,,
pairD_contra_s2:e0:p210,2,1,0,DEFER,,
pairD_contra_s2:e0:p218,2,1,0,DEFER,,
pairD_contra_s2:e0:p223,2,1,0,DEFER,,
pairD_contra_s2:e0:p225,2,1,0,DEFER,,
pairD_contra_s2:e0:p235,2,1,0,DEFER,,
pairD_contra_s2:e0:p239,2,1,0,DEFER,,
pairD_contra_s2:e0:p243,2,1,0,DEFER,,
pairD_contra_s2:e0:p254,2,1,0,DEFER,,
pairD_contra_s2:e1:p2,2,1,0,DEFER,,
pairD_contra_s2:e1:p5,2,1,0,DEFER,,
pairD_contra_s2:e1:p37,2,1,0,DEFER,,
pairD_contra_s2:e1:p60,2,1,0,DEFER,,
pairD_contra_s2:e1:p65,3,1,0,DEFER,,
pairD_contra_s2:e1:p74,3,1,0,DEFER,,
pairD_contra_s2:e1:p78,2,1,0,DEFER,,
pairD_contra_s2:e1:p81,2,1,0,DEFER,,
pairD_contra_s2:e1:p83,2,1,0,DEFER,,
pairD_contra_s2:e1:p99,2,1,0,DEFER,,
pairD_contra_s2:e1:p102,3,1,0,DEFER,,
pairD_contra_s2:e1:p111,2,1,0,DEFER,,
pairD_contra_s2:e1:p114,2,1,0,DEFER,,
pairD_contra_s2:e1:p115,2,1,0,DEFER,,
pairD_contra_s2:e1:p118,2,1,0,DEFER,,
pairD_contra_s2:e1:p128,3,1,0,DEFER,,
pairD_contra_s2:e1:p131,2,1,0,DEFER,,
pairD_contra_s2:e1:p133,2,1,1,DEFER,,
pairD_contra_s2:e1:p134,2,1,0,DEFER,,
pairD_contra_s2:e1:p140,3,1,0,DEFER,,
pairD_contra_s2:e1:p141,3,1,0,DEFER,,
pairD_contra_s2:e1:p143,2,1,1,DEFER,,
pairD_contra_s2:e1:p144,2,1,0,DEFER,,
pairD_contra_s2:e1:p147,2,1,1,DEFER,,
pairD_contra_s2:e1:p148,3,1,0,DEFER,,
pairD_contra_s2:e1:p152,2,1,0,DEFER,,
pairD_contra_s2:e1:p153,2,1,0,DEFER,,
pairD_contra_s2:e1:p166,3,1,0,DEFER,,
pairD_contra_s2:e1:p169,3,1,0,DEFER,,
pairD_contra_s2:e1:p173,2,1,0,DEFER,,
pairD_contra_s2:e1:p177,2,1,1,DEFER,,
pairD_contra_s2:e1:p187,2,1,0,DEFER,,
pairD_contra_s2:e1:p193,3,1,0,DEFER,,
pairD_contra_s2:e1:p201,2,1,0,DEFER,,
pairD_contra_s2:e1:p216,2,1,0,DEFER,,
pairD_contra_s2:e1:p222,2,1,0,DEFER,,
pairD_contra_s2:e1:p234,2,1,0,DEFER,,
pairD_contra_s2:e1:p237,3,1,1,DEFER,,
pairD_contra_s2:e1:p248,2,1,1,DEFER,,
pairD_contra_s2:e2:p4,2,1,0,DEFER,,
pairD_contra_s2:e2:p10,2,1,0,DEFER,,
pairD_contra_s2:e2:p19,2,1,0,DEFER,,
pairD_contra_s2:e2:p33,2,1,0,DEFER,,
