query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_oneshot_s1:e7:p0,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p1,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p3,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p4,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p5,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p6,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p7,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p8,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p10,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p11,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p13,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p14,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p15,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p17,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p18,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p19,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p20,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p22,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p23,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p24,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p25,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p27,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p29,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p30,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p31,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p32,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p33,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p34,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p35,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p36,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p37,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p38,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p40,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p41,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p43,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p44,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p47,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p48,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p49,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p50,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p52,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p53,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p54,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p55,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p56,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p59,2,1,1,ACT,"{""3"": 1.0}",1.0
pairB_oneshot_s1:e7:p63,2,1,1,ACT,"{""3"": 1.0}",1.0
