query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_contra_s1:e0:p1,2,1,1,ACT,"{""2"": 1.0}",0.0
pairE_contra_s1:e0:p15,2,1,0,DEFER,,
pairE_contra_s1:e0:p20,2,1,0,DEFER,,
pairE_contra_s1:e0:p21,2,1,0,DEFER,,
pairE_contra_s1:e0:p24,3,1,0,DEFER,,
pairE_contra_s1:e0:p28,2,1,0,DEFER,,
pairE_contra_s1:e0:p34,2,1,0,DEFER,,
pairE_contra_s1:e0:p38,3,1,0,DEFER,,
pairE_contra_s1:e0:p44,2,1,0,DEFER,,
pairE_contra_s1:e0:p45,2,1,0,DEFER,,
pairE_contra_s1:e0:p49,2,1,0,DEFER,,
pairE_contra_s1:e0:p51,3,1,0,DEFER,,
pairE_contra_s1:e0:p52,2,1,0,DEFER,,
pairE_contra_s1:e0:p54,2,1,0,DEFER,,
pairE_contra_s1:e0:p56,2,1,0,DEFER,,
pairE_contra_s1:e0:p62,2,1,0,DEFER,,
pairE_contra_s1:e0:p63,2,1,0,DEFER,,
pairE_contra_s1:e0:p67,2,1,0,DEFER,,
pairE_contra_s1:e0:p71,2,1,0,DEFER,,
pairE_contra_s1:e0:p75,2,1,0,DEFER,,
pairE_contra_s1:e0:p79,2,1,0,DEFER,,
pairE_contra_s1:e0:p89,2,1,0,DEFER,,
pairE_contra_s1:e0:p104,2,1,0,DEFER,,
pairE_contra_s1:e0:p116,2,1,0,DEFER,,
pairE_contra_s1:e0:p117,2,1,0,DEFER,,
pairE_contra_s1:e0:p130,2,1,0,DEFER,,
pairE_contra_s1:e0:p131,2,1,0,DEFER,,
pairE_contra_s1:e0:p153,2,1,0,DEFER,,
pairE_contra_s1:e0:p154,2,1,0,DEFER,,
pairE_contra_s1:e0:p161,3,1,0,DEFER,,
pairE_contra_s1:e0:p165,2,1,0,DEFER,,
pairE_contra_s1:e0:p172,3,1,0,DEFER,,
pairE_contra_s1:e0:p174,2,1,0,DEFER,,
pairE_contra_s1:e1:p31,3,1,0,DEFER,,
pairE_contra_s1:e1:p41,2,1,0,DEFER,,
pairE_contra_s1:e1:p45,2,1,0,DEFER,,
pairE_contra_s1:e1:p51,3,1,0,DEFER,,
pairE_contra_s1:e1:p56,3,1,0,DEFER,,
pairE_contra_s1:e1:p57,2,1,0,DEFER,,
pairE_contra_s1:e1:p64,2,1,0,DEFER,,
pairE_contra_s1:e1:p78,2,1,0,DEFER,,
pairE_contra_s1:e1:p84,2,1,0,DEFER,,
pairE_contra_s1:e1:p99,2,1,0,DEFER,,
pairE_contra_s1:e1:p103,2,1,0,DEFER,,
pairE_contra_s1:e1:p105,2,1,0,DEFER,,
pairE_contra_s1:e1:p115,3,1,0,DEFER,,
pairE_contra_s1:e1:p116,3,1,0,DEFER,,
pairE_contra_s1:e1:p145,2,1,0,DEFER,,
pairE_contra_s1:e1:p155,3,1,0,DEFER,,
pairE_contra_s1:e1:p156,2,1,0,DEFER,,
pairE_contra_s1:e1:p157,2,1,0,DEFER,,
pairE_contra_s1:e1:p160,2,1,0,DEFER,,
pairE_contra_s1:e1:p167,2,1,0,DEFER,,
pairE_contra_s1:e1:p168,2,1,0,DEFER,,
pairE_contra_s1:e1:p173,2,1,0,DEFER,,
pairE_contra_s1:e1:p175,2,1,0,DEFER,,
pairE_contra_s1:e1:p187,2,1,0,DEFER,,
pairE_contra_s1:e1:p190,2,1,0,DEFER,,
pairE_contra_s1:e1:p205,2,1,0,DEFER,,
pairE_contra_s1:e1:p244,2,1,0,DEFER,,
pairE_contra_s1:e2:p3,2,1,0,DEFER,,
pairE_contra_s1:e2:p4,2,1,0,DEFER,,
pairE_contra_s1:e2:p8,2,1,0,DEFER,,
pairE_contra_s1:e2:p20,3,1,0,DEFER,,
pairE_contra_s1:e2:p21,3,1,0,DEFER,,
pairE_contra_s1:e2:p32,2,1,0,DEFER,,
pairE_contra_s1:e2:p39,3,1,0,DEFER,,
pairE_contra_s1:e2:p45,3,1,0,DEFER,,
pairE_contra_s1:e2:p49,3,1,0,DEFER,,
pairE_contra_s1:e2:p51,3,1,0,DEFER,,
pairE_contra_s1:e2:p54,3,1,0,DEFER,,
pairE_contra_s1:e2:p61,3,1,0,DEFER,,
pairE_contra_s1:e2:p62,3,1,0,DEFER,,
pairE_contra_s1:e2:p63,3,1,0,DEFER,,
pairE_contra_s1:e2:p74,2,1,0,DEFER,,
pairE_contra_s1:e2:p75,3,1,0,DEFER,,
pairE_contra_s1:e2:p79,3,1,0,DEFER,,
pairE_contra_s1:e2:p99,3,1,0,DEFER,,
pairE_contra_s1:e2:p101,2,1,0,DEFER,,
pairE_contra_s1:e2:p104,3,1,0,DEFER,,
pairE_contra_s1:e2:p105,3,1,0,DEFER,,
pairE_contra_s1:e2:p114,3,1,0,DEFER,,
pairE_contra_s1:e2:p116,3,1,0,DEFER,,
pairE_contra_s1:e2:p117,3,1,0,DEFER,,
pairE_contra_s1:e2:p125,3,1,0,DEFER,,
pairE_contra_s1:e2:p132,3,1,0,DEFER,,
pairE_contra_s1:e2:p136,3,1,0,DEFER,,
pairE_contra_s1:e2:p145,2,1,0,DEFER,,
pairE_contra_s1:e2:p146,2,1,0,DEFER,,
pairE_contra_s1:e2:p151,3,1,0,DEFER,,
pairE_contra_s1:e2:p160,2,1,0,DEFER,,
pairE_contra_s1:e2:p190,2,1,0,DEFER,,
pairE_contra_s1:e2:p199,2,1,0,DEFER,,
pairE_contra_s1:e2:p208,2,1,0,DEFER,,
pairE_contra_s1:e2:p210,2,1,0,DEFER,,
pairE_contra_s1:e2:p211,2,1,0,DEFER,,
pairE_contra_s1:e2:p212,2,1,0,DEFER,,
pairE_contra_s1:e2:p215,2,1,0,DEFER,,
pairE_contra_s1:e2:p216,2,1,0,DEFER,,
pairE_contra_s1:e2:p219,2,1,0,DEFER,,
pairE_contra_s1:e2:p228,2,1,0,DEFER,,
pairE_contra_s1:e2:p232,2,1,0,DEFER,,
pairE_contra_s1:e2:p234,2,1,0,DEFER,,
pairE_contra_s1:e2:p235,2,1,0,DEFER,,
pairE_contra_s1:e2:p240,2,1,0,DEFER,,
pairE_contra_s1:e2:p242,2,1,0,DEFER,,
pairE_contra_s1:e2:p252,2,1,0,DEFER,,
pairE_contra_s1:e3:p74,3,1,0,DEFER,,
pairE_contra_s1:e3:p138,3,1,0,DEFER,,
pairE_contra_s1:e3:p147,2,1,0,DEFER,,
pairE_contra_s1:e3:p149,3,1,0,DEFER,,
pairE_contra_s1:e3:p164,2,1,0,DEFER,,
pairE_contra_s1:e3:p186,2,1,0,DEFER,,
pairE_contra_s1:e3:p199,3,1,0,DEFER,,
pairE_contra_s1:e3:p205,3,1,0,DEFER,,
pairE_contra_s1:e3:p220,2,1,0,DEFER,,
pairE_contra_s1:e3:p221,2,1,0,DEFER,,
pairE_contra_s1:e3:p233,2,1,0,DEFER,,
pairE_contra_s1:e4:p27,2,1,0,DEFER,,
pairE_contra_s1:e4:p30,2,1,0,DEFER,,
pairE_contra_s1:e4:p40,2,1,0,DEFER,,
pairE_contra_s1:e4:p65,2,1,0,DEFER,,
pairE_contra_s1:e4:p66,3,1,0,DEFER,,
pairE_contra_s1:e4:p68,2,1,0,DEFER,,
pairE_contra_s1:e4:p69,2,1,0,DEFER,,
pairE_contra_s1:e4:p76,2,1,0,DEFER,,
pairE_contra_s1:e4:p86,2,1,0,DEFER,,
pairE_contra_s1:e4:p88,2,1,0,DEFER,,
pairE_contra_s1:e4:p89,3,1,0,DEFER,,
pairE_contra_s1:e4:p92,3,1,0,DEFER,,
pairE_contra_s1:e4:p94,2,1,0,DEFER,,
pairE_contra_s1:e4:p98,3,1,0,DEFER,,
pairE_contra_s1:e4:p102,2,1,0,DEFER,,
pairE_contra_s1:e4:p106,2,1,0,DEFER,,
