query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_contra_s2:e0:p2,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p9,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p13,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p31,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p39,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e0:p47,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p58,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e0:p65,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p71,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p77,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p78,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p80,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p84,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p87,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p102,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p125,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e0:p131,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p145,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p151,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_contra_s2:e0:p165,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p170,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_contra_s2:e0:p190,2,1,0,ACT,"{""2"": 1.0}",1.0
pairE_contra_s2:e0:p192,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p207,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e0:p218,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p231,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e0:p232,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e0:p250,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e0:p255,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p20,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_contra_s2:e1:p65,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p87,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p88,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e1:p89,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairE_contra_s2:e1:p90,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p92,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p98,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p103,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p105,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p112,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p116,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p119,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p121,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p124,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_contra_s2:e1:p126,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e1:p130,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p135,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p136,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p144,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p147,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p149,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p152,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p159,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p160,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p161,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p162,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p166,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p169,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p180,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p186,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p188,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e1:p190,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e1:p193,2,1,1,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e2:p0,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e2:p3,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_contra_s2:e2:p5,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e2:p18,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e2:p19,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e2:p27,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e2:p30,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_contra_s2:e2:p42,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_contra_s2:e2:p51,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_contra_s2:e2:p55,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_contra_s2:e2:p60,2,1,0,ACT,"{""2"": 1.0}",0.0
