query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairC_oneshot_s1:e7:p3,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p4,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p5,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p6,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p7,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p10,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p13,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p14,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p15,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p16,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p18,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p19,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p21,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p22,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p24,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p26,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p27,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p28,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p29,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p31,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p32,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p33,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p34,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p35,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p36,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p37,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p38,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p39,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p40,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p42,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p43,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p47,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p48,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p52,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p53,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p54,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p57,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p58,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p59,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p61,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p62,2,1,1,DEFER,,
pairC_oneshot_s1:e7:p63,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p4,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p5,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p6,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p7,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p10,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p13,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p14,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p16,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p18,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p19,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p21,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p22,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p24,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p26,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p27,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p28,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p29,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p31,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p32,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p33,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p34,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p35,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p36,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p37,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p38,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p39,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p40,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p42,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p43,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p47,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p48,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p52,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p53,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p54,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p57,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p58,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p59,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p61,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p62,2,1,1,DEFER,,
pairC_oneshot_s1:e8:p63,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p4,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p5,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p6,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p7,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p10,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p13,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p14,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p16,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p18,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p19,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p21,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p22,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p24,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p27,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p28,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p29,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p31,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p33,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p34,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p35,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p36,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p37,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p39,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p40,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p42,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p43,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p47,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p48,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p52,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p53,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p57,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p58,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p59,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p61,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p62,2,1,1,DEFER,,
pairC_oneshot_s1:e9:p63,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p4,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p5,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p6,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p10,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p13,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p14,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p16,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p18,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p19,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p21,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p22,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p24,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p27,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p28,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p29,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p31,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p34,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p36,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p37,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p39,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p42,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p43,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p47,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p48,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p52,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p53,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p57,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p58,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p61,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p62,2,1,1,DEFER,,
pairC_oneshot_s1:e10:p63,2,1,1,DEFER,,
