query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_mixed_s1:e0:p66,2,1,1,DEFER,,
pairB_mixed_s1:e0:p67,2,1,1,DEFER,,
pairB_mixed_s1:e0:p69,2,1,0,DEFER,,
pairB_mixed_s1:e0:p79,2,1,0,DEFER,,
pairB_mixed_s1:e0:p104,2,1,0,DEFER,,
pairB_mixed_s1:e0:p108,2,1,0,DEFER,,
pairB_mixed_s1:e0:p142,2,1,0,DEFER,,
pairB_mixed_s1:e0:p165,2,1,0,DEFER,,
pairB_mixed_s1:e0:p166,2,1,0,DEFER,,
pairB_mixed_s1:e0:p167,2,1,0,DEFER,,
pairB_mixed_s1:e0:p183,2,1,0,DEFER,,
pairB_mixed_s1:e0:p194,2,0,0,DEFER,,
pairB_mixed_s1:e0:p199,3,1,0,DEFER,,
pairB_mixed_s1:e0:p201,3,1,0,DEFER,,
pairB_mixed_s1:e0:p205,2,1,0,DEFER,,
pairB_mixed_s1:e0:p206,2,0,0,DEFER,,
pairB_mixed_s1:e0:p220,2,1,0,DEFER,,
pairB_mixed_s1:e0:p227,2,0,0,DEFER,,
pairB_mixed_s1:e0:p237,2,0,0,DEFER,,
pairB_mixed_s1:e0:p248,3,1,0,DEFER,,
pairB_mixed_s1:e0:p249,2,1,0,DEFER,,
pairB_mixed_s1:e1:p64,2,1,0,DEFER,,
pairB_mixed_s1:e1:p67,2,1,1,DEFER,,
pairB_mixed_s1:e1:p102,3,1,0,DEFER,,
pairB_mixed_s1:e1:p107,2,1,0,DEFER,,
pairB_mixed_s1:e1:p110,2,1,0,DEFER,,
pairB_mixed_s1:e1:p112,3,1,0,DEFER,,
pairB_mixed_s1:e1:p115,3,1,0,DEFER,,
pairB_mixed_s1:e1:p118,2,1,0,DEFER,,
pairB_mixed_s1:e1:p119,3,1,0,DEFER,,
pairB_mixed_s1:e1:p125,3,1,0,DEFER,,
pairB_mixed_s1:e1:p134,2,1,0,DEFER,,
pairB_mixed_s1:e1:p135,2,1,0,DEFER,,
pairB_mixed_s1:e1:p138,2,1,0,DEFER,,
pairB_mixed_s1:e1:p139,2,1,0,DEFER,,
pairB_mixed_s1:e1:p140,2,1,0,DEFER,,
pairB_mixed_s1:e1:p141,2,1,0,DEFER,,
pairB_mixed_s1:e1:p146,3,1,0,DEFER,,
pairB_mixed_s1:e1:p148,3,1,0,DEFER,,
pairB_mixed_s1:e1:p157,3,1,0,DEFER,,
pairB_mixed_s1:e1:p162,3,1,0,DEFER,,
pairB_mixed_s1:e1:p178,2,1,0,DEFER,,
pairB_mixed_s1:e1:p180,2,1,0,DEFER,,
pairB_mixed_s1:e1:p182,3,1,0,DEFER,,
pairB_mixed_s1:e1:p185,2,1,0,DEFER,,
pairB_mixed_s1:e1:p194,2,1,0,DEFER,,
pairB_mixed_s1:e1:p237,2,1,0,DEFER,,
pairB_mixed_s1:e1:p249,2,1,0,DEFER,,
pairB_mixed_s1:e2:p66,2,1,1,DEFER,,
pairB_mixed_s1:e2:p69,3,1,0,DEFER,,
pairB_mixed_s1:e2:p84,3,1,0,DEFER,,
pairB_mixed_s1:e2:p128,3,1,0,DEFER,,
pairB_mixed_s1:e2:p145,2,1,0,DEFER,,
pairB_mixed_s1:e2:p151,3,1,0,DEFER,,
pairB_mixed_s1:e2:p163,2,1,0,DEFER,,
pairB_mixed_s1:e2:p172,3,1,0,DEFER,,
pairB_mixed_s1:e2:p173,3,1,0,DEFER,,
pairB_mixed_s1:e2:p174,2,1,0,DEFER,,
pairB_mixed_s1:e2:p181,3,1,0,DEFER,,
pairB_mixed_s1:e2:p186,3,1,0,DEFER,,
pairB_mixed_s1:e2:p189,2,1,0,DEFER,,
pairB_mixed_s1:e2:p190,3,1,0,DEFER,,
pairB_mixed_s1:e2:p198,3,1,0,DEFER,,
pairB_mixed_s1:e2:p202,3,1,0,DEFER,,
pairB_mixed_s1:e2:p209,3,1,0,DEFER,,
pairB_mixed_s1:e2:p215,2,1,0,DEFER,,
pairB_mixed_s1:e2:p216,3,1,0,DEFER,,
pairB_mixed_s1:e2:p218,3,1,0,DEFER,,
pairB_mixed_s1:e2:p223,3,1,0,DEFER,,
pairB_mixed_s1:e2:p224,3,1,0,DEFER,,
pairB_mixed_s1:e2:p226,3,1,0,DEFER,,
pairB_mixed_s1:e2:p228,2,1,0,DEFER,,
pairB_mixed_s1:e2:p229,3,1,0,DEFER,,
pairB_mixed_s1:e2:p236,3,1,0,DEFER,,
pairB_mixed_s1:e2:p239,3,1,0,DEFER,,
pairB_mixed_s1:e2:p240,3,1,0,DEFER,,
pairB_mixed_s1:e2:p241,3,1,0,DEFER,,
pairB_mixed_s1:e2:p244,3,1,0,DEFER,,
pairB_mixed_s1:e2:p245,3,1,0,DEFER,,
pairB_mixed_s1:e3:p69,3,1,0,DEFER,,
pairB_mixed_s1:e3:p119,3,1,0,DEFER,,
pairB_mixed_s1:e3:p136,2,1,0,DEFER,,
pairB_mixed_s1:e3:p137,3,1,0,DEFER,,
pairB_mixed_s1:e3:p155,3,1,0,DEFER,,
pairB_mixed_s1:e3:p203,3,1,0,DEFER,,
pairB_mixed_s1:e3:p214,3,1,0,DEFER,,
pairB_mixed_s1:e3:p219,2,1,0,DEFER,,
pairB_mixed_s1:e3:p221,2,1,0,DEFER,,
pairB_mixed_s1:e3:p222,3,1,0,DEFER,,
pairB_mixed_s1:e3:p225,2,1,0,DEFER,,
pairB_mixed_s1:e3:p230,2,1,0,DEFER,,
pairB_mixed_s1:e3:p233,2,1,0,DEFER,,
pairB_mixed_s1:e3:p255,2,1,0,DEFER,,
pairB_mixed_s1:e4:p67,3,1,1,DEFER,,
pairB_mixed_s1:e4:p68,3,1,0,DEFER,,
pairB_mixed_s1:e4:p69,3,1,0,DEFER,,
pairB_mixed_s1:e4:p70,2,1,0,DEFER,,
pairB_mixed_s1:e4:p72,2,1,0,DEFER,,
pairB_mixed_s1:e4:p80,3,1,0,DEFER,,
pairB_mixed_s1:e4:p106,3,1,0,DEFER,,
pairB_mixed_s1:e4:p111,3,1,0,DEFER,,
pairB_mixed_s1:e4:p188,3,1,0,DEFER,,
pairB_mixed_s1:e4:p210,3,1,0,DEFER,,
pairB_mixed_s1:e4:p223,3,1,0,DEFER,,
pairB_mixed_s1:e4:p229,3,1,0,DEFER,,
pairB_mixed_s1:e4:p231,3,1,0,DEFER,,
pairB_mixed_s1:e4:p236,3,1,0,DEFER,,
pairB_mixed_s1:e4:p245,3,1,0,DEFER,,
pairB_mixed_s1:e5:p66,3,1,0,DEFER,,
pairB_mixed_s1:e5:p73,3,1,0,DEFER,,
pairB_mixed_s1:e5:p74,3,1,0,DEFER,,
pairB_mixed_s1:e5:p75,3,1,0,DEFER,,
pairB_mixed_s1:e5:p89,3,1,0,DEFER,,
pairB_mixed_s1:e5:p95,2,1,0,DEFER,,
pairB_mixed_s1:e5:p98,3,1,0,DEFER,,
