query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_stale_s1:e0:p142,2,0,0,DEFER,,
pairB_stale_s1:e0:p167,2,0,0,DEFER,,
pairB_stale_s1:e0:p194,2,0,0,DEFER,,
pairB_stale_s1:e0:p206,2,0,0,DEFER,,
pairB_stale_s1:e0:p227,2,0,0,DEFER,,
pairB_stale_s1:e0:p237,2,0,0,DEFER,,
pairB_stale_s1:e6:p0,2,1,0,DEFER,,
pairB_stale_s1:e6:p1,2,1,0,DEFER,,
pairB_stale_s1:e6:p3,2,1,0,DEFER,,
pairB_stale_s1:e6:p4,2,1,0,DEFER,,
pairB_stale_s1:e6:p5,2,1,0,DEFER,,
pairB_stale_s1:e6:p6,2,1,0,DEFER,,
pairB_stale_s1:e6:p7,2,1,0,DEFER,,
pairB_stale_s1:e6:p8,2,1,0,DEFER,,
pairB_stale_s1:e6:p10,2,1,0,DEFER,,
pairB_stale_s1:e6:p11,2,1,0,DEFER,,
pairB_stale_s1:e6:p13,2,1,0,DEFER,,
pairB_stale_s1:e6:p14,2,1,0,DEFER,,
pairB_stale_s1:e6:p15,2,1,0,DEFER,,
pairB_stale_s1:e6:p17,2,1,0,DEFER,,
pairB_stale_s1:e6:p18,2,1,0,DEFER,,
pairB_stale_s1:e6:p19,2,1,0,DEFER,,
pairB_stale_s1:e6:p20,2,1,0,DEFER,,
pairB_stale_s1:e6:p22,2,1,0,DEFER,,
pairB_stale_s1:e6:p23,2,1,0,DEFER,,
pairB_stale_s1:e6:p24,2,1,0,DEFER,,
pairB_stale_s1:e6:p25,2,1,0,DEFER,,
pairB_stale_s1:e6:p27,2,1,0,DEFER,,
pairB_stale_s1:e6:p29,2,1,0,DEFER,,
pairB_stale_s1:e6:p30,2,1,0,DEFER,,
pairB_stale_s1:e6:p31,2,1,0,DEFER,,
pairB_stale_s1:e6:p32,2,1,0,DEFER,,
pairB_stale_s1:e6:p33,2,1,0,DEFER,,
pairB_stale_s1:e6:p34,2,1,0,DEFER,,
pairB_stale_s1:e6:p35,2,1,0,DEFER,,
pairB_stale_s1:e6:p36,2,1,0,DEFER,,
pairB_stale_s1:e6:p37,2,1,0,DEFER,,
