query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairC_mixed_s1:e0:p14,2,0,0,DEFER,,
pairC_mixed_s1:e0:p44,3,1,0,DEFER,,
pairC_mixed_s1:e0:p48,2,0,0,DEFER,,
pairC_mixed_s1:e0:p60,2,0,0,DEFER,,
pairC_mixed_s1:e0:p66,2,1,0,DEFER,,
pairC_mixed_s1:e0:p67,2,1,0,DEFER,,
pairC_mixed_s1:e0:p69,2,1,0,DEFER,,
pairC_mixed_s1:e0:p78,2,1,0,DEFER,,
pairC_mixed_s1:e0:p80,2,1,0,DEFER,,
pairC_mixed_s1:e0:p83,2,1,0,DEFER,,
pairC_mixed_s1:e0:p84,3,1,0,DEFER,,
pairC_mixed_s1:e0:p91,3,1,0,DEFER,,
pairC_mixed_s1:e0:p97,2,1,0,DEFER,,
pairC_mixed_s1:e0:p113,2,1,0,DEFER,,
pairC_mixed_s1:e0:p116,2,1,0,DEFER,,
pairC_mixed_s1:e0:p120,2,1,0,DEFER,,
pairC_mixed_s1:e0:p121,2,1,0,DEFER,,
pairC_mixed_s1:e0:p124,2,1,0,DEFER,,
pairC_mixed_s1:e0:p127,2,1,0,DEFER,,
pairC_mixed_s1:e0:p133,2,1,0,DEFER,,
pairC_mixed_s1:e0:p135,2,1,0,DEFER,,
pairC_mixed_s1:e0:p139,2,1,0,DEFER,,
pairC_mixed_s1:e0:p140,2,1,0,DEFER,,
pairC_mixed_s1:e0:p144,2,1,0,DEFER,,
pairC_mixed_s1:e0:p146,2,1,0,DEFER,,
pairC_mixed_s1:e0:p149,2,1,0,DEFER,,
pairC_mixed_s1:e0:p151,2,1,0,DEFER,,
pairC_mixed_s1:e0:p154,2,1,0,DEFER,,
pairC_mixed_s1:e0:p155,2,1,0,DEFER,,
pairC_mixed_s1:e0:p156,2,1,0,DEFER,,
pairC_mixed_s1:e0:p159,2,1,0,DEFER,,
pairC_mixed_s1:e0:p160,3,1,0,DEFER,,
pairC_mixed_s1:e0:p163,3,1,0,DEFER,,
pairC_mixed_s1:e0:p164,2,1,0,DEFER,,
pairC_mixed_s1:e0:p166,2,1,0,DEFER,,
pairC_mixed_s1:e0:p168,2,1,0,DEFER,,
pairC_mixed_s1:e0:p173,2,1,0,DEFER,,
pairC_mixed_s1:e0:p176,3,1,0,DEFER,,
pairC_mixed_s1:e0:p177,2,1,0,DEFER,,
pairC_mixed_s1:e0:p182,2,1,0,DEFER,,
pairC_mixed_s1:e0:p190,2,1,0,DEFER,,
pairC_mixed_s1:e0:p209,2,1,0,DEFER,,
pairC_mixed_s1:e1:p69,3,1,0,DEFER,,
pairC_mixed_s1:e1:p74,3,1,0,DEFER,,
