query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairC_mixed_s2:e0:p64,3,1,0,DEFER,,
pairC_mixed_s2:e0:p68,3,1,0,DEFER,,
pairC_mixed_s2:e0:p72,2,1,0,DEFER,,
pairC_mixed_s2:e0:p78,3,1,0,DEFER,,
pairC_mixed_s2:e0:p80,3,1,0,DEFER,,
pairC_mixed_s2:e0:p84,2,1,0,DEFER,,
pairC_mixed_s2:e0:p89,2,1,0,DEFER,,
pairC_mixed_s2:e0:p97,2,1,0,DEFER,,
pairC_mixed_s2:e0:p99,2,1,0,DEFER,,
pairC_mixed_s2:e0:p106,2,1,0,DEFER,,
pairC_mixed_s2:e0:p136,2,1,1,DEFER,,
pairC_mixed_s2:e0:p140,2,1,0,DEFER,,
pairC_mixed_s2:e0:p141,3,1,0,DEFER,,
pairC_mixed_s2:e0:p143,2,1,0,DEFER,,
pairC_mixed_s2:e0:p145,2,1,0,DEFER,,
pairC_mixed_s2:e0:p148,2,1,0,DEFER,,
pairC_mixed_s2:e0:p169,2,1,0,DEFER,,
pairC_mixed_s2:e0:p172,2,1,0,DEFER,,
pairC_mixed_s2:e0:p174,2,1,0,DEFER,,
pairC_mixed_s2:e0:p179,3,1,0,DEFER,,
pairC_mixed_s2:e0:p181,2,1,0,DEFER,,
pairC_mixed_s2:e0:p189,2,1,0,DEFER,,
pairC_mixed_s2:e0:p192,2,1,0,DEFER,,
pairC_mixed_s2:e0:p200,3,1,0,DEFER,,
pairC_mixed_s2:e0:p232,2,1,0,DEFER,,
pairC_mixed_s2:e1:p67,3,1,0,DEFER,,
pairC_mixed_s2:e1:p81,2,1,0,DEFER,,
pairC_mixed_s2:e1:p86,3,1,0,DEFER,,
pairC_mixed_s2:e1:p102,3,1,0,DEFER,,
pairC_mixed_s2:e1:p104,3,1,0,DEFER,,
pairC_mixed_s2:e1:p110,3,1,0,DEFER,,
pairC_mixed_s2:e1:p111,2,1,0,DEFER,,
pairC_mixed_s2:e1:p121,3,1,0,DEFER,,
pairC_mixed_s2:e1:p124,3,1,0,DEFER,,
pairC_mixed_s2:e1:p127,3,1,0,DEFER,,
pairC_mixed_s2:e1:p139,2,1,0,DEFER,,
pairC_mixed_s2:e1:p163,2,1,0,DEFER,,
pairC_mixed_s2:e1:p164,2,1,0,DEFER,,
pairC_mixed_s2:e1:p207,2,1,0,DEFER,,
pairC_mixed_s2:e1:p210,2,1,0,DEFER,,
pairC_mixed_s2:e1:p217,3,1,0,DEFER,,
pairC_mixed_s2:e1:p249,2,1,0,DEFER,,
pairC_mixed_s2:e2:p65,3,1,0,DEFER,,
pairC_mixed_s2:e2:p71,3,1,0,DEFER,,
