query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairC_stale_s1:e0:p14,2,0,0,ACT,"{""2"": 1.0}",0.0
pairC_stale_s1:e0:p44,2,0,0,ACT,"{""0"": 1.0}",1.0
pairC_stale_s1:e0:p48,2,0,0,ACT,"{""2"": 1.0}",0.0
pairC_stale_s1:e0:p60,2,0,0,ACT,"{""2"": 1.0}",0.0
pairC_stale_s1:e6:p3,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p4,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p5,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p6,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p7,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p9,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p10,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p13,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p14,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p15,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p16,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p18,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p19,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p21,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p22,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p23,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p24,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p26,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p27,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p28,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p29,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p31,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p32,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.5
pairC_stale_s1:e6:p33,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p34,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p35,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p36,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p37,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p38,2,1,0,ACT,"{""3"": 1.0}",1.0
pairC_stale_s1:e6:p39,2,1,0,ACT,"{""3"": 1.0}",1.0
