query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_mixed_s1:e0:p1,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairD_mixed_s1:e0:p3,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p5,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p8,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p11,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairD_mixed_s1:e0:p16,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p18,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p20,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p22,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p24,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p26,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p30,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p32,2,1,0,ACT,"{""3"": 1.0}",0.0
pairD_mixed_s1:e0:p37,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p41,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p45,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p47,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p50,2,1,0,ACT,"{""0"": 1.0}",1.0
pairD_mixed_s1:e0:p53,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairD_mixed_s1:e0:p55,2,1,0,ACT,"{""0"": 1.0}",1.0
pairD_mixed_s1:e0:p58,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p62,2,0,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p63,2,0,0,ACT,"{""0"": 1.0}",1.0
pairD_mixed_s1:e0:p67,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p68,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p70,2,1,0,ACT,"{""3"": 1.0}",0.0
pairD_mixed_s1:e0:p71,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p72,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p74,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p75,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p80,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p82,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p84,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p85,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p86,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p88,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p89,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p91,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p96,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p98,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p99,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p103,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p108,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairD_mixed_s1:e0:p112,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairD_mixed_s1:e0:p113,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p115,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p118,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_mixed_s1:e0:p121,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairD_mixed_s1:e0:p123,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p126,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p127,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairD_mixed_s1:e0:p128,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p167,2,1,0,ACT,"{""3"": 1.0}",0.0
pairD_mixed_s1:e0:p191,2,1,0,ACT,"{""3"": 1.0}",0.0
pairD_mixed_s1:e0:p198,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s1:e0:p206,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p208,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p214,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e0:p250,2,1,0,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s1:e1:p2,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
