query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_mixed_s2:e0:p5,2,0,0,DEFER,,
pairD_mixed_s2:e0:p6,2,1,0,DEFER,,
pairD_mixed_s2:e0:p8,1,1,0,DEFER,,
pairD_mixed_s2:e0:p18,2,1,0,DEFER,,
pairD_mixed_s2:e0:p20,3,1,0,DEFER,,
pairD_mixed_s2:e0:p24,2,1,0,DEFER,,
pairD_mixed_s2:e0:p25,2,0,0,DEFER,,
pairD_mixed_s2:e0:p29,2,0,0,DEFER,,
pairD_mixed_s2:e0:p30,2,0,0,DEFER,,
pairD_mixed_s2:e0:p34,2,0,0,DEFER,,
pairD_mixed_s2:e0:p39,2,1,0,DEFER,,
pairD_mixed_s2:e0:p42,2,0,0,DEFER,,
pairD_mixed_s2:e0:p46,2,0,0,DEFER,,
pairD_mixed_s2:e0:p51,2,0,0,DEFER,,
pairD_mixed_s2:e0:p56,2,1,0,DEFER,,
pairD_mixed_s2:e0:p59,2,0,0,DEFER,,
pairD_mixed_s2:e0:p62,2,0,0,DEFER,,
pairD_mixed_s2:e0:p63,2,0,0,DEFER,,
pairD_mixed_s2:e0:p70,3,1,0,DEFER,,
pairD_mixed_s2:e0:p72,2,1,0,DEFER,,
pairD_mixed_s2:e0:p73,2,1,0,DEFER,,
pairD_mixed_s2:e0:p76,2,0,0,DEFER,,
pairD_mixed_s2:e0:p77,2,1,0,DEFER,,
pairD_mixed_s2:e0:p78,2,0,0,DEFER,,
pairD_mixed_s2:e0:p79,3,1,0,DEFER,,
pairD_mixed_s2:e0:p80,2,0,0,DEFER,,
pairD_mixed_s2:e0:p83,2,0,0,DEFER,,
pairD_mixed_s2:e0:p87,2,1,0,DEFER,,
pairD_mixed_s2:e0:p92,2,1,0,DEFER,,
pairD_mixed_s2:e0:p93,2,1,0,DEFER,,
pairD_mixed_s2:e0:p96,2,1,0,DEFER,,
pairD_mixed_s2:e0:p98,2,1,0,DEFER,,
pairD_mixed_s2:e0:p101,2,1,0,DEFER,,
pairD_mixed_s2:e0:p106,2,0,0,DEFER,,
pairD_mixed_s2:e0:p108,2,1,0,DEFER,,
pairD_mixed_s2:e0:p109,2,0,0,DEFER,,
pairD_mixed_s2:e0:p111,2,0,0,DEFER,,
pairD_mixed_s2:e0:p114,2,0,0,DEFER,,
pairD_mixed_s2:e0:p116,3,1,0,DEFER,,
pairD_mixed_s2:e0:p117,2,1,0,DEFER,,
pairD_mixed_s2:e0:p122,2,1,0,DEFER,,
pairD_mixed_s2:e0:p123,2,1,0,DEFER,,
pairD_mixed_s2:e0:p126,2,0,0,DEFER,,
pairD_mixed_s2:e0:p128,3,1,0,DEFER,,
pairD_mixed_s2:e0:p129,2,1,0,DEFER,,
pairD_mixed_s2:e0:p131,2,1,0,DEFER,,
pairD_mixed_s2:e0:p133,2,1,0,DEFER,,
pairD_mixed_s2:e0:p134,2,1,0,DEFER,,
pairD_mixed_s2:e0:p140,3,1,0,DEFER,,
pairD_mixed_s2:e0:p141,3,1,0,DEFER,,
pairD_mixed_s2:e0:p143,2,1,1,DEFER,,
pairD_mixed_s2:e0:p144,2,1,0,DEFER,,
pairD_mixed_s2:e0:p147,2,1,0,DEFER,,
pairD_mixed_s2:e0:p148,2,1,0,DEFER,,
pairD_mixed_s2:e0:p152,2,1,0,DEFER,,
pairD_mixed_s2:e0:p153,2,1,0,DEFER,,
pairD_mixed_s2:e0:p166,3,1,0,DEFER,,
pairD_mixed_s2:e0:p169,2,1,0,DEFER,,
pairD_mixed_s2:e0:p171,2,0,0,DEFER,,
pairD_mixed_s2:e0:p176,3,1,0,DEFER,,
pairD_mixed_s2:e0:p177,2,1,1,DEFER,,
pairD_mixed_s2:e0:p187,2,1,0,DEFER,,
pairD_mixed_s2:e0:p202,2,1,0,DEFER,,
pairD_mixed_s2:e0:p205,2,1,0,DEFER,,
pairD_mixed_s2:e0:p208,2,1,0,DEFER,,
pairD_mixed_s2:e0:p210,2,1,0,DEFER,,
pairD_mixed_s2:e0:p218,3,1,0,DEFER,,
pairD_mixed_s2:e0:p223,2,1,0,DEFER,,
pairD_mixed_s2:e0:p225,2,1,0,DEFER,,
pairD_mixed_s2:e0:p235,2,1,0,DEFER,,
pairD_mixed_s2:e0:p239,2,1,0,DEFER,,
pairD_mixed_s2:e0:p243,2,1,0,DEFER,,
pairD_mixed_s2:e0:p254,2,1,0,DEFER,,
pairD_mixed_s2:e1:p24,3,1,0,DEFER,,
pairD_mixed_s2:e1:p54,3,1,0,DEFER,,
pairD_mixed_s2:e1:p65,2,1,0,DEFER,,
pairD_mixed_s2:e1:p77,3,1,0,DEFER,,
pairD_mixed_s2:e1:p78,2,1,0,DEFER,,
pairD_mixed_s2:e1:p81,2,1,0,DEFER,,
pairD_mixed_s2:e1:p99,2,1,0,DEFER,,
pairD_mixed_s2:e1:p111,2,1,0,DEFER,,
pairD_mixed_s2:e1:p115,2,1,0,DEFER,,
pairD_mixed_s2:e1:p118,2,1,0,DEFER,,
pairD_mixed_s2:e1:p120,3,1,0,DEFER,,
pairD_mixed_s2:e1:p128,3,1,0,DEFER,,
pairD_mixed_s2:e1:p133,3,1,1,DEFER,,
pairD_mixed_s2:e1:p140,3,1,1,DEFER,,
pairD_mixed_s2:e1:p141,3,1,1,DEFER,,
pairD_mixed_s2:e1:p143,3,1,1,DEFER,,
pairD_mixed_s2:e1:p144,3,1,0,DEFER,,
pairD_mixed_s2:e1:p147,3,1,1,DEFER,,
pairD_mixed_s2:e1:p153,3,1,0,DEFER,,
pairD_mixed_s2:e1:p173,2,1,0,DEFER,,
pairD_mixed_s2:e1:p177,3,1,1,DEFER,,
pairD_mixed_s2:e1:p193,2,1,0,DEFER,,
pairD_mixed_s2:e1:p201,2,1,0,DEFER,,
pairD_mixed_s2:e1:p207,2,1,1,DEFER,,
pairD_mixed_s2:e1:p216,2,1,0,DEFER,,
pairD_mixed_s2:e1:p222,2,1,1,DEFER,,
pairD_mixed_s2:e1:p231,2,1,1,DEFER,,
pairD_mixed_s2:e1:p234,2,1,0,DEFER,,
pairD_mixed_s2:e1:p237,3,1,1,DEFER,,
pairD_mixed_s2:e1:p248,2,1,1,DEFER,,
pairD_mixed_s2:e2:p34,2,1,0,DEFER,,
pairD_mixed_s2:e2:p64,3,1,0,DEFER,,
pairD_mixed_s2:e2:p69,3,1,0,DEFER,,
pairD_mixed_s2:e2:p109,2,1,0,DEFER,,
pairD_mixed_s2:e2:p124,2,1,0,DEFER,,
pairD_mixed_s2:e2:p127,2,1,0,DEFER,,
pairD_mixed_s2:e2:p132,2,1,0,DEFER,,
pairD_mixed_s2:e2:p139,2,1,0,DEFER,,
pairD_mixed_s2:e2:p150,2,1,0,DEFER,,
pairD_mixed_s2:e2:p152,3,1,1,DEFER,,
pairD_mixed_s2:e2:p154,3,1,0,DEFER,,
pairD_mixed_s2:e2:p165,2,1,0,DEFER,,
pairD_mixed_s2:e2:p166,3,1,1,DEFER,,
pairD_mixed_s2:e2:p171,2,1,0,DEFER,,
pairD_mixed_s2:e2:p181,3,1,0,DEFER,,
pairD_mixed_s2:e2:p187,3,1,1,DEFER,,
pairD_mixed_s2:e2:p194,2,1,0,DEFER,,
pairD_mixed_s2:e2:p195,2,1,0,DEFER,,
pairD_mixed_s2:e2:p196,3,1,0,DEFER,,
pairD_mixed_s2:e2:p198,2,1,0,DEFER,,
pairD_mixed_s2:e2:p206,2,1,0,DEFER,,
pairD_mixed_s2:e2:p207,3,1,1,DEFER,,
pairD_mixed_s2:e2:p214,3,1,0,DEFER,,
pairD_mixed_s2:e2:p219,2,1,0,DEFER,,
pairD_mixed_s2:e2:p220,3,1,0,DEFER,,
pairD_mixed_s2:e2:p231,2,1,1,DEFER,,
pairD_mixed_s2:e2:p232,2,1,0,DEFER,,
pairD_mixed_s2:e2:p233,2,1,0,DEFER,,
pairD_mixed_s2:e2:p237,3,1,1,DEFER,,
pairD_mixed_s2:e2:p240,2,1,0,DEFER,,
pairD_mixed_s2:e2:p241,3,1,0,DEFER,,
pairD_mixed_s2:e2:p244,2,1,0,DEFER,,
pairD_mixed_s2:e2:p253,2,1,0,DEFER,,
pairD_mixed_s2:e3:p60,3,1,0,DEFER,,
pairD_mixed_s2:e3:p65,3,1,0,DEFER,,
pairD_mixed_s2:e3:p71,2,1,0,DEFER,,
pairD_mixed_s2:e3:p74,3,1,0,DEFER,,
pairD_mixed_s2:e3:p82,3,1,0,DEFER,,
pairD_mixed_s2:e3:p86,3,1,0,DEFER,,
pairD_mixed_s2:e3:p89,3,1,0,DEFER,,
pairD_mixed_s2:e3:p94,2,1,0,DEFER,,
pairD_mixed_s2:e3:p95,2,1,0,DEFER,,
pairD_mixed_s2:e3:p102,3,1,0,DEFER,,
pairD_mixed_s2:e3:p107,2,1,0,DEFER,,
pairD_mixed_s2:e3:p112,3,1,0,DEFER,,
pairD_mixed_s2:e3:p121,2,1,0,DEFER,,
pairD_mixed_s2:e3:p123,2,1,0,DEFER,,
pairD_mixed_s2:e3:p125,3,1,0,DEFER,,
pairD_mixed_s2:e3:p128,3,1,0,DEFER,,
pairD_mixed_s2:e3:p130,3,1,0,DEFER,,
pairD_mixed_s2:e3:p133,3,1,1,DEFER,,
pairD_mixed_s2:e3:p136,3,1,0,DEFER,,
pairD_mixed_s2:e3:p137,2,1,0,DEFER,,
pairD_mixed_s2:e3:p140,3,1,1,DEFER,,
pairD_mixed_s2:e3:p141,3,1,1,DEFER,,
pairD_mixed_s2:e3:p142,3,1,0,DEFER,,
pairD_mixed_s2:e3:p143,3,1,1,DEFER,,
pairD_mixed_s2:e3:p147,3,1,1,DEFER,,
pairD_mixed_s2:e3:p149,3,1,0,DEFER,,
pairD_mixed_s2:e3:p152,3,1,1,DEFER,,
pairD_mixed_s2:e3:p173,2,1,1,DEFER,,
pairD_mixed_s2:e3:p174,2,1,0,DEFER,,
pairD_mixed_s2:e3:p177,3,1,1,DEFER,,
pairD_mixed_s2:e3:p180,3,1,0,DEFER,,
pairD_mixed_s2:e3:p186,3,1,0,DEFER,,
pairD_mixed_s2:e3:p187,3,1,1,DEFER,,
pairD_mixed_s2:e3:p201,2,1,1,DEFER,,
pairD_mixed_s2:e3:p223,2,1,0,DEFER,,
pairD_mixed_s2:e3:p226,2,1,0,DEFER,,
pairD_mixed_s2:e3:p229,2,1,0,DEFER,,
pairD_mixed_s2:e3:p237,3,1,1,DEFER,,
pairD_mixed_s2:e3:p247,2,1,0,DEFER,,
pairD_mixed_s2:e3:p248,2,1,1,DEFER,,
pairD_mixed_s2:e4:p87,3,1,0,DEFER,,
pairD_mixed_s2:e4:p92,3,1,0,DEFER,,
pairD_mixed_s2:e4:p136,3,1,0,DEFER,,
pairD_mixed_s2:e4:p138,3,1,0,DEFER,,
pairD_mixed_s2:e4:p140,3,1,1,DEFER,,
pairD_mixed_s2:e4:p141,3,1,1,DEFER,,
pairD_mixed_s2:e4:p143,3,1,1,DEFER,,
pairD_mixed_s2:e4:p145,2,1,0,DEFER,,
pairD_mixed_s2:e4:p149,3,1,0,DEFER,,
pairD_mixed_s2:e4:p151,2,1,0,DEFER,,
pairD_mixed_s2:e4:p152,3,1,1,DEFER,,
pairD_mixed_s2:e4:p163,2,1,0,DEFER,,
pairD_mixed_s2:e4:p166,3,1,1,DEFER,,
pairD_mixed_s2:e4:p173,2,1,1,DEFER,,
pairD_mixed_s2:e4:p175,2,1,0,DEFER,,
pairD_mixed_s2:e4:p178,2,1,0,DEFER,,
pairD_mixed_s2:e4:p179,3,1,0,DEFER,,
pairD_mixed_s2:e4:p182,2,1,0,DEFER,,
pairD_mixed_s2:e4:p185,2,1,0,DEFER,,
pairD_mixed_s2:e4:p189,3,1,0,DEFER,,
pairD_mixed_s2:e4:p191,2,1,0,DEFER,,
pairD_mixed_s2:e4:p203,2,1,1,DEFER,,
pairD_mixed_s2:e4:p204,2,1,0,DEFER,,
pairD_mixed_s2:e4:p223,2,1,0,DEFER,,
pairD_mixed_s2:e4:p226,3,1,1,DEFER,,
pairD_mixed_s2:e4:p229,3,1,1,DEFER,,
pairD_mixed_s2:e4:p247,3,1,1,DEFER,,
pairD_mixed_s2:e5:p64,3,1,0,DEFER,,
pairD_mixed_s2:e5:p110,3,1,0,DEFER,,
pairD_mixed_s2:e5:p133,3,1,1,DEFER,,
pairD_mixed_s2:e5:p140,3,1,1,DEFER,,
pairD_mixed_s2:e5:p141,3,1,1,DEFER,,
pairD_mixed_s2:e5:p143,3,1,1,DEFER,,
pairD_mixed_s2:e5:p160,3,1,0,DEFER,,
pairD_mixed_s2:e5:p162,3,1,0,DEFER,,
pairD_mixed_s2:e5:p163,3,1,0,DEFER,,
pairD_mixed_s2:e5:p166,3,1,1,DEFER,,
pairD_mixed_s2:e5:p167,2,1,0,DEFER,,
pairD_mixed_s2:e5:p172,3,1,0,DEFER,,
pairD_mixed_s2:e5:p173,2,1,1,DEFER,,
pairD_mixed_s2:e5:p178,2,1,1,DEFER,,
pairD_mixed_s2:e5:p187,3,1,1,DEFER,,
pairD_mixed_s2:e5:p189,3,1,0,DEFER,,
pairD_mixed_s2:e5:p201,2,1,1,DEFER,,
pairD_mixed_s2:e5:p204,2,1,1,DEFER,,
pairD_mixed_s2:e5:p215,2,1,0,DEFER,,
pairD_mixed_s2:e5:p221,3,1,0,DEFER,,
pairD_mixed_s2:e5:p222,3,1,1,DEFER,,
pairD_mixed_s2:e5:p224,3,1,0,DEFER,,
pairD_mixed_s2:e5:p226,3,1,1,DEFER,,
pairD_mixed_s2:e5:p231,3,1,1,DEFER,,
pairD_mixed_s2:e5:p236,3,1,0,DEFER,,
pairD_mixed_s2:e5:p248,2,1,1,DEFER,,
pairD_mixed_s2:e5:p252,3,1,0,DEFER,,
pairD_mixed_s2:e6:p2,2,1,0,DEFER,,
pairD_mixed_s2:e6:p4,2,1,0,DEFER,,
pairD_mixed_s2:e6:p9,2,1,0,DEFER,,
pairD_mixed_s2:e6:p12,2,1,0,DEFER,,
pairD_mixed_s2:e6:p13,2,1,0,DEFER,,
pairD_mixed_s2:e6:p15,2,1,0,DEFER,,
pairD_mixed_s2:e6:p19,2,1,0,DEFER,,
pairD_mixed_s2:e6:p22,2,1,0,DEFER,,
pairD_mixed_s2:e6:p23,2,1,0,DEFER,,
pairD_mixed_s2:e6:p25,2,1,0,DEFER,,
pairD_mixed_s2:e6:p26,2,1,0,DEFER,,
pairD_mixed_s2:e6:p30,2,1,0,DEFER,,
pairD_mixed_s2:e6:p33,2,1,0,DEFER,,
pairD_mixed_s2:e6:p36,2,1,0,DEFER,,
pairD_mixed_s2:e6:p37,3,1,0,DEFER,,
pairD_mixed_s2:e6:p38,2,1,0,DEFER,,
pairD_mixed_s2:e6:p40,2,1,0,DEFER,,
pairD_mixed_s2:e6:p42,2,1,0,DEFER,,
pairD_mixed_s2:e6:p43,2,1,0,DEFER,,
pairD_mixed_s2:e6:p44,2,1,0,DEFER,,
pairD_mixed_s2:e6:p45,2,1,0,DEFER,,
pairD_mixed_s2:e6:p46,2,1,0,DEFER,,
pairD_mixed_s2:e6:p47,2,1,0,DEFER,,
pairD_mixed_s2:e6:p48,2,1,0,DEFER,,
pairD_mixed_s2:e6:p49,2,1,0,DEFER,,
pairD_mixed_s2:e6:p51,2,1,0,DEFER,,
pairD_mixed_s2:e6:p55,2,1,0,DEFER,,
pairD_mixed_s2:e6:p58,2,1,0,DEFER,,
pairD_mixed_s2:e6:p59,2,1,0,DEFER,,
pairD_mixed_s2:e6:p61,2,1,0,DEFER,,
pairD_mixed_s2:e6:p62,2,1,0,DEFER,,
pairD_mixed_s2:e6:p74,3,1,0,DEFER,,
pairD_mixed_s2:e6:p79,2,1,0,DEFER,,
pairD_mixed_s2:e6:p106,3,1,0,DEFER,,
pairD_mixed_s2:e6:p115,3,1,0,DEFER,,
pairD_mixed_s2:e6:p126,2,1,0,DEFER,,
pairD_mixed_s2:e6:p140,3,1,0,DEFER,,
pairD_mixed_s2:e6:p146,3,1,0,DEFER,,
pairD_mixed_s2:e6:p147,3,1,1,DEFER,,
pairD_mixed_s2:e6:p152,3,1,1,DEFER,,
pairD_mixed_s2:e6:p155,3,1,0,DEFER,,
