query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_stale_s2:e0:p1,2,0,0,DEFER,,
pairD_stale_s2:e0:p5,2,0,0,DEFER,,
pairD_stale_s2:e0:p8,2,0,0,DEFER,,
pairD_stale_s2:e0:p13,2,0,0,DEFER,,
pairD_stale_s2:e0:p14,2,0,0,DEFER,,
pairD_stale_s2:e0:p18,2,0,0,DEFER,,
pairD_stale_s2:e0:p20,2,1,0,DEFER,,
pairD_stale_s2:e0:p24,2,0,0,DEFER,,
pairD_stale_s2:e0:p25,2,0,0,DEFER,,
pairD_stale_s2:e0:p29,2,0,0,DEFER,,
pairD_stale_s2:e0:p30,2,0,0,DEFER,,
pairD_stale_s2:e0:p34,2,0,0,DEFER,,
pairD_stale_s2:e0:p42,2,0,0,DEFER,,
pairD_stale_s2:e0:p46,2,0,0,DEFER,,
pairD_stale_s2:e0:p51,2,0,0,DEFER,,
pairD_stale_s2:e0:p53,2,0,0,DEFER,,
pairD_stale_s2:e0:p56,2,1,0,DEFER,,
pairD_stale_s2:e0:p59,2,0,0,DEFER,,
pairD_stale_s2:e0:p62,2,0,0,DEFER,,
pairD_stale_s2:e0:p70,2,1,0,DEFER,,
pairD_stale_s2:e0:p72,2,0,0,DEFER,,
pairD_stale_s2:e0:p73,2,0,0,DEFER,,
pairD_stale_s2:e0:p76,2,0,0,DEFER,,
pairD_stale_s2:e0:p77,2,0,0,DEFER,,
pairD_stale_s2:e0:p78,2,0,0,DEFER,,
pairD_stale_s2:e0:p79,2,1,0,DEFER,,
pairD_stale_s2:e0:p80,2,0,0,DEFER,,
pairD_stale_s2:e0:p83,2,0,0,DEFER,,
pairD_stale_s2:e0:p92,2,0,0,DEFER,,
pairD_stale_s2:e0:p93,2,0,0,DEFER,,
pairD_stale_s2:e0:p96,2,0,0,DEFER,,
pairD_stale_s2:e0:p98,2,0,0,DEFER,,
pairD_stale_s2:e0:p106,2,0,0,DEFER,,
pairD_stale_s2:e0:p108,2,0,0,DEFER,,
pairD_stale_s2:e0:p109,2,0,0,DEFER,,
pairD_stale_s2:e0:p111,2,0,0,DEFER,,
pairD_stale_s2:e0:p114,2,0,0,DEFER,,
pairD_stale_s2:e0:p116,2,1,0,DEFER,,
pairD_stale_s2:e0:p117,2,0,0,DEFER,,
pairD_stale_s2:e0:p122,2,0,0,DEFER,,
pairD_stale_s2:e0:p123,2,0,0,DEFER,,
pairD_stale_s2:e0:p126,2,0,0,DEFER,,
pairD_stale_s2:e0:p171,2,0,0,DEFER,,
pairD_stale_s2:e6:p0,2,1,0,DEFER,,
pairD_stale_s2:e6:p1,2,1,0,DEFER,,
pairD_stale_s2:e6:p4,2,1,0,DEFER,,
pairD_stale_s2:e6:p9,2,1,0,DEFER,,
pairD_stale_s2:e6:p12,2,1,0,DEFER,,
pairD_stale_s2:e6:p13,2,1,0,DEFER,,
pairD_stale_s2:e6:p15,2,1,0,DEFER,,
pairD_stale_s2:e6:p19,2,1,0,DEFER,,
pairD_stale_s2:e6:p21,3,1,0,DEFER,,
pairD_stale_s2:e6:p22,2,1,0,DEFER,,
pairD_stale_s2:e6:p23,2,1,0,DEFER,,
pairD_stale_s2:e6:p25,2,1,0,DEFER,,
pairD_stale_s2:e6:p26,2,1,0,DEFER,,
pairD_stale_s2:e6:p28,2,1,0,DEFER,,
pairD_stale_s2:e6:p29,2,1,0,DEFER,,
pairD_stale_s2:e6:p30,2,1,0,DEFER,,
pairD_stale_s2:e6:p31,2,1,0,DEFER,,
pairD_stale_s2:e6:p32,2,1,0,DEFER,,
pairD_stale_s2:e6:p36,2,1,0,DEFER,,
pairD_stale_s2:e6:p37,3,1,0,DEFER,,
pairD_stale_s2:e6:p38,2,1,0,DEFER,,
pairD_stale_s2:e6:p40,2,1,0,DEFER,,
pairD_stale_s2:e6:p42,2,1,0,DEFER,,
pairD_stale_s2:e6:p43,2,1,0,DEFER,,
pairD_stale_s2:e6:p45,2,1,0,DEFER,,
pairD_stale_s2:e6:p46,2,1,0,DEFER,,
pairD_stale_s2:e6:p47,2,1,0,DEFER,,
pairD_stale_s2:e6:p48,2,1,0,DEFER,,
pairD_stale_s2:e6:p49,2,1,0,DEFER,,
pairD_stale_s2:e6:p51,2,1,0,DEFER,,
pairD_stale_s2:e6:p53,2,1,0,DEFER,,
pairD_stale_s2:e6:p55,2,1,0,DEFER,,
pairD_stale_s2:e6:p56,3,1,0,DEFER,,
pairD_stale_s2:e6:p57,2,1,0,DEFER,,
pairD_stale_s2:e6:p59,2,1,0,DEFER,,
pairD_stale_s2:e6:p61,2,1,0,DEFER,,
pairD_stale_s2:e6:p62,2,1,0,DEFER,,
pairD_stale_s2:e7:p2,2,1,0,DEFER,,
pairD_stale_s2:e7:p4,2,1,0,DEFER,,
pairD_stale_s2:e7:p12,2,1,0,DEFER,,
pairD_stale_s2:e7:p15,2,1,0,DEFER,,
pairD_stale_s2:e7:p23,2,1,0,DEFER,,
pairD_stale_s2:e7:p30,2,1,0,DEFER,,
pairD_stale_s2:e7:p36,2,1,0,DEFER,,
pairD_stale_s2:e7:p37,3,1,0,DEFER,,
pairD_stale_s2:e7:p38,2,1,0,DEFER,,
pairD_stale_s2:e7:p42,2,1,0,DEFER,,
pairD_stale_s2:e7:p43,2,1,0,DEFER,,
pairD_stale_s2:e7:p44,2,1,0,DEFER,,
pairD_stale_s2:e7:p46,2,1,0,DEFER,,
pairD_stale_s2:e7:p53,2,1,0,DEFER,,
pairD_stale_s2:e7:p56,3,1,0,DEFER,,
pairD_stale_s2:e7:p62,2,1,0,DEFER,,
pairD_stale_s2:e8:p0,2,1,0,DEFER,,
pairD_stale_s2:e8:p4,2,1,0,DEFER,,
