query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_mixed_s1:e0:p0,2,0,0,DEFER,,
pairE_mixed_s1:e0:p3,2,0,0,DEFER,,
pairE_mixed_s1:e0:p4,2,0,0,DEFER,,
pairE_mixed_s1:e0:p8,2,0,0,DEFER,,
pairE_mixed_s1:e0:p13,2,0,0,DEFER,,
pairE_mixed_s1:e0:p14,2,0,0,DEFER,,
pairE_mixed_s1:e0:p16,2,0,0,DEFER,,
pairE_mixed_s1:e0:p22,2,0,0,DEFER,,
pairE_mixed_s1:e0:p25,2,1,0,DEFER,,
pairE_mixed_s1:e0:p26,2,0,0,DEFER,,
pairE_mixed_s1:e0:p32,2,0,0,DEFER,,
pairE_mixed_s1:e0:p35,2,0,0,DEFER,,
pairE_mixed_s1:e0:p39,2,0,0,DEFER,,
pairE_mixed_s1:e0:p42,2,0,0,DEFER,,
pairE_mixed_s1:e0:p48,2,0,0,DEFER,,
pairE_mixed_s1:e0:p53,2,0,0,DEFER,,
pairE_mixed_s1:e0:p59,2,0,0,DEFER,,
pairE_mixed_s1:e0:p61,2,0,0,DEFER,,
pairE_mixed_s1:e0:p67,2,1,0,DEFER,,
pairE_mixed_s1:e0:p71,2,1,0,DEFER,,
pairE_mixed_s1:e0:p78,2,0,0,DEFER,,
pairE_mixed_s1:e0:p80,2,1,0,DEFER,,
pairE_mixed_s1:e0:p81,2,0,0,DEFER,,
pairE_mixed_s1:e0:p82,2,1,0,DEFER,,
pairE_mixed_s1:e0:p89,2,1,0,DEFER,,
pairE_mixed_s1:e0:p90,2,1,0,DEFER,,
pairE_mixed_s1:e0:p93,2,0,0,DEFER,,
pairE_mixed_s1:e0:p95,2,0,0,DEFER,,
pairE_mixed_s1:e0:p100,2,1,0,DEFER,,
pairE_mixed_s1:e0:p101,2,1,0,DEFER,,
pairE_mixed_s1:e0:p104,2,1,0,DEFER,,
pairE_mixed_s1:e0:p106,2,0,0,DEFER,,
pairE_mixed_s1:e0:p114,2,1,0,DEFER,,
pairE_mixed_s1:e0:p125,3,1,0,DEFER,,
pairE_mixed_s1:e0:p126,3,1,0,DEFER,,
pairE_mixed_s1:e0:p130,2,1,0,DEFER,,
pairE_mixed_s1:e0:p131,2,1,0,DEFER,,
pairE_mixed_s1:e0:p145,2,0,0,DEFER,,
pairE_mixed_s1:e0:p153,2,1,0,DEFER,,
pairE_mixed_s1:e0:p160,2,0,0,DEFER,,
pairE_mixed_s1:e0:p165,2,1,0,DEFER,,
pairE_mixed_s1:e0:p172,2,1,0,DEFER,,
pairE_mixed_s1:e0:p174,2,1,0,DEFER,,
pairE_mixed_s1:e0:p190,2,0,0,DEFER,,
pairE_mixed_s1:e0:p201,2,0,0,DEFER,,
pairE_mixed_s1:e0:p204,2,0,0,DEFER,,
pairE_mixed_s1:e0:p214,2,0,0,DEFER,,
pairE_mixed_s1:e0:p221,2,0,0,DEFER,,
pairE_mixed_s1:e0:p227,2,0,0,DEFER,,
pairE_mixed_s1:e0:p244,2,0,0,DEFER,,
pairE_mixed_s1:e0:p249,2,0,0,DEFER,,
pairE_mixed_s1:e0:p253,2,1,0,DEFER,,
pairE_mixed_s1:e1:p64,2,1,0,DEFER,,
pairE_mixed_s1:e1:p70,3,1,0,DEFER,,
pairE_mixed_s1:e1:p79,2,1,0,DEFER,,
pairE_mixed_s1:e1:p103,2,1,0,DEFER,,
pairE_mixed_s1:e1:p115,3,1,0,DEFER,,
pairE_mixed_s1:e1:p167,2,1,0,DEFER,,
pairE_mixed_s1:e1:p168,2,1,0,DEFER,,
pairE_mixed_s1:e1:p173,2,1,0,DEFER,,
pairE_mixed_s1:e1:p175,2,1,0,DEFER,,
pairE_mixed_s1:e1:p190,2,1,0,DEFER,,
pairE_mixed_s1:e2:p74,3,1,0,DEFER,,
pairE_mixed_s1:e2:p75,3,1,0,DEFER,,
pairE_mixed_s1:e2:p79,3,1,0,DEFER,,
pairE_mixed_s1:e2:p117,3,1,0,DEFER,,
pairE_mixed_s1:e2:p128,3,1,0,DEFER,,
pairE_mixed_s1:e2:p130,3,1,0,DEFER,,
pairE_mixed_s1:e2:p132,3,1,0,DEFER,,
pairE_mixed_s1:e2:p145,3,1,0,DEFER,,
pairE_mixed_s1:e2:p146,2,1,0,DEFER,,
pairE_mixed_s1:e2:p148,3,1,0,DEFER,,
pairE_mixed_s1:e2:p160,3,1,0,DEFER,,
pairE_mixed_s1:e2:p162,3,1,0,DEFER,,
pairE_mixed_s1:e2:p177,3,1,0,DEFER,,
pairE_mixed_s1:e2:p185,2,1,0,DEFER,,
pairE_mixed_s1:e2:p190,3,1,0,DEFER,,
pairE_mixed_s1:e2:p199,2,1,0,DEFER,,
pairE_mixed_s1:e2:p208,2,1,0,DEFER,,
pairE_mixed_s1:e2:p210,2,1,0,DEFER,,
pairE_mixed_s1:e2:p211,2,1,0,DEFER,,
pairE_mixed_s1:e2:p212,2,1,0,DEFER,,
pairE_mixed_s1:e2:p215,2,1,0,DEFER,,
pairE_mixed_s1:e2:p216,2,1,0,DEFER,,
pairE_mixed_s1:e2:p219,2,1,0,DEFER,,
pairE_mixed_s1:e2:p228,2,1,0,DEFER,,
pairE_mixed_s1:e2:p232,2,1,0,DEFER,,
pairE_mixed_s1:e2:p234,2,1,0,DEFER,,
pairE_mixed_s1:e2:p235,2,1,0,DEFER,,
pairE_mixed_s1:e2:p240,2,1,0,DEFER,,
pairE_mixed_s1:e2:p242,3,1,0,DEFER,,
pairE_mixed_s1:e2:p244,3,1,0,DEFER,,
pairE_mixed_s1:e2:p252,2,1,0,DEFER,,
pairE_mixed_s1:e3:p84,3,1,0,DEFER,,
pairE_mixed_s1:e3:p138,3,1,0,DEFER,,
pairE_mixed_s1:e3:p149,3,1,0,DEFER,,
pairE_mixed_s1:e3:p164,2,1,0,DEFER,,
pairE_mixed_s1:e3:p186,2,1,0,DEFER,,
pairE_mixed_s1:e3:p199,3,1,0,DEFER,,
pairE_mixed_s1:e3:p233,2,1,0,DEFER,,
pairE_mixed_s1:e3:p240,3,1,0,DEFER,,
pairE_mixed_s1:e4:p65,3,1,0,DEFER,,
pairE_mixed_s1:e4:p66,3,1,0,DEFER,,
pairE_mixed_s1:e4:p67,3,1,0,DEFER,,
pairE_mixed_s1:e4:p68,2,1,0,DEFER,,
pairE_mixed_s1:e4:p76,2,1,0,DEFER,,
pairE_mixed_s1:e4:p88,2,1,0,DEFER,,
pairE_mixed_s1:e4:p92,3,1,0,DEFER,,
pairE_mixed_s1:e4:p98,3,1,0,DEFER,,
pairE_mixed_s1:e4:p106,2,1,0,DEFER,,
pairE_mixed_s1:e4:p123,2,1,0,DEFER,,
pairE_mixed_s1:e4:p127,2,1,0,DEFER,,
pairE_mixed_s1:e4:p133,2,1,0,DEFER,,
pairE_mixed_s1:e4:p140,2,1,0,DEFER,,
pairE_mixed_s1:e4:p143,2,1,0,DEFER,,
pairE_mixed_s1:e4:p145,3,1,0,DEFER,,
pairE_mixed_s1:e4:p146,3,1,0,DEFER,,
pairE_mixed_s1:e4:p159,2,1,0,DEFER,,
pairE_mixed_s1:e4:p170,2,1,0,DEFER,,
pairE_mixed_s1:e4:p171,2,1,0,DEFER,,
pairE_mixed_s1:e4:p182,2,1,0,DEFER,,
