query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_stale_s1:e0:p0,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p3,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p4,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p8,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p13,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p14,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p16,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p22,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p25,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p26,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p32,2,0,0,ACT,"{""3"": 1.0}",0.0
pairE_stale_s1:e0:p35,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p39,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p42,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p48,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p53,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p59,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p61,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_stale_s1:e0:p78,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p80,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p81,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p82,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p90,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p93,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p95,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p100,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p101,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p106,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p114,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p125,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p126,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p160,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p201,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p204,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p214,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p221,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p227,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p244,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e0:p249,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e6:p0,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p1,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p2,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p3,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p4,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p5,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_stale_s1:e6:p6,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p7,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p8,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p10,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e6:p11,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e6:p12,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p13,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p14,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p15,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p18,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p19,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p20,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p21,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p23,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p24,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p25,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairE_stale_s1:e6:p26,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p27,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p28,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e6:p29,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p30,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p31,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p34,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p35,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p36,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p37,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p38,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairE_stale_s1:e6:p39,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p40,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p41,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e6:p43,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p45,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p46,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p49,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p50,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p51,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p53,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p54,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p55,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p56,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p57,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p58,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p59,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p60,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p62,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p63,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_stale_s1:e6:p205,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p0,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p11,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p12,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p15,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p19,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p26,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p27,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p29,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p30,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p36,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p37,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p44,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p49,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p51,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p52,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p53,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p57,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p58,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p62,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e7:p63,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p5,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_stale_s1:e8:p6,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p11,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p15,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p19,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p26,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p27,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p28,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p36,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p37,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p39,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p43,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p46,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p49,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p53,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p57,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p59,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e8:p205,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p15,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p19,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p21,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p24,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p25,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p27,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p28,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p34,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p37,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p38,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_stale_s1:e9:p39,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e9:p60,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p5,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_stale_s1:e10:p7,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p8,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p12,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p13,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p14,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p25,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p30,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p39,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p48,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p56,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p57,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e10:p60,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p1,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p6,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p20,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p21,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p24,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p27,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p39,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p49,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p51,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p56,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_stale_s1:e11:p59,2,1,0,ACT,"{""0"": 1.0}",0.0
