query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_mixed_s1:e3:p143,3,1,1,DEFER,,
pairD_mixed_s1:e3:p153,2,1,1,DEFER,,
pairD_mixed_s1:e3:p186,3,1,1,DEFER,,
pairD_mixed_s1:e3:p250,2,1,1,DEFER,,
pairD_mixed_s1:e4:p155,2,1,1,DEFER,,
pairD_mixed_s1:e4:p163,3,1,1,DEFER,,
pairD_mixed_s1:e4:p181,2,1,1,DEFER,,
pairD_mixed_s1:e4:p250,2,1,1,DEFER,,
pairD_mixed_s1:e5:p157,3,1,1,DEFER,,
pairD_mixed_s1:e6:p143,3,1,1,DEFER,,
pairD_mixed_s1:e6:p155,2,1,1,DEFER,,
pairD_mixed_s1:e6:p181,2,1,1,DEFER,,
pairD_mixed_s1:e6:p186,3,1,1,DEFER,,
pairD_mixed_s1:e7:p153,2,1,1,DEFER,,
pairD_mixed_s1:e7:p155,2,1,1,DEFER,,
pairD_mixed_s1:e7:p157,3,1,1,DEFER,,
pairD_mixed_s1:e7:p181,2,1,1,DEFER,,
pairD_mixed_s1:e7:p250,2,1,1,DEFER,,
pairD_mixed_s1:e8:p157,3,1,1,DEFER,,
pairD_mixed_s1:e8:p163,3,1,1,DEFER,,
pairD_mixed_s1:e8:p186,3,1,1,DEFER,,
pairD_mixed_s1:e9:p163,3,1,1,DEFER,,
pairD_mixed_s1:e9:p181,2,1,1,DEFER,,
pairD_mixed_s1:e10:p153,2,1,1,DEFER,,
pairD_mixed_s1:e10:p155,2,1,1,DEFER,,
pairD_mixed_s1:e10:p181,2,1,1,DEFER,,
pairD_mixed_s1:e11:p153,2,1,1,DEFER,,
pairD_mixed_s1:e11:p163,3,1,1,DEFER,,
