query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_mixed_s2:e2:p152,3,1,1,DEFER,,
pairD_mixed_s2:e3:p133,3,1,1,DEFER,,
pairD_mixed_s2:e3:p140,3,1,1,DEFER,,
pairD_mixed_s2:e3:p141,3,1,1,DEFER,,
pairD_mixed_s2:e3:p143,3,1,1,DEFER,,
pairD_mixed_s2:e3:p147,3,1,1,DEFER,,
pairD_mixed_s2:e3:p152,3,1,1,DEFER,,
pairD_mixed_s2:e3:p173,2,1,1,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s2:e3:p177,3,1,1,DEFER,,
pairD_mixed_s2:e3:p187,3,1,1,DEFER,,
pairD_mixed_s2:e3:p201,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e3:p237,3,1,1,DEFER,,
pairD_mixed_s2:e3:p248,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e4:p140,3,1,1,DEFER,,
pairD_mixed_s2:e4:p141,3,1,1,DEFER,,
pairD_mixed_s2:e4:p143,3,1,1,DEFER,,
pairD_mixed_s2:e4:p152,3,1,1,DEFER,,
pairD_mixed_s2:e4:p166,3,1,1,DEFER,,
pairD_mixed_s2:e4:p173,2,1,1,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s2:e5:p133,3,1,1,DEFER,,
pairD_mixed_s2:e5:p140,3,1,1,DEFER,,
pairD_mixed_s2:e5:p141,3,1,1,DEFER,,
pairD_mixed_s2:e5:p143,3,1,1,DEFER,,
pairD_mixed_s2:e5:p166,3,1,1,DEFER,,
pairD_mixed_s2:e5:p173,2,1,1,ACT,"{""0"": 1.0}",0.0
pairD_mixed_s2:e5:p187,3,1,1,DEFER,,
pairD_mixed_s2:e5:p201,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e5:p222,3,1,1,DEFER,,
pairD_mixed_s2:e5:p231,3,1,1,DEFER,,
pairD_mixed_s2:e5:p248,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e6:p147,3,1,1,DEFER,,
pairD_mixed_s2:e6:p152,3,1,1,DEFER,,
pairD_mixed_s2:e6:p166,3,1,1,DEFER,,
pairD_mixed_s2:e6:p222,3,1,1,DEFER,,
pairD_mixed_s2:e7:p133,3,1,1,DEFER,,
pairD_mixed_s2:e7:p147,3,1,1,DEFER,,
pairD_mixed_s2:e7:p177,3,1,1,DEFER,,
pairD_mixed_s2:e7:p187,3,1,1,DEFER,,
pairD_mixed_s2:e7:p201,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e7:p231,3,1,1,DEFER,,
pairD_mixed_s2:e7:p237,3,1,1,DEFER,,
pairD_mixed_s2:e7:p248,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_mixed_s2:e8:p133,3,1,1,DEFER,,
pairD_mixed_s2:e8:p143,3,1,1,DEFER,,
pairD_mixed_s2:e8:p177,3,1,1,DEFER,,
pairD_mixed_s2:e8:p201,3,1,1,DEFER,,
pairD_mixed_s2:e8:p222,3,1,1,DEFER,,
pairD_mixed_s2:e8:p237,3,1,1,DEFER,,
pairD_mixed_s2:e9:p143,3,1,1,DEFER,,
pairD_mixed_s2:e9:p152,3,1,1,DEFER,,
pairD_mixed_s2:e9:p187,3,1,1,DEFER,,
pairD_mixed_s2:e9:p222,3,1,1,DEFER,,
pairD_mixed_s2:e10:p133,3,1,1,DEFER,,
pairD_mixed_s2:e10:p207,3,1,1,DEFER,,
pairD_mixed_s2:e10:p226,3,1,1,DEFER,,
pairD_mixed_s2:e10:p229,3,1,1,DEFER,,
pairD_mixed_s2:e10:p237,3,1,1,DEFER,,
pairD_mixed_s2:e11:p143,3,1,1,DEFER,,
pairD_mixed_s2:e11:p187,3,1,1,DEFER,,
pairD_mixed_s2:e11:p222,3,1,1,DEFER,,
pairD_mixed_s2:e11:p247,3,1,1,DEFER,,
