query_id,served_outcome,abstain_reason,witness_alt_class,witness_alt_basis,policy_id,policy_block_sha256,evidence_ptr,certification_tier,contract_id,contract_version
pairD_stale-soft_s1:e0:p1,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p2,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p3,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p4,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p5,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p6,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p7,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p8,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p9,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p10,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p11,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p12,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p13,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p14,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p15,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p16,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p17,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p18,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p19,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p20,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p21,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p22,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p23,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p24,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p25,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p26,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p27,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p28,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p29,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p30,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p31,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p32,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p33,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p34,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p35,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p36,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p37,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p38,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p39,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p40,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p41,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p42,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p43,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p44,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p45,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p46,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p47,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p48,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p49,answer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
pairD_stale-soft_s1:e0:p50,defer,,,,,,,harness-heuristic,s1-witness-alt-batch,0.1-candidate
