vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.09755367040634155,0.8776261210441589,0.7800724506378174,1.545143723487854,4.688645362854004,0.6364631056785583,20,0,0,1,0,1,0,0.0,0.6235969662666321,2,mixed,0.15,6,0,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.0189131498336792,0.7112354040145874,0.6923222541809082,1.3230103254318237,3.7547073364257812,0.4473987817764282,7,0,0,1,0,1,0,0.0,0.6017579436302185,2,mixed,0.15,6,1,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.010018229484558105,0.5396274328231812,0.529609203338623,1.6008161306381226,4.957076549530029,0.2486598640680313,5,0,0,1,0,1,0,0.0,0.2910658121109009,2,mixed,0.15,6,2,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.016183972358703613,0.687955379486084,0.6717714071273804,1.4272710084915161,4.167311191558838,0.39821454882621765,6,0,0,1,0,1,0,0.0,0.5716513395309448,2,mixed,0.15,6,3,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.027385354042053223,0.6776177287101746,0.6502323746681213,1.5435235500335693,4.681055068969727,0.38103970885276794,6,0,0,1,0,1,0,0.0,0.5568937063217163,2,mixed,0.15,6,4,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.012661755084991455,0.8394675850868225,0.826805830001831,1.979137897491455,7.236501693725586,0.2906218469142914,18,0,0,1,0,1,0,0.0,0.5116991996765137,2,mixed,0.15,6,5,9,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.014681458473205566,0.8529242277145386,0.838242769241333,1.8773956298828125,6.536459445953369,0.33197659254074097,20,0,0,1,0,1,0,0.0,0.5032823085784912,2,mixed,0.15,6,6,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.010478496551513672,0.6518491506576538,0.6413706541061401,2.6719040870666504,14.467490196228027,0.14790977537631989,20,0,0,1,0,1,0,0.0,0.520401120185852,2,mixed,0.15,6,7,1,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.12886571884155273,0.896051287651062,0.7671855688095093,1.5073814392089844,4.514892578125,0.6626251935958862,20,0,0,1,0,1,0,0.0,0.6756824254989624,2,mixed,0.15,6,8,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.06819695234298706,0.9014264941215515,0.8332295417785645,1.3606334924697876,3.8986623287200928,0.6341750621795654,20,0,0,1,0,1,0,0.0,0.6309511065483093,2,mixed,0.15,6,9,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.013267695903778076,0.5725769996643066,0.5593093037605286,1.3550968170166016,3.87713623046875,0.33792200684547424,4,0,0,1,0,1,0,0.0,0.34103813767433167,2,mixed,0.15,6,10,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421336,0.599731,0.116025,0.949219,0.517823,0.667823,0.039280712604522705,0.7741971015930176,0.7349163889884949,2.075312376022339,7.967034816741943,0.36265814304351807,18,0,0,1,0,1,0,0.0,0.6089765429496765,2,mixed,0.15,6,11,11,CORRECT,0,0,0,0,0,0,0.0,0.0
