vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.05195784568786621,0.6175075769424438,0.5655497312545776,1.1671680212020874,3.212880849838257,0.595621645450592,5,0,0,1,0,1,0,0.0,0.47952988743782043,2,clean,0.0,-1,0,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.029352545738220215,0.628079891204834,0.5987273454666138,1.3298912048339844,3.7806320190429688,0.46934133768081665,5,0,0,1,0,1,0,0.0,0.5258783102035522,2,clean,0.0,-1,1,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.08338218927383423,0.8646697998046875,0.7812876105308533,0.4375722408294678,1.5489422082901,0.8412614464759827,2,0,0,1,0,1,0,0.0,0.766891598701477,2,clean,0.0,-1,2,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.12742191553115845,0.8081511855125427,0.6807292699813843,0.280807763338089,1.3241989612579346,0.9245134592056274,3,0,0,1,0,1,0,0.0,0.7155641317367554,2,clean,0.0,-1,3,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.023928344249725342,0.6956421136856079,0.6717137694358826,1.3165504932403564,3.7305307388305664,0.4459472596645355,5,0,0,1,0,1,0,0.0,0.5768930912017822,2,clean,0.0,-1,4,10,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.038125455379486084,0.513239324092865,0.4751138687133789,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.30756860971450806,2,clean,0.0,-1,5,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.06795251369476318,0.5812908411026001,0.5133383274078369,0.5064349174499512,1.6593648195266724,0.7956051826477051,2,0,0,1,0,1,0,0.0,0.45223987102508545,2,clean,0.0,-1,6,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.2422366440296173,0.7332262992858887,0.49098965525627136,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.640998125076294,2,clean,0.0,-1,7,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.018349647521972656,0.6132014989852905,0.5948518514633179,1.701367974281311,5.481440544128418,0.2918148338794708,6,0,0,1,0,1,0,0.0,0.27232086658477783,2,clean,0.0,-1,8,1,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.216794,0.653002,0.000291,0.988281,0.500208,0.650208,0.07973122596740723,0.5724722146987915,0.4927409887313843,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.47519445419311523,2,clean,0.0,-1,9,23,CORRECT,0,0,0,0,0,0,0.0,0.0
