vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.00869220495223999,0.6145343780517578,0.6058421730995178,2.6909356117248535,14.745465278625488,0.15123409032821655,20,0,0,1,0,1,1,0.12501022219657898,0.03930777311325073,1,contra,0.15,-1,0,29,CORRECT,0,0,0,0,3,0,0.12501,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.002864539623260498,0.7485058903694153,0.7456413507461548,2.6228578090667725,13.775033950805664,0.16584987938404083,20,0,0,1,0,1,1,0.18203426897525787,0.035505712032318115,1,contra,0.15,-1,1,29,CORRECT,0,0,0,0,4,0,0.182034,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.03562748432159424,0.8512296676635742,0.81560218334198,2.0246686935424805,7.573601245880127,0.4115203320980072,20,0,0,1,0,1,0,0.06276677548885345,0.1272815465927124,2,contra,0.15,-1,2,0,CORRECT,0,0,0,0,4,0,0.062767,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.06120377779006958,0.8351686596870422,0.7739648818969727,2.3820786476135254,10.827385902404785,0.3270551860332489,20,0,0,1,0,1,1,0.18118029832839966,0.07832843065261841,2,contra,0.15,-1,3,27,CORRECT,0,0,0,0,4,0,0.18118,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.06320923566818237,0.6585389971733093,0.595329761505127,1.5579880475997925,4.749256134033203,0.5353018045425415,10,0,0,1,0,1,0,0.04228659346699715,0.1269180178642273,2,contra,0.15,-1,4,12,CORRECT,0,0,0,0,1,0,0.042287,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.01838463544845581,0.8731691241264343,0.8547844886779785,2.308340311050415,10.057718276977539,0.2446717768907547,20,0,0,1,0,1,1,0.2623218297958374,0.01838475465774536,0,contra,0.15,-1,5,27,CORRECT,0,0,0,0,4,0,0.262322,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.024461090564727783,0.8591064214706421,0.8346453309059143,2.217233419418335,9.181893348693848,0.2966083586215973,20,0,0,1,0,1,0,0.047324955463409424,0.14653724431991577,2,contra,0.15,-1,6,0,CORRECT,0,0,0,0,4,0,0.047325,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.01217198371887207,0.7492260336875916,0.7370540499687195,1.619905710220337,5.052613735198975,0.3314327895641327,8,0,0,1,0,1,0,0.046185579150915146,0.0985378623008728,2,contra,0.15,-1,7,12,CORRECT,0,0,0,0,1,0,0.046186,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.0574725866317749,0.8665192127227783,0.8090466260910034,1.9544613361358643,7.060114860534668,0.442376971244812,20,0,0,1,0,1,0,0.059409771114587784,0.14315766096115112,2,contra,0.15,-1,8,19,CORRECT,0,0,0,0,4,0,0.05941,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.0,0.6571363806724548,0.6571363806724548,2.244310140609741,9.433905601501465,0.23786427080631256,20,0,3,0,0,1,1,0.37559300661087036,0.0,0,contra,0.15,-1,9,146,CORRECT,0,0,0,0,4,0,0.375593,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.010274648666381836,0.8123652935028076,0.8020906448364258,2.433255910873413,11.395925521850586,0.18983028829097748,20,0,0,1,0,1,1,0.2296959012746811,0.010274648666381836,0,contra,0.15,-1,10,27,CORRECT,0,0,0,0,3,0,0.229696,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.0263330340385437,0.7415318489074707,0.715198814868927,2.728449583053589,15.30913257598877,0.1602589637041092,20,0,0,1,0,1,1,0.20173755288124084,0.036437153816223145,1,contra,0.15,-1,11,19,CORRECT,0,0,0,0,4,0,0.201738,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.05302828550338745,0.6884908080101013,0.6354625225067139,2.078928232192993,7.995894432067871,0.42249995470046997,20,0,0,1,0,1,0,0.050296489149332047,0.14775347709655762,2,contra,0.15,-1,12,28,CORRECT,0,0,0,0,4,0,0.050296,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.03296172618865967,0.8734875321388245,0.8405258059501648,2.1638100147247314,8.704237937927246,0.31603094935417175,20,0,0,1,0,1,0,0.07975468039512634,0.10577219724655151,2,contra,0.15,-1,13,19,CORRECT,0,0,0,0,4,0,0.079755,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.04973268508911133,0.6596090793609619,0.6098763942718506,2.406846761703491,11.098908424377441,0.32437050342559814,20,0,0,1,0,1,0,0.09024591743946075,0.09774160385131836,2,contra,0.15,-1,14,14,CORRECT,0,0,0,0,4,0,0.090246,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.05946493148803711,0.8609749674797058,0.8015100359916687,2.5388808250427246,12.665488243103027,0.27305763959884644,20,0,0,1,0,1,1,0.18232688307762146,0.05946493148803711,2,contra,0.15,-1,15,0,CORRECT,0,0,0,0,4,0,0.182327,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.03566539287567139,0.8514373302459717,0.8157719373703003,2.081138849258423,8.013589859008789,0.35810917615890503,20,0,0,1,0,1,0,0.09056402742862701,0.09993094205856323,2,contra,0.15,-1,16,0,CORRECT,0,0,0,0,4,0,0.090564,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.0259246826171875,0.817624568939209,0.7916998863220215,2.3356597423553467,10.33627700805664,0.2816968858242035,20,0,0,1,0,1,1,0.16733257472515106,0.04822176694869995,1,contra,0.15,-1,17,0,CORRECT,0,0,0,0,4,0,0.167333,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.01809978485107422,0.7281593084335327,0.7100595235824585,2.5112693309783936,12.320558547973633,0.23552821576595306,20,0,0,1,0,1,1,0.1161162406206131,0.078055739402771,2,contra,0.15,-1,18,11,CORRECT,0,0,0,0,4,0,0.116116,0.0
margin,live-delta,0,0.0,0.517367,0.607246,0.105635,0.972656,0.42062,0.57062,0.05634075403213501,0.8419591784477234,0.7856184244155884,2.010355234146118,7.465969085693359,0.4394979178905487,20,0,0,1,0,1,0,0.07425059378147125,0.10579824447631836,2,contra,0.15,-1,19,0,CORRECT,0,0,0,0,4,0,0.074251,0.0
