vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.00869220495223999,0.6145343780517578,0.6058421730995178,2.2456858158111572,9.446891784667969,0.19080956280231476,11,0,0,1,0,1,0,0.0,0.48662111163139343,2,mixed,0.15,6,0,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.002864539623260498,0.7485058903694153,0.7456413507461548,2.3904964923858643,10.918913841247559,0.20034201443195343,18,0,0,1,0,1,0,0.0,0.5389264225959778,2,mixed,0.15,6,1,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.03562748432159424,0.8512296676635742,0.81560218334198,1.8597285747528076,6.421993255615234,0.4378790259361267,19,0,0,1,0,1,0,0.0,0.613601803779602,2,mixed,0.15,6,2,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.06120377779006958,0.8351686596870422,0.7739648818969727,2.104161262512207,8.20022201538086,0.3973807692527771,18,0,0,1,0,1,0,0.0,0.6275011301040649,2,mixed,0.15,6,3,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.06320923566818237,0.6585389971733093,0.595329761505127,1.301963210105896,3.6765074729919434,0.5790038108825684,6,0,0,1,0,1,0,0.0,0.5165534019470215,2,mixed,0.15,6,4,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.01838463544845581,0.8731691241264343,0.8547844886779785,2.032764196395874,7.635162353515625,0.3305427134037018,19,0,0,1,0,1,0,0.0,0.6164111495018005,2,mixed,0.15,6,5,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.024461090564727783,0.8591064214706421,0.8346453309059143,2.0839645862579346,8.036266326904297,0.31034281849861145,20,0,0,1,0,1,0,0.0,0.5630691647529602,2,mixed,0.15,6,6,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.01217198371887207,0.7492260336875916,0.7370540499687195,1.5021567344665527,4.491365432739258,0.34748145937919617,7,0,0,1,0,1,0,0.0,0.639962911605835,2,mixed,0.15,6,7,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.0574725866317749,0.8665192127227783,0.8090466260910034,1.7626194953918457,5.827682971954346,0.46996477246284485,17,0,0,1,0,1,0,0.0,0.5741294622421265,2,mixed,0.15,6,8,19,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.023319900035858154,0.6571363806724548,0.6338164806365967,1.4543763399124146,4.2818121910095215,0.43323665857315063,6,0,0,1,0,1,0,0.0,0.3257499933242798,2,mixed,0.15,6,9,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.010274708271026611,0.8123652935028076,0.802090585231781,2.2301976680755615,9.301704406738281,0.24564845860004425,19,0,0,1,0,1,0,0.0,0.6101858019828796,2,mixed,0.15,6,10,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.0263330340385437,0.7415318489074707,0.715198814868927,2.5061354637145996,12.257469177246094,0.19827894866466522,18,0,0,1,0,1,0,0.0,0.41163015365600586,2,mixed,0.15,6,11,19,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.05302828550338745,0.6884908080101013,0.6354625225067139,1.675172209739685,5.339714527130127,0.4725840985774994,9,0,0,1,0,1,0,0.0,0.2781899571418762,2,mixed,0.15,6,12,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.03296172618865967,0.8734875321388245,0.8405258059501648,1.9541841745376587,7.0581583976745605,0.3427831530570984,19,0,0,1,0,1,0,0.0,0.5720294713973999,2,mixed,0.15,6,13,19,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.04973268508911133,0.6596090793609619,0.6098763942718506,1.8264538049697876,6.211819171905518,0.4021604359149933,9,0,0,1,0,1,0,0.0,0.3760288655757904,2,mixed,0.15,6,14,14,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.05946493148803711,0.8609749674797058,0.8015100359916687,2.2850558757781982,9.826234817504883,0.33205646276474,20,0,0,1,0,1,0,0.0,0.6294852495193481,2,mixed,0.15,6,15,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.03566539287567139,0.8514373302459717,0.8157719373703003,1.8714048862457275,6.49741792678833,0.3925445079803467,18,0,0,1,0,1,0,0.0,0.6156409978866577,2,mixed,0.15,6,16,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.0259246826171875,0.817624568939209,0.7916998863220215,2.0623834133148193,7.864692211151123,0.33768466114997864,17,0,0,1,0,1,0,0.0,0.615166425704956,2,mixed,0.15,6,17,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.01809978485107422,0.7281593084335327,0.7100595235824585,2.31831955909729,10.158589363098145,0.2635110318660736,18,0,0,1,0,1,0,0.0,0.5232800245285034,2,mixed,0.15,6,18,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.05634075403213501,0.8419591784477234,0.7856184244155884,1.8564156293869019,6.400753021240234,0.4715289771556854,20,0,0,1,0,1,0,0.0,0.6057676076889038,2,mixed,0.15,6,19,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.10736000537872314,0.8890054821968079,0.7816454768180847,1.6543426513671875,5.229640960693359,0.6039724946022034,20,0,0,1,0,1,0,0.0,0.7198745012283325,2,mixed,0.15,6,20,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.07574641704559326,0.8565751314163208,0.7808287143707275,1.599502444267273,4.950568675994873,0.5911226272583008,19,0,0,1,0,1,0,0.0,0.6307447552680969,2,mixed,0.15,6,21,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.010011017322540283,0.609879732131958,0.5998687148094177,2.3735191822052,10.73510456085205,0.16521568596363068,12,0,0,1,0,1,0,0.0,0.39039385318756104,2,mixed,0.15,6,22,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.004011273384094238,0.6520997285842896,0.6480884552001953,2.2908248901367188,9.883087158203125,0.19729790091514587,13,0,0,1,0,1,0,0.0,0.523506760597229,2,mixed,0.15,6,23,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.0026372671127319336,0.7925955057144165,0.7899582386016846,2.3668313026428223,10.663549423217773,0.22386150062084198,20,0,0,1,0,1,0,0.0,0.5823259353637695,2,mixed,0.15,6,24,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.3059971332550049,0.6070910692214966,0.3010939359664917,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.35750406980514526,2,mixed,0.15,6,25,30,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.02101147174835205,0.6684601902961731,0.647448718547821,2.0261218547821045,7.5846147537231445,0.3541339337825775,13,0,0,1,0,1,0,0.0,0.4788973927497864,2,mixed,0.15,6,26,20,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.009212374687194824,0.7741955518722534,0.7649831771850586,2.2408273220062256,9.401105880737305,0.24142925441265106,20,0,0,1,0,1,0,0.0,0.5331166982650757,2,mixed,0.15,6,27,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.027210235595703125,0.8135794401168823,0.7863692045211792,1.9080150127410889,6.739697456359863,0.37430340051651,19,0,0,1,0,1,0,0.0,0.6232535243034363,2,mixed,0.15,6,28,19,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.00903618335723877,0.7184197902679443,0.7093836069107056,1.9829483032226562,7.2641282081604,0.33430975675582886,15,0,0,1,0,1,0,0.0,0.5991634726524353,2,mixed,0.15,6,29,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.015771210193634033,0.8026509284973145,0.7868797183036804,2.3479440212249756,10.464034080505371,0.24949565529823303,19,0,0,1,0,1,0,0.0,0.6467174291610718,2,mixed,0.15,6,30,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.11953634023666382,0.8753258585929871,0.7557895183563232,1.394517183303833,4.033026695251465,0.6854645013809204,19,0,0,1,0,1,0,0.0,0.6159409284591675,2,mixed,0.15,6,31,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.2579633593559265,0.6663253307342529,0.4083619713783264,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.4054146707057953,2,mixed,0.15,6,32,30,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.00027114152908325195,0.8409633040428162,0.8406921625137329,2.2232730388641357,9.237516403198242,0.23702214658260345,20,0,0,1,0,1,0,0.0,0.6162109375,2,mixed,0.15,6,33,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.07880854606628418,0.8197683095932007,0.7409597635269165,1.3303160667419434,3.782238721847534,0.559157133102417,6,0,0,1,0,1,0,0.0,0.7087355256080627,2,mixed,0.15,6,34,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.06488162279129028,0.8260011076927185,0.7611194849014282,1.1787643432617188,3.2503554821014404,0.5940961241722107,6,0,0,1,0,1,0,0.0,0.7347782850265503,2,mixed,0.15,6,35,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.01791250705718994,0.6625928282737732,0.6446803212165833,2.4293670654296875,11.35169506072998,0.1994640976190567,15,0,0,1,0,1,0,0.0,0.523886501789093,2,mixed,0.15,6,36,31,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.00014674663543701172,0.7378839254379272,0.7377371788024902,2.4393093585968018,11.465119361877441,0.20830826461315155,20,0,0,1,0,1,0,0.0,0.453913152217865,2,mixed,0.15,6,37,3,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.06540244817733765,0.8352207541465759,0.7698183059692383,1.9123101234436035,6.768707275390625,0.4553329050540924,17,0,0,1,0,1,0,0.0,0.525200366973877,2,mixed,0.15,6,39,19,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,8.213520050048828e-05,0.6722115278244019,0.6721293926239014,2.5780627727508545,13.171597480773926,0.13592857122421265,18,0,0,1,0,1,0,0.0,0.5113608837127686,2,mixed,0.15,6,40,1,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.02142411470413208,0.8092004060745239,0.7877762913703918,1.82724928855896,6.216762542724609,0.3719727694988251,16,0,0,1,0,1,0,0.0,0.6027906537055969,2,mixed,0.15,6,41,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.014770090579986572,0.6550374627113342,0.6402673721313477,2.2703094482421875,9.68239688873291,0.220815509557724,13,0,0,1,0,1,0,0.0,0.5561074614524841,2,mixed,0.15,6,42,18,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.0036307573318481445,0.8091407418251038,0.8055099844932556,2.2144861221313477,9.156702041625977,0.24918615818023682,19,0,0,1,0,1,0,0.0,0.5742166042327881,2,mixed,0.15,6,43,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.007630705833435059,0.6590110659599304,0.6513803601264954,2.5211634635925293,12.443065643310547,0.15539245307445526,16,0,0,1,0,1,0,0.0,0.4933120012283325,2,mixed,0.15,6,44,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.018065690994262695,0.7802423238754272,0.7621766328811646,2.2955727577209473,9.930122375488281,0.2455126941204071,19,0,0,1,0,1,0,0.0,0.5786288976669312,2,mixed,0.15,6,45,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.13380369544029236,0.615119457244873,0.4813157618045807,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2942866384983063,2,mixed,0.15,6,46,6,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.014446496963500977,0.7987375259399414,0.7842910289764404,1.7512949705123901,5.762059688568115,0.37451761960983276,19,0,0,1,0,1,0,0.0,0.5803588032722473,2,mixed,0.15,6,47,9,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.045081108808517456,0.542166531085968,0.49708542227745056,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.3024407625198364,2,mixed,0.15,6,48,10,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.015541672706604004,0.6601847410202026,0.6446430683135986,1.7859426736831665,5.965200424194336,0.3133015036582947,8,0,0,1,0,1,0,0.0,0.5240664482116699,2,mixed,0.15,6,50,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.09869396686553955,0.8877891302108765,0.7890951633453369,1.5895105600357056,4.9013495445251465,0.6128032803535461,20,0,0,1,0,1,0,0.0,0.6858367323875427,2,mixed,0.15,6,51,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.421611,0.607356,0.083893,0.96875,0.516152,0.666152,0.07959496974945068,0.8352404236793518,0.7556454539299011,2.0745296478271484,7.960801124572754,0.4464603662490845,20,0,0,1,0,1,0,0.0,0.6948240995407104,2,mixed,0.15,6,52,22,CORRECT,0,0,0,0,0,0,0.0,0.0
