arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
clean,0,initial,clean,0,plain-miss,nan,nan,0.85,-1,0,-1,0,0,-1
clean,0,initial,clean,1,plain-miss,nan,nan,0.85,-1,0,-1,0,1,-1
clean,0,initial,clean,2,plain-miss,nan,nan,0.85,-1,0,-1,0,2,-1
clean,0,initial,clean,3,plain-miss,nan,nan,0.85,-1,0,-1,0,3,-1
clean,0,initial,clean,4,plain-miss,nan,nan,0.85,-1,0,-1,0,4,-1
clean,0,initial,clean,5,plain-miss,nan,nan,0.85,-1,0,-1,0,5,-1
clean,0,initial,clean,6,plain-miss,nan,nan,0.85,-1,0,-1,0,6,-1
clean,0,initial,clean,7,plain-miss,nan,nan,0.85,-1,0,-1,0,7,-1
clean,0,initial,clean,8,plain-miss,nan,nan,0.85,-1,0,-1,0,8,-1
clean,0,initial,clean,9,plain-miss,nan,nan,0.85,-1,0,-1,0,9,-1
clean,0,initial,clean,10,plain-miss,nan,nan,0.85,-1,0,-1,0,10,-1
clean,0,initial,clean,11,plain-miss,nan,nan,0.85,-1,0,-1,0,11,-1
clean,0,initial,clean,12,plain-miss,nan,nan,0.85,-1,0,-1,0,12,-1
clean,0,initial,clean,13,plain-miss,nan,nan,0.85,-1,0,-1,0,13,-1
clean,0,initial,clean,14,plain-miss,nan,nan,0.85,-1,0,-1,0,14,-1
clean,0,initial,clean,15,plain-miss,nan,nan,0.85,-1,0,-1,0,15,-1
clean,0,initial,clean,16,plain-miss,nan,nan,0.85,-1,0,-1,0,16,-1
clean,0,initial,clean,17,plain-miss,nan,nan,0.85,-1,0,-1,0,17,-1
clean,0,initial,clean,18,plain-miss,nan,nan,0.85,-1,0,-1,0,18,-1
clean,0,initial,clean,19,plain-miss,nan,nan,0.85,-1,0,-1,0,19,-1
clean,0,initial,clean,20,plain-miss,nan,nan,0.85,-1,0,-1,0,20,-1
clean,0,initial,clean,21,plain-miss,nan,nan,0.85,-1,0,-1,0,21,-1
clean,0,initial,clean,22,plain-miss,nan,nan,0.85,-1,0,-1,0,22,-1
clean,0,initial,clean,23,plain-miss,nan,nan,0.85,-1,0,-1,0,23,-1
clean,0,initial,clean,24,plain-miss,nan,nan,0.85,-1,0,-1,0,24,-1
clean,0,initial,clean,25,plain-miss,nan,nan,0.85,-1,0,-1,0,25,-1
clean,0,initial,clean,26,plain-miss,nan,nan,0.85,-1,0,-1,0,26,-1
clean,0,initial,clean,27,plain-miss,nan,nan,0.85,-1,0,-1,0,27,-1
clean,0,initial,clean,28,plain-miss,nan,nan,0.85,-1,0,-1,0,28,-1
clean,0,initial,clean,29,plain-miss,nan,nan,0.85,-1,0,-1,0,29,-1
