vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.0053924620151519775,0.4827849566936493,0.4773924946784973,1.271955132484436,3.5678212642669678,0.3514220714569092,4,0,0,1,0,1,0,0.0,0.15037503838539124,2,clean,0.0,-1,4,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.0658082365989685,0.5655679106712341,0.4997596740722656,1.5047359466552734,4.502964496612549,0.5630775094032288,9,0,0,1,0,1,1,0.1413150429725647,0.10757404565811157,2,clean,0.0,-1,5,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.16582372784614563,0.6383922696113586,0.472568541765213,0.3849427103996277,1.4695301055908203,0.9193471670150757,5,0,0,1,0,1,0,0.0,0.2675301432609558,2,clean,0.0,-1,6,16,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.04575318098068237,0.45655304193496704,0.41079986095428467,0.5984989404678345,1.8193857669830322,0.7140352725982666,2,0,0,1,0,1,0,0.0,0.17195120453834534,2,clean,0.0,-1,10,16,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.00714525580406189,0.41996464133262634,0.41281938552856445,1.0926356315612793,2.982123613357544,0.3799073398113251,3,0,1,0,1,0,1,0.6706825494766235,-0.00714525580406189,0,clean,0.0,-1,13,39,BLENDED,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.13515961170196533,0.6480188369750977,0.5128592252731323,0.5170329809188843,1.67704439163208,0.8817262649536133,6,0,0,1,0,1,0,0.059205785393714905,0.1694115400314331,2,clean,0.0,-1,14,15,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.032222360372543335,0.4291180968284607,0.39689573645591736,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.04824817180633545,1,clean,0.0,-1,16,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.006571739912033081,0.40826213359832764,0.40169039368629456,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.006571739912033081,0,clean,0.0,-1,19,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.1636589765548706,0.6486756801605225,0.48501670360565186,0.34974491596221924,1.4187055826187134,0.9264703392982483,5,0,0,1,0,1,0,0.0,0.2938026189804077,2,clean,0.0,-1,21,16,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.284266,0.57646,0.028705,0.964844,0.403117,0.553117,0.11646449565887451,0.617927074432373,0.5014625787734985,0.6084497570991516,1.8375804424285889,0.8386348485946655,4,0,0,1,0,1,0,0.0,0.260427862405777,2,clean,0.0,-1,22,29,CORRECT,0,0,0,0,0,0,0.0,0.0
