vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.010410964488983154,0.6283859014511108,0.6179749369621277,1.6832038164138794,5.3827738761901855,0.3906971216201782,13,0,0,1,0,1,0,0.0,0.4211970567703247,2,clean,0.0,-1,0,1,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.027423739433288574,0.5380635857582092,0.5106398463249207,1.626991629600525,5.08854341506958,0.3780076205730438,7,0,0,1,0,1,0,0.0,0.15982535481452942,2,clean,0.0,-1,1,20,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.050639808177948,0.6435017585754395,0.5928619503974915,2.2411506175994873,9.404145240783691,0.36960169672966003,20,0,0,1,0,1,0,0.02885514870285988,0.12750685214996338,2,clean,0.0,-1,2,9,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.06146073341369629,0.7017878293991089,0.6403270959854126,1.7371046543121338,5.680871486663818,0.5133206248283386,20,0,0,1,0,1,0,0.0,0.3001031279563904,2,clean,0.0,-1,3,11,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.00846010446548462,0.6306256651878357,0.6221655607223511,1.9711010456085205,7.1785759925842285,0.26830992102622986,16,0,0,1,0,1,0,0.0,0.28596949577331543,2,clean,0.0,-1,4,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.0811147689819336,0.6353706121444702,0.5542558431625366,1.4723269939422607,4.359367370605469,0.6072989106178284,13,0,0,1,0,1,0,0.0,0.3104957342147827,2,clean,0.0,-1,5,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.06274926662445068,0.6143373250961304,0.5515880584716797,2.266693115234375,9.647444725036621,0.362045019865036,19,0,0,1,0,1,0,0.0,0.27448686957359314,2,clean,0.0,-1,6,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.20145222544670105,0.49529898166656494,0.2938467562198639,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2533314526081085,2,clean,0.0,-1,7,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.01923549175262451,0.5491013526916504,0.5298658609390259,1.2920221090316772,3.6401398181915283,0.4809643030166626,6,0,0,1,0,1,0,0.0,0.29908043146133423,2,clean,0.0,-1,8,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.08658438920974731,0.6821415424346924,0.5955571532249451,1.363173484802246,3.9085774421691895,0.6643086671829224,15,0,0,1,0,1,0,0.0,0.3324471116065979,2,clean,0.0,-1,9,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.032585084438323975,0.5376241207122803,0.5050390362739563,1.8080412149429321,6.098490238189697,0.36531370878219604,8,0,0,1,0,1,0,0.0,0.25365039706230164,2,clean,0.0,-1,10,26,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.03140741586685181,0.5394497513771057,0.5080423355102539,1.685044288635254,5.3926897048950195,0.3632703423500061,7,0,0,1,0,1,0,0.08348891139030457,0.09774124622344971,2,clean,0.0,-1,11,24,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.0076819658279418945,0.6589006185531616,0.6512186527252197,2.043964147567749,7.721156597137451,0.2539065182209015,20,0,0,1,0,1,0,0.005355614237487316,0.2234070599079132,2,clean,0.0,-1,12,20,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.316659,0.581161,0.027049,0.980469,0.41197,0.56197,0.004485070705413818,0.6025277972221375,0.5980427265167236,1.7247875928878784,5.611329078674316,0.3401036262512207,10,0,0,1,0,1,0,0.0,0.2551659345626831,2,clean,0.0,-1,13,28,CORRECT,0,0,0,0,0,0,0.0,0.0
