vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.0005443692207336426,0.6637778878211975,0.6632335186004639,1.7180514335632324,5.573657035827637,0.23102079331874847,6,0,0,1,0,1,1,0.17650099098682404,0.013459086418151855,0,contra,0.15,-1,0,18,CORRECT,0,0,0,0,1,0,0.176501,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.11891311407089233,0.54962158203125,0.43070846796035767,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2628324031829834,2,contra,0.15,-1,1,16,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.050368428230285645,0.5600577592849731,0.5096893310546875,1.241136908531189,3.4595444202423096,0.49936529994010925,4,0,0,1,0,1,0,0.0,0.09362906217575073,2,contra,0.15,-1,3,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.09077233076095581,0.7990531325340271,0.7082808017730713,0.5805195569992065,1.7869666814804077,0.8237285017967224,4,0,0,1,0,1,0,0.0,0.3234562277793884,2,contra,0.15,-1,4,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.2746173143386841,0.9773150682449341,0.70269775390625,0.06006033346056938,1.0619006156921387,0.9910815954208374,7,0,0,1,0,1,0,0.004081444814801216,0.2746173143386841,2,contra,0.15,-1,5,2,CORRECT,0,0,0,0,1,0,0.004081,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.01101672649383545,0.5111042261123657,0.5000874996185303,0.6871154308319092,1.9879728555679321,0.5548617243766785,2,0,0,1,0,1,0,0.0,0.0215529203414917,0,contra,0.15,-1,6,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.13293462991714478,0.6748058795928955,0.5418712496757507,0.38875681161880493,1.4751458168029785,0.9006796479225159,3,0,0,1,0,1,0,0.0,0.3349369466304779,2,contra,0.15,-1,7,29,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.021133899688720703,0.5323097705841064,0.5111758708953857,1.5810731649398804,4.860168933868408,0.29445016384124756,5,0,0,1,0,1,1,0.3527749180793762,0.021133899688720703,0,contra,0.15,-1,8,8,CORRECT,0,0,0,0,2,0,0.352775,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.13302218914031982,0.7868621945381165,0.6538400053977966,0.8220074772834778,2.275062322616577,0.8072161674499512,9,0,0,1,0,1,0,0.06187503784894943,0.13302218914031982,2,contra,0.15,-1,10,9,CORRECT,0,0,0,0,2,0,0.061875,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.0,0.7174597382545471,0.7174597382545471,1.3694955110549927,3.933365821838379,0.3961810767650604,7,0,2,0,0,1,1,0.3961810767650604,0.0,0,contra,0.15,-1,11,138,CORRECT,0,0,0,0,1,0,0.396181,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.07756918668746948,0.7557039260864258,0.6781347393989563,1.1202874183654785,3.065735101699829,0.6553575992584229,8,0,0,1,0,1,1,0.10286825895309448,0.10013169050216675,2,contra,0.15,-1,13,15,CORRECT,0,0,0,0,3,0,0.102868,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.06760770082473755,0.625757098197937,0.5581493973731995,0.9546941518783569,2.5978758335113525,0.6761684417724609,4,0,0,1,0,1,0,0.0,0.18745049834251404,2,contra,0.15,-1,14,30,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.06437814235687256,0.5981025695800781,0.5337244272232056,0.8973562717437744,2.4531092643737793,0.6443777680397034,3,0,0,1,0,1,1,0.17781111598014832,0.06437814235687256,2,contra,0.15,-1,15,2,CORRECT,0,0,0,0,1,0,0.177811,0.0
margin,live-delta,0,0.0,0.564372,0.654675,0.107649,0.984375,0.497227,0.647227,0.04896146059036255,0.6618379950523376,0.6128765344619751,1.8171372413635254,6.154215335845947,0.44049954414367676,10,0,0,1,0,1,1,0.17077383399009705,0.0880391001701355,2,contra,0.15,-1,17,15,CORRECT,0,0,0,0,3,0,0.170774,0.0
