vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.02879980206489563,0.5195586681365967,0.49075886607170105,2.018151044845581,7.524399757385254,0.34365805983543396,12,0,0,1,0,1,0,0.05208573490381241,0.11540406942367554,2,contra,0.15,-1,0,17,CORRECT,0,0,0,0,1,0,0.017908,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0,0.5631064772605896,0.5631064772605896,2.550071954727173,12.808025360107422,0.20603816211223602,20,0,0,1,0,1,1,0.26947516202926636,0.0,0,contra,0.15,-1,2,5,CORRECT,0,0,0,0,3,0,0.269475,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.08151525259017944,0.6922959685325623,0.6107807159423828,1.3713324069976807,3.9405977725982666,0.5953724980354309,12,0,0,1,0,1,0,0.05827702581882477,0.11619895696640015,2,contra,0.15,-1,3,22,CORRECT,0,0,0,0,1,0,0.058277,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.04781222343444824,0.6922812461853027,0.6444690227508545,2.0695297718048096,7.921097755432129,0.4256860613822937,20,0,0,1,0,1,0,0.038211390376091,0.1341812014579773,2,contra,0.15,-1,4,25,CORRECT,0,0,0,0,2,0,0.038211,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.023141324520111084,0.6800050735473633,0.6568637490272522,1.8194971084594727,6.168755531311035,0.3826170861721039,20,0,0,1,0,1,0,0.022099997848272324,0.16769373416900635,2,contra,0.15,-1,5,23,CORRECT,0,0,0,0,3,0,0.0221,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0027704238891601562,0.49958324432373047,0.4968128204345703,1.7853846549987793,5.961872577667236,0.328222393989563,10,0,0,1,0,1,0,0.024655399844050407,0.1294347643852234,2,contra,0.15,-1,6,7,CORRECT,0,0,0,0,1,0,0.024655,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.015410840511322021,0.6316667199134827,0.6162558794021606,1.8592802286148071,6.419114589691162,0.40837401151657104,20,0,0,1,0,1,0,0.031089240685105324,0.15247324109077454,2,contra,0.15,-1,7,24,CORRECT,0,0,0,0,2,0,0.027487,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0034209489822387695,0.672109067440033,0.6686881184577942,2.002300262451172,7.406072616577148,0.2020273059606552,20,0,0,1,0,1,1,0.17631839215755463,0.007279932498931885,0,contra,0.15,-1,8,25,CORRECT,0,0,0,0,2,0,0.176318,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0,0.5224031209945679,0.5224031209945679,2.537285089492798,12.645293235778809,0.18560634553432465,19,0,3,0,0,1,1,0.21199724078178406,0.0,0,contra,0.15,-1,9,142,CORRECT,0,0,0,0,3,0,0.211997,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.020168811082839966,0.39408132433891296,0.373912513256073,0.6732144355773926,1.9605292081832886,0.5994986295700073,2,0,0,1,0,1,0,0.0,0.09725794196128845,2,contra,0.15,-1,10,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.04223322868347168,0.6061576008796692,0.5639243721961975,2.5906715393066406,13.338726043701172,0.2424030900001526,20,0,0,1,0,1,1,0.13814759254455566,0.058778226375579834,2,contra,0.15,-1,11,20,CORRECT,0,0,0,0,2,0,0.138148,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.022451281547546387,0.6219547986984253,0.5995035171508789,2.1341943740844727,8.450236320495605,0.30489233136177063,20,0,0,1,0,1,0,0.025482989847660065,0.1420181393623352,2,contra,0.15,-1,12,31,CORRECT,0,0,0,0,3,0,0.025483,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0,0.5366380214691162,0.5366380214691162,2.0130226612091064,7.485910415649414,0.3066011667251587,15,0,3,0,0,1,1,0.3242594599723816,0.0,0,contra,0.15,-1,13,142,CORRECT,0,0,0,0,2,0,0.324259,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.11424762010574341,0.7252626419067383,0.6110150218009949,1.1294485330581665,3.093949794769287,0.7256370186805725,16,0,0,1,0,1,0,0.05764065310359001,0.12845563888549805,2,contra,0.15,-1,14,7,CORRECT,0,0,0,0,2,0,0.057641,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.04312872886657715,0.4712604582309723,0.42813172936439514,1.9720596075057983,7.185460567474365,0.3284894526004791,9,0,0,1,0,1,1,0.19327563047409058,0.04312872886657715,1,contra,0.15,-1,15,0,CORRECT,0,0,0,0,1,0,0.138647,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.01336580514907837,0.6575943827629089,0.6442285776138306,1.7691980600357056,5.866147041320801,0.3245847225189209,20,0,0,1,0,1,0,0.007909483276307583,0.23286974430084229,2,contra,0.15,-1,16,16,CORRECT,0,0,0,0,2,0,0.005465,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.10087043046951294,0.6911013722419739,0.5902309417724609,1.8200275897979736,6.172028541564941,0.5444811582565308,20,0,0,1,0,1,0,0.07275821268558502,0.10282301902770996,2,contra,0.15,-1,17,28,CORRECT,0,0,0,0,2,0,0.072758,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.01744985580444336,0.5558546781539917,0.5384048223495483,2.2739343643188477,9.717557907104492,0.27036601305007935,19,0,0,1,0,1,0,0.02694033831357956,0.14584022760391235,2,contra,0.15,-1,18,17,CORRECT,0,0,0,0,2,0,0.02694,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.05631685256958008,0.6327389478683472,0.5764220952987671,2.255890369415283,9.543787002563477,0.3960299491882324,20,0,0,1,0,1,1,0.1333053708076477,0.08512091636657715,2,contra,0.15,-1,19,23,CORRECT,0,0,0,0,3,0,0.133305,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.05299264192581177,0.6350349187850952,0.5820422768592834,2.2506022453308105,9.493451118469238,0.3643263280391693,20,0,0,1,0,1,0,0.08834701776504517,0.0797797441482544,2,contra,0.15,-1,20,14,CORRECT,0,0,0,0,2,0,0.080187,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.0012686848640441895,0.5764114260673523,0.5751427412033081,1.5908203125,4.907773017883301,0.3350366950035095,8,0,0,1,0,1,0,0.07714483886957169,0.07342773675918579,2,contra,0.15,-1,21,2,CORRECT,0,0,0,0,1,0,0.077145,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.02759110927581787,0.5924031734466553,0.5648120641708374,1.8661834001541138,6.463580131530762,0.4077373743057251,16,0,0,1,0,1,0,0.08594208210706711,0.07784748077392578,2,contra,0.15,-1,22,28,CORRECT,0,0,0,0,1,0,0.085942,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.1514868140220642,0.7922998070716858,0.6408129930496216,0.7248877286911011,2.0644993782043457,0.861742377281189,20,0,0,1,0,1,0,0.014017431996762753,0.2081700563430786,2,contra,0.15,-1,23,10,CORRECT,0,0,0,0,2,0,0.014017,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.08047395944595337,0.7280237674713135,0.6475498080253601,1.7144346237182617,5.553534984588623,0.5710740089416504,20,0,0,1,0,1,0,0.02653721533715725,0.15950268507003784,2,contra,0.15,-1,24,10,CORRECT,0,0,0,0,2,0,0.026537,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.029722273349761963,0.6127222776412964,0.5830000042915344,2.450772285461426,11.597299575805664,0.2944459617137909,20,0,0,1,0,1,0,0.08075001835823059,0.08959364891052246,2,contra,0.15,-1,25,3,CORRECT,0,0,0,0,3,0,0.08075,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.030609428882598877,0.6013644337654114,0.5707550048828125,2.1783413887023926,8.831645965576172,0.3007476329803467,18,0,0,1,0,1,0,0.061477720737457275,0.09717077016830444,2,contra,0.15,-1,26,25,CORRECT,0,0,0,0,2,0,0.061478,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.005007624626159668,0.6422336101531982,0.6372259855270386,2.5886714458465576,13.312073707580566,0.1751069575548172,20,0,0,1,0,1,1,0.18693269789218903,0.005007624626159668,0,contra,0.15,-1,27,17,CORRECT,0,0,0,0,3,0,0.186933,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.038951724767684937,0.4645763635635376,0.42562463879585266,0.9964086413383484,2.7085371017456055,0.5502720475196838,3,0,0,1,0,1,0,0.0,0.14206135272979736,2,contra,0.15,-1,28,2,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.460426,0.563204,0.113859,0.984375,0.367748,0.517748,0.06648331880569458,0.6673985123634338,0.6009151935577393,2.2068140506744385,9.08672046661377,0.40990781784057617,20,0,0,1,0,1,0,0.040519773960113525,0.1373494267463684,2,contra,0.15,-1,29,10,CORRECT,0,0,0,0,3,0,0.04052,0.0
