vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.017173677682876587,0.3305535316467285,0.31337985396385193,2.7471542358398438,15.598179817199707,0.15467163920402527,20,0,3,0,3,0,1,0.6120491027832031,-0.017173677682876587,0,mixed,0.15,6,1,105,CONTRADICTORY_LENIENT,0,1,0,0,3,0,0.063604,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.015876024961471558,0.2917187809944153,0.2758427560329437,1.9378559589385986,6.943847179412842,0.26992321014404297,8,0,3,0,3,0,1,0.780708909034729,-0.0553533136844635,0,mixed,0.15,6,2,120,BLENDED,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.050633788108825684,0.35142865777015686,0.3007948696613312,2.331632614135742,10.294734954833984,0.30325576663017273,15,0,0,1,0,1,1,0.11645647883415222,0.1007014811038971,2,mixed,0.15,6,3,19,CORRECT,0,0,0,0,1,0,0.021865,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.005392491817474365,0.4827849864959717,0.4773924946784973,2.006570339202881,7.437764644622803,0.284077525138855,20,0,0,1,0,1,0,0.04503358155488968,0.15037506818771362,2,mixed,0.15,6,4,2,CORRECT,0,0,0,0,1,0,0.009662,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.0658082664012909,0.5655679702758789,0.499759703874588,1.8429529666900635,6.315159320831299,0.510949969291687,20,0,0,1,0,1,1,0.1933230757713318,0.10757410526275635,2,mixed,0.15,6,5,29,CORRECT,0,0,0,0,2,0,0.051429,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.16582369804382324,0.6383922696113586,0.4725685715675354,0.6396190524101257,1.8957585096359253,0.8828203082084656,20,0,0,1,0,1,0,0.011174628511071205,0.2675301432609558,2,mixed,0.15,6,6,16,CORRECT,0,0,0,0,1,0,0.001883,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.02551242709159851,0.3990466296672821,0.3735342025756836,2.3035473823547363,10.009627342224121,0.2637804448604584,18,0,0,1,0,1,1,0.4913322329521179,0.02551242709159851,1,mixed,0.15,6,7,13,CORRECT,0,0,0,0,1,0,0.15836,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.027236104011535645,0.3051358461380005,0.27789974212646484,1.9373326301574707,6.940214157104492,0.29478371143341064,8,0,2,0,0,1,1,0.5573140382766724,-0.027236104011535645,0,mixed,0.15,6,8,79,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.06499189138412476,0.3318806290626526,0.26688873767852783,2.002981185913086,7.411117076873779,0.3745215833187103,10,0,0,1,0,1,1,0.29580384492874146,0.06499189138412476,2,mixed,0.15,6,9,5,CORRECT,0,0,0,0,1,0,0.102086,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.04575324058532715,0.45655307173728943,0.4107998311519623,1.954573392868042,7.060905933380127,0.43977999687194824,20,0,0,1,0,1,0,0.04113686829805374,0.17195123434066772,2,mixed,0.15,6,10,16,CORRECT,0,0,0,0,1,0,0.010816,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.0,0.31352004408836365,0.31352004408836365,2.0788726806640625,7.995450496673584,0.20454320311546326,9,0,3,0,1,0,1,0.6975259780883789,-0.017584502696990967,0,mixed,0.15,6,11,137,CONTRADICTORY_STRICT,1,1,0,0,1,0,0.204543,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.011675894260406494,0.2855883836746216,0.2739124894142151,2.3947644233703613,10.965614318847656,0.15104010701179504,12,0,0,1,0,1,1,0.2808263301849365,0.011675894260406494,0,mixed,0.15,6,12,22,CORRECT,0,0,0,0,1,0,0.119585,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.00714525580406189,0.41996464133262634,0.41281938552856445,2.4122185707092285,11.158690452575684,0.178899884223938,20,0,1,0,0,1,1,0.5623790621757507,-0.00714525580406189,0,mixed,0.15,6,13,39,CORRECT,0,0,0,0,2,0,0.146596,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.13515961170196533,0.6480188965797424,0.5128592848777771,0.6762136816978455,1.9664181470870972,0.8591725826263428,20,0,0,1,0,1,0,0.07493796199560165,0.16941162943840027,2,mixed,0.15,6,14,15,CORRECT,0,0,0,0,4,0,0.016084,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.04656761884689331,0.36657634377479553,0.3200087249279022,2.6438610553741455,14.067414283752441,0.23973572254180908,20,0,0,1,0,1,1,0.2661021947860718,0.04656761884689331,1,mixed,0.15,6,15,24,CORRECT,0,0,0,0,2,0,0.037167,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.032222360372543335,0.4291180968284607,0.39689573645591736,2.308476448059082,10.059087753295898,0.31940895318984985,20,0,0,1,0,1,1,0.2657355070114136,0.04824817180633545,1,mixed,0.15,6,16,11,CORRECT,0,0,0,0,1,0,0.010901,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.01785638928413391,0.2718728482723236,0.2540164589881897,1.8925466537475586,6.636247634887695,0.24984131753444672,7,0,1,0,1,0,1,0.6565998196601868,-0.03347356617450714,0,mixed,0.15,6,17,33,CONTRADICTORY_LENIENT,0,1,0,0,1,0,0.120521,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.06279602646827698,0.4024917781352997,0.3396957516670227,1.8719598054885864,6.5010247230529785,0.5041999816894531,16,0,0,1,0,1,0,0.06881309300661087,0.16302546858787537,2,mixed,0.15,6,18,21,CORRECT,0,0,0,0,1,0,0.015785,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.006571739912033081,0.40826213359832764,0.40169039368629456,2.534125566482544,12.605402946472168,0.16654279828071594,20,0,0,1,0,1,1,0.4035695195198059,0.006571739912033081,0,mixed,0.15,6,19,2,CORRECT,0,0,0,0,1,0,0.005989,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.060029834508895874,0.3083000183105469,0.248270183801651,1.8430275917053223,6.3156304359436035,0.3924764096736908,8,0,0,1,0,1,1,0.16100776195526123,0.07764537632465363,2,mixed,0.15,6,20,21,CORRECT,0,0,0,0,1,0,0.08306,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.1636589765548706,0.6486756801605225,0.48501670360565186,0.5584677457809448,1.7479920387268066,0.897129476070404,20,0,0,1,0,1,0,0.008172706700861454,0.2938026189804077,2,mixed,0.15,6,21,16,CORRECT,0,0,0,0,1,0,0.001821,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.11646449565887451,0.617927074432373,0.5014625787734985,0.8979377150535583,2.454535961151123,0.7982898950576782,20,0,0,1,0,1,0,0.017064526677131653,0.260427862405777,2,mixed,0.15,6,22,29,CORRECT,0,0,0,0,1,0,0.002817,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.0032769441604614258,0.34921443462371826,0.34593749046325684,2.713550567626953,15.082733154296875,0.15558935701847076,20,0,0,1,0,1,1,0.3113429546356201,0.041473597288131714,1,mixed,0.15,6,23,28,CORRECT,0,0,0,0,2,0,0.0831,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.11742746829986572,0.5949536561965942,0.4775261878967285,1.1436467170715332,3.1381914615631104,0.732380211353302,20,0,0,1,0,1,0,0.02414034679532051,0.19845104217529297,2,mixed,0.15,6,24,29,CORRECT,0,0,0,0,2,0,0.002849,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.0408594012260437,0.314003586769104,0.2731441855430603,0.6161578893661499,1.851799488067627,0.6936390995979309,2,0,0,1,0,1,0,0.0,0.10811421275138855,2,mixed,0.15,6,25,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.010459065437316895,0.3733654320240021,0.3629063665866852,2.7216854095458984,15.205928802490234,0.16802151501178741,20,0,0,1,0,1,1,0.21662694215774536,0.054953187704086304,2,mixed,0.15,6,26,21,CORRECT,0,0,0,0,2,0,0.083257,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.20957601070404053,0.622356653213501,0.41278064250946045,0.24584431946277618,1.2787004709243774,0.9614422917366028,20,0,0,1,0,1,0,0.0020582200959324837,0.3276590406894684,2,mixed,0.15,6,27,24,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.052156001329422,0.5005539059638977,0.4483979046344757,2.284545660018921,9.821223258972168,0.34961432218551636,20,0,0,1,0,1,1,0.10361490398645401,0.12359833717346191,2,mixed,0.15,6,28,24,CORRECT,0,0,0,0,1,0,0.01085,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.07545220851898193,0.5115644931793213,0.43611228466033936,2.3537185192108154,10.524633407592773,0.3726559281349182,20,0,0,1,0,1,1,0.34083670377731323,0.0860699713230133,2,mixed,0.15,6,29,28,CORRECT,0,0,0,0,2,0,0.078403,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.006687521934509277,0.24293647706508636,0.2362489551305771,1.0794329643249512,2.9430103302001953,0.4014418423175812,3,0,0,1,0,1,0,0.0,0.045905306935310364,1,mixed,0.15,6,30,21,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.023212909698486328,0.4458719789981842,0.4226590692996979,1.2060105800628662,3.34013295173645,0.4602070450782776,8,0,0,1,0,1,0,0.03092198818922043,0.20974820852279663,2,mixed,0.15,6,31,17,CORRECT,0,0,0,0,1,0,0.005744,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.0025078952312469482,0.3704734742641449,0.36796557903289795,2.537280321121216,12.645233154296875,0.2259259819984436,20,0,0,1,0,1,1,0.44063064455986023,0.0025078952312469482,0,mixed,0.15,6,32,11,CORRECT,0,0,0,0,1,0,0.024578,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.07671329379081726,0.386242538690567,0.30952924489974976,1.4837003946304321,4.409231662750244,0.5972318649291992,10,0,0,1,0,1,0,0.046004630625247955,0.1281781792640686,2,mixed,0.15,6,33,10,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.09134477376937866,0.49986758828163147,0.4085228145122528,0.6759766936302185,1.9659521579742432,0.8212535977363586,12,0,0,1,0,1,0,0.018044570460915565,0.25994873046875,2,mixed,0.15,6,34,7,CORRECT,0,0,0,0,1,0,0.003036,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.05307409167289734,0.4412544071674347,0.38818031549453735,2.3418023586273193,10.399964332580566,0.3370930552482605,20,0,1,0,1,0,1,0.6218379139900208,-0.05307409167289734,0,mixed,0.15,6,35,39,CONTRADICTORY_LENIENT,0,1,0,0,2,0,0.108356,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.2553327679634094,0.6788934469223022,0.4235606789588928,0.2632145285606384,1.3011058568954468,0.9626353979110718,20,0,0,1,0,1,0,0.019215881824493408,0.28165149688720703,2,mixed,0.15,6,36,23,CORRECT,0,0,0,0,1,0,0.001741,0.0
margin,live-delta,0,0.0,0.477474,0.57659,0.183526,0.957031,0.218001,0.368001,0.10805392265319824,0.5421925783157349,0.4341386556625366,0.9870065450668335,2.68319034576416,0.7687119841575623,15,0,0,1,0,1,0,0.021600648760795593,0.19607830047607422,2,mixed,0.15,6,37,29,CORRECT,0,0,0,0,0,0,0.0,0.0
