vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.02879980206489563,0.5195586681365967,0.49075886607170105,1.7719953060150146,5.882579326629639,0.37327200174331665,8,0,0,1,0,1,0,0.03712259232997894,0.11540406942367554,2,mixed,0.15,6,0,17,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.037608981132507324,0.5631064772605896,0.5254974961280823,2.5057485103607178,12.252726554870605,0.2747676372528076,19,0,0,1,0,1,0,0.0,0.24467340111732483,2,mixed,0.15,6,2,5,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.08151525259017944,0.6922959685325623,0.6107807159423828,1.2048845291137695,3.336373805999756,0.6337064504623413,9,0,0,1,0,1,0,0.0,0.46398693323135376,2,mixed,0.15,6,3,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.04781222343444824,0.6922812461853027,0.6444690227508545,2.0033376216888428,7.413759231567383,0.4383273124694824,20,0,0,1,0,1,0,0.0,0.3593302369117737,2,mixed,0.15,6,4,25,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.023141324520111084,0.6800050735473633,0.6568637490272522,1.761622428894043,5.821875095367432,0.3890904486179352,20,0,0,1,0,1,0,0.0,0.3349551856517792,2,mixed,0.15,6,5,23,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.0027704238891601562,0.49958324432373047,0.4968128204345703,1.4628888368606567,4.318416595458984,0.36568784713745117,6,0,0,1,0,1,0,0.0,0.19421014189720154,2,mixed,0.15,6,6,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.015410840511322021,0.6316667199134827,0.6162558794021606,1.748383641242981,5.745308876037598,0.421354204416275,17,0,0,1,0,1,0,0.0037165815010666847,0.2365334928035736,2,mixed,0.15,6,7,24,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.0034209489822387695,0.672109067440033,0.6686881184577942,1.848722219467163,6.351698398590088,0.24548226594924927,17,0,0,1,0,1,0,0.0,0.39789772033691406,2,mixed,0.15,6,8,25,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.01871335506439209,0.5224031209945679,0.5036897659301758,2.320464611053467,10.180402755737305,0.24570976197719574,13,0,0,1,0,1,0,0.0,0.28804734349250793,2,mixed,0.15,6,9,5,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.020168811082839966,0.39408132433891296,0.373912513256073,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.09725794196128845,2,mixed,0.15,6,10,13,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.04223322868347168,0.6061576008796692,0.5639243721961975,2.470799207687378,11.831899642944336,0.2781720459461212,20,0,0,1,0,1,0,0.0,0.20853057503700256,2,mixed,0.15,6,11,20,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.022451281547546387,0.6219547986984253,0.5995035171508789,2.04679274559021,7.743027210235596,0.3128650188446045,17,0,0,1,0,1,0,0.0,0.23916953802108765,2,mixed,0.15,6,12,31,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.06940275430679321,0.5366380214691162,0.467235267162323,1.830445647239685,6.23666524887085,0.47090375423431396,11,0,0,1,0,1,0,0.0,0.2326948642730713,2,mixed,0.15,6,13,5,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.11424762010574341,0.7252626419067383,0.6110150218009949,0.949182391166687,2.5835964679718018,0.7706741690635681,13,0,0,1,0,1,0,0.0,0.436482310295105,2,mixed,0.15,6,14,7,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.04312872886657715,0.4712604582309723,0.42813172936439514,1.4176406860351562,4.127371311187744,0.46110811829566956,5,0,0,1,0,1,0,0.0,0.0896972119808197,2,mixed,0.15,6,15,0,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.01336580514907837,0.6575943827629089,0.6442285776138306,1.7410509586334229,5.703334331512451,0.3263682425022125,18,0,0,1,0,1,0,0.0024581588804721832,0.24443066120147705,2,mixed,0.15,6,16,16,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.10087043046951294,0.6911013722419739,0.5902309417724609,1.6988695859909058,5.4677629470825195,0.5836464762687683,20,0,0,1,0,1,0,0.002954198746010661,0.26430338621139526,2,mixed,0.15,6,17,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.43455,0.563204,0.114716,0.984375,0.391097,0.541097,0.01744985580444336,0.5558546781539917,0.5384048223495483,2.1298248767852783,8.413393020629883,0.28256434202194214,15,0,0,1,0,1,0,0.0,0.2275024652481079,2,mixed,0.15,6,18,17,CORRECT,0,0,0,0,0,0,0.0,0.0
