arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,0,0,0,1,0,1.0,1,0,0,0,0,clean
stale-oneshot,0,1,0,1,1,1.0,1,0,0,0,0,clean
stale-oneshot,0,2,0,1,2,1.0,1,0,0,0,0,clean
stale-oneshot,0,3,0,1,3,1.0,1,0,0,0,0,clean
stale-oneshot,0,4,0,1,4,1.0,1,0,0,0,0,clean
stale-oneshot,0,5,0,1,5,1.0,1,0,0,0,0,clean
stale-oneshot,0,6,0,1,6,1.0,1,0,0,0,0,clean
stale-oneshot,0,7,0,1,7,1.0,1,0,0,0,0,clean
stale-oneshot,0,8,0,1,8,1.0,1,0,0,0,0,clean
stale-oneshot,0,9,0,1,9,1.0,1,0,0,0,0,clean
stale-oneshot,0,10,0,1,10,1.0,1,0,0,0,0,clean
stale-oneshot,0,11,0,1,11,1.0,1,0,0,0,0,clean
stale-oneshot,0,12,0,1,12,1.0,1,0,0,0,0,clean
stale-oneshot,0,13,0,1,13,1.0,1,0,0,0,0,clean
stale-oneshot,0,14,0,1,14,1.0,1,0,0,0,0,clean
stale-oneshot,0,15,0,1,15,1.0,1,0,0,0,0,clean
stale-oneshot,0,16,0,1,16,1.0,1,0,0,0,0,clean
stale-oneshot,0,17,0,1,17,1.0,1,0,0,0,0,clean
stale-oneshot,0,18,0,1,18,1.0,1,0,0,0,0,clean
stale-oneshot,0,19,0,1,19,1.0,1,0,0,0,0,clean
stale-oneshot,0,20,0,1,20,1.0,1,0,0,0,0,clean
stale-oneshot,0,21,0,1,21,1.0,1,0,0,0,0,clean
stale-oneshot,0,22,0,1,22,1.0,1,0,0,0,0,clean
stale-oneshot,0,23,0,1,23,1.0,1,0,0,0,0,clean
stale-oneshot,0,24,0,1,24,1.0,1,0,0,0,0,clean
stale-oneshot,0,25,0,1,25,1.0,1,0,0,0,0,clean
stale-oneshot,0,26,0,1,26,1.0,1,0,0,0,0,clean
stale-oneshot,0,27,0,1,27,1.0,1,0,0,0,0,clean
stale-oneshot,0,28,0,1,28,1.0,1,0,0,0,0,clean
stale-oneshot,0,29,0,1,29,1.0,1,0,0,0,0,clean
stale-oneshot,0,30,0,1,30,1.0,1,0,0,0,0,clean
stale-oneshot,0,31,0,1,31,1.0,1,0,0,0,0,clean
stale-oneshot,0,32,1,1,32,1.0,1,0,0,0,0,clean
stale-oneshot,0,33,1,1,33,1.0,1,0,0,0,0,clean
stale-oneshot,0,34,1,1,34,1.0,1,0,0,0,0,clean
stale-oneshot,0,35,1,1,35,1.0,1,0,0,0,0,clean
stale-oneshot,0,36,1,1,36,1.0,1,0,0,0,0,clean
