arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-soft,0,initial,stale1:vision-class0,0,plain-miss,nan,nan,0.85,-1,0,-1,0,0,-1
stale-soft,0,initial,stale1:vision-class0,1,plain-miss,nan,nan,0.85,-1,0,-1,0,1,-1
stale-soft,0,initial,stale1:vision-class0,2,plain-miss,nan,nan,0.85,-1,0,-1,0,2,-1
stale-soft,0,initial,stale1:vision-class0,3,plain-miss,nan,nan,0.85,-1,0,-1,0,3,-1
stale-soft,0,initial,stale1:vision-class0,4,plain-miss,nan,nan,0.85,-1,0,-1,0,4,-1
stale-soft,0,initial,stale1:vision-class0,5,plain-miss,nan,nan,0.85,-1,0,-1,0,5,-1
stale-soft,0,initial,stale1:vision-class0,6,plain-miss,nan,nan,0.85,-1,0,-1,0,6,-1
stale-soft,0,initial,stale1:vision-class0,7,plain-miss,nan,nan,0.85,-1,0,-1,0,7,-1
stale-soft,0,initial,clean,8,plain-miss,-0.055731,0.0,0.3,2,1,2,1,8,-1
stale-soft,0,initial,clean,9,plain-miss,-0.025837,0.0,0.3,2,1,2,1,9,-1
stale-soft,0,initial,clean,10,plain-miss,-0.082307,0.0,0.3,0,1,0,1,10,-1
stale-soft,0,initial,clean,11,plain-miss,-0.124969,0.0,0.3,2,1,2,1,11,-1
stale-soft,0,initial,clean,12,plain-miss,-0.054387,0.0,0.3,2,1,2,1,12,-1
stale-soft,0,initial,clean,13,plain-miss,-0.039164,0.0,0.3,2,1,2,1,13,-1
stale-soft,0,initial,clean,14,plain-miss,-0.033608,0.0,0.3,2,1,2,1,14,-1
stale-soft,0,initial,clean,15,plain-miss,-0.026449,0.0,0.3,0,1,0,1,15,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,16,absorbed,1.0,1.0,0.612065,0,1,0,1,0,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,17,absorbed,1.0,1.0,0.608872,1,1,1,1,1,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,18,absorbed,1.0,1.0,0.612249,2,1,2,1,2,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,19,absorbed,1.0,1.0,0.589616,3,1,3,1,3,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,20,absorbed,1.0,1.0,0.608635,4,1,4,1,4,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,21,absorbed,1.0,1.0,0.609107,5,1,5,1,5,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,22,absorbed,1.0,1.0,0.609954,6,1,6,1,6,-1
stale-soft,1,duplicate-rewrite,stale1:vision-class0,23,absorbed,1.0,1.0,0.592535,7,1,7,1,7,-1
stale-soft,1,duplicate-rewrite,clean,24,absorbed,1.0,1.0,0.603281,8,1,8,1,8,-1
stale-soft,1,duplicate-rewrite,clean,25,absorbed,1.0,1.0,0.612249,9,1,9,1,9,-1
stale-soft,1,duplicate-rewrite,clean,26,absorbed,1.0,1.0,0.595308,10,1,10,1,10,-1
stale-soft,1,duplicate-rewrite,clean,27,absorbed,1.0,1.0,0.582509,11,1,11,1,11,-1
stale-soft,1,duplicate-rewrite,clean,28,absorbed,1.0,1.0,0.603684,12,1,12,1,12,-1
stale-soft,1,duplicate-rewrite,clean,29,absorbed,1.0,1.0,0.608251,13,1,13,1,13,-1
stale-soft,1,duplicate-rewrite,clean,30,absorbed,1.0,1.0,0.609918,14,1,14,1,14,-1
stale-soft,1,duplicate-rewrite,clean,31,absorbed,1.0,1.0,0.612065,15,1,15,1,15,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,32,absorbed,1.0,1.0,0.612065,0,2,16,2,0,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,33,absorbed,1.0,1.0,0.608872,1,2,17,2,1,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,34,absorbed,1.0,1.0,0.612249,2,2,18,2,2,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,35,absorbed,1.0,1.0,0.589616,3,2,19,2,3,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,36,absorbed,1.0,1.0,0.608635,4,2,20,2,4,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,37,absorbed,1.0,1.0,0.609107,5,2,21,2,5,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,38,absorbed,1.0,1.0,0.609954,6,2,22,2,6,-1
stale-soft,2,duplicate-rewrite,stale1:vision-class0,39,absorbed,1.0,1.0,0.592535,7,2,23,2,7,-1
stale-soft,2,duplicate-rewrite,clean,40,absorbed,1.0,1.0,0.603281,8,2,24,2,8,-1
stale-soft,2,duplicate-rewrite,clean,41,absorbed,1.0,1.0,0.612249,9,2,25,2,9,-1
stale-soft,2,duplicate-rewrite,clean,42,absorbed,1.0,1.0,0.595308,10,2,26,2,10,-1
stale-soft,2,duplicate-rewrite,clean,43,absorbed,1.0,1.0,0.582509,11,2,27,2,11,-1
stale-soft,2,duplicate-rewrite,clean,44,absorbed,1.0,1.0,0.603684,12,2,28,2,12,-1
stale-soft,2,duplicate-rewrite,clean,45,absorbed,1.0,1.0,0.608251,13,2,29,2,13,-1
stale-soft,2,duplicate-rewrite,clean,46,absorbed,1.0,1.0,0.609918,14,2,30,2,14,-1
stale-soft,2,duplicate-rewrite,clean,47,absorbed,1.0,1.0,0.612065,15,2,31,2,15,-1
