arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-soft,0,0,0,1,0,1.0,1,0,0,0,0,clean
stale-soft,0,1,0,1,1,1.0,1,0,0,0,0,clean
stale-soft,0,2,0,1,2,1.0,1,0,0,0,0,clean
stale-soft,0,3,0,1,3,1.0,1,0,0,0,0,clean
stale-soft,0,4,0,1,4,1.0,1,0,0,0,0,clean
stale-soft,0,5,0,1,5,1.0,1,0,0,0,0,clean
stale-soft,0,6,0,1,6,1.0,1,0,0,0,0,clean
stale-soft,0,7,0,1,7,1.0,1,0,0,0,0,clean
stale-soft,0,8,1,1,8,1.0,1,0,0,0,0,clean
stale-soft,0,9,1,1,9,1.0,1,0,0,0,0,clean
stale-soft,0,10,1,1,10,1.0,1,0,0,0,0,clean
stale-soft,0,11,1,1,11,1.0,1,0,0,0,0,clean
stale-soft,0,12,1,1,12,1.0,1,0,0,0,0,clean
stale-soft,0,13,1,1,13,1.0,1,0,0,0,0,clean
stale-soft,0,14,1,1,14,1.0,1,0,0,0,0,clean
stale-soft,0,15,1,1,15,1.0,1,0,0,0,0,clean
stale-soft,1,0,0,2,16,2.0,2,0,0,0,0,clean
stale-soft,1,1,0,2,17,2.0,2,0,0,0,0,clean
stale-soft,1,2,0,2,18,2.0,2,0,0,0,0,clean
stale-soft,1,3,0,2,19,2.0,2,0,0,0,0,clean
stale-soft,1,4,0,2,20,2.0,2,0,0,0,0,clean
stale-soft,1,5,0,2,21,2.0,2,0,0,0,0,clean
stale-soft,1,6,0,2,22,2.0,2,0,0,0,0,clean
stale-soft,1,7,0,2,23,2.0,2,0,0,0,0,clean
stale-soft,1,8,1,2,24,2.0,2,0,0,0,0,clean
stale-soft,1,9,1,2,25,2.0,2,0,0,0,0,clean
stale-soft,1,10,1,2,26,2.0,2,0,0,0,0,clean
stale-soft,1,11,1,2,27,2.0,2,0,0,0,0,clean
stale-soft,1,12,1,2,28,2.0,2,0,0,0,0,clean
stale-soft,1,13,1,2,29,2.0,2,0,0,0,0,clean
stale-soft,1,14,1,2,30,2.0,2,0,0,0,0,clean
stale-soft,1,15,1,2,31,2.0,2,0,0,0,0,clean
stale-soft,2,0,0,3,32,3.0,3,0,0,0,0,clean
stale-soft,2,1,0,3,33,3.0,3,0,0,0,0,clean
stale-soft,2,2,0,3,34,3.0,3,0,0,0,0,clean
stale-soft,2,3,0,3,35,3.0,3,0,0,0,0,clean
stale-soft,2,4,0,3,36,3.0,3,0,0,0,0,clean
stale-soft,2,5,0,3,37,3.0,3,0,0,0,0,clean
stale-soft,2,6,0,3,38,3.0,3,0,0,0,0,clean
stale-soft,2,7,0,3,39,3.0,3,0,0,0,0,clean
stale-soft,2,8,1,3,40,3.0,3,0,0,0,0,clean
stale-soft,2,9,1,3,41,3.0,3,0,0,0,0,clean
stale-soft,2,10,1,3,42,3.0,3,0,0,0,0,clean
stale-soft,2,11,1,3,43,3.0,3,0,0,0,0,clean
stale-soft,2,12,1,3,44,3.0,3,0,0,0,0,clean
stale-soft,2,13,1,3,45,3.0,3,0,0,0,0,clean
stale-soft,2,14,1,3,46,3.0,3,0,0,0,0,clean
stale-soft,2,15,1,3,47,3.0,3,0,0,0,0,clean
stale-soft,3,0,0,3,32,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,1,0,3,33,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,2,0,3,34,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,3,0,3,35,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,4,0,3,36,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,5,0,3,37,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,6,0,3,38,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,7,0,3,39,3.0,3,0,1,0,0,stale_superseded
stale-soft,3,8,1,4,48,4.0,4,0,0,0,0,clean
stale-soft,3,9,1,4,49,4.0,4,0,0,0,0,clean
stale-soft,3,10,1,4,50,4.0,4,0,0,0,0,clean
stale-soft,3,11,1,4,51,4.0,4,0,0,0,0,clean
stale-soft,3,12,1,4,52,4.0,4,0,0,0,0,clean
stale-soft,3,13,1,4,53,4.0,4,0,0,0,0,clean
stale-soft,3,14,1,4,54,4.0,4,0,0,0,0,clean
stale-soft,3,15,1,4,55,4.0,4,0,0,0,0,clean
stale-soft,4,0,0,3,32,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,1,0,3,33,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,2,0,3,34,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,3,0,3,35,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,4,0,3,36,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,5,0,3,37,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,6,0,3,38,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,7,0,3,39,3.0,3,0,1,0,0,stale_superseded
stale-soft,4,8,1,5,56,5.0,5,0,0,0,0,clean
stale-soft,4,9,1,5,57,5.0,5,0,0,0,0,clean
stale-soft,4,10,1,5,58,5.0,5,0,0,0,0,clean
stale-soft,4,11,1,5,59,5.0,5,0,0,0,0,clean
stale-soft,4,12,1,5,60,5.0,5,0,0,0,0,clean
stale-soft,4,13,1,5,61,5.0,5,0,0,0,0,clean
stale-soft,4,14,1,5,62,5.0,5,0,0,0,0,clean
stale-soft,4,15,1,5,63,5.0,5,0,0,0,0,clean
stale-soft,5,0,0,3,32,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,1,0,3,33,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,2,0,3,34,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,3,0,3,35,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,4,0,3,36,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,5,0,3,37,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,6,0,3,38,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,7,0,3,39,3.0,3,0,1,0,0,stale_superseded
stale-soft,5,8,1,6,64,6.0,6,0,0,0,0,clean
stale-soft,5,9,1,6,65,6.0,6,0,0,0,0,clean
stale-soft,5,10,1,6,66,6.0,6,0,0,0,0,clean
stale-soft,5,11,1,6,67,6.0,6,0,0,0,0,clean
stale-soft,5,12,1,6,68,6.0,6,0,0,0,0,clean
stale-soft,5,13,1,6,69,6.0,6,0,0,0,0,clean
stale-soft,5,14,1,6,70,6.0,6,0,0,0,0,clean
stale-soft,5,15,1,6,71,6.0,6,0,0,0,0,clean
