arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,2,0.959228218,1,0.18242979,0
stale-soft,0,0,1,4,0.955906689,1,0.170704558,0
stale-soft,0,0,2,1,0.945782423,1,0.139414057,0
stale-soft,0,0,3,6,0.942463815,1,0.130461276,0
stale-soft,0,0,4,5,0.940151095,1,0.124564439,0
stale-soft,0,0,5,7,0.936829746,1,0.116558813,0
stale-soft,0,0,6,0,0.916456342,1,0.0775503293,0
stale-soft,0,0,7,3,0.902204335,1,0.0583166294,0
stale-soft,0,0,8,14,-0.0566100515,0,0,1
stale-soft,0,0,9,15,-0.057722386,0,0,1
stale-soft,0,0,10,9,-0.0599637814,0,0,1
stale-soft,0,0,11,13,-0.0779424161,0,0,1
stale-soft,0,0,12,8,-0.0886764973,0,0,1
stale-soft,0,0,13,12,-0.115475759,0,0,1
stale-soft,0,0,14,10,-0.124673903,0,0,1
stale-soft,0,0,15,11,-0.133023307,0,0,1
stale-soft,0,1,0,7,0.982602239,1,0.207162485,0
stale-soft,0,1,1,4,0.957206666,1,0.124660216,0
stale-soft,0,1,2,6,0.956461012,1,0.122814879,0
stale-soft,0,1,3,1,0.955960751,1,0.121592365,0
stale-soft,0,1,4,0,0.955368936,1,0.120161563,0
stale-soft,0,1,5,2,0.95453006,1,0.118162416,0
stale-soft,0,1,6,3,0.947226882,1,0.102104545,0
stale-soft,0,1,7,5,0.937074423,1,0.0833415017,0
stale-soft,0,1,8,15,-0.0537149906,0,0,1
stale-soft,0,1,9,14,-0.0593535043,0,0,1
stale-soft,0,1,10,9,-0.0783935189,0,0,1
stale-soft,0,1,11,12,-0.0826613605,0,0,1
stale-soft,0,1,12,13,-0.0826620832,0,0,1
stale-soft,0,1,13,8,-0.0873318687,0,0,1
stale-soft,0,1,14,10,-0.115488581,0,0,1
stale-soft,0,1,15,11,-0.158500373,0,0,1
stale-soft,0,2,0,4,0.969239295,1,0.201431647,0
stale-soft,0,2,1,0,0.961473942,1,0.172456354,0
stale-soft,0,2,2,1,0.945277214,1,0.12473727,0
stale-soft,0,2,3,6,0.944757283,1,0.123446874,0
stale-soft,0,2,4,5,0.942507148,1,0.118014663,0
stale-soft,0,2,5,7,0.936276078,1,0.104186907,0
stale-soft,0,2,6,2,0.930648863,1,0.0930969566,0
stale-soft,0,2,7,3,0.910828471,1,0.0626294315,0
stale-soft,0,2,8,14,-0.13565141,0,0,1
stale-soft,0,2,9,15,-0.137504295,0,0,1
stale-soft,0,2,10,8,-0.156467393,0,0,1
stale-soft,0,2,11,9,-0.160485998,0,0,1
stale-soft,0,2,12,12,-0.16883935,0,0,1
stale-soft,0,2,13,13,-0.179149836,0,0,1
stale-soft,0,2,14,10,-0.188525826,0,0,1
stale-soft,0,2,15,11,-0.243930325,0,0,1
stale-soft,0,3,0,4,0.956680477,1,0.185012802,0
stale-soft,0,3,1,7,0.939054251,1,0.130047441,0
stale-soft,0,3,2,0,0.939038336,1,0.13000603,0
stale-soft,0,3,3,6,0.93621099,1,0.12285877,0
stale-soft,0,3,4,5,0.93411392,1,0.117812328,0
stale-soft,0,3,5,2,0.931948066,1,0.112818137,0
stale-soft,0,3,6,1,0.927457154,1,0.103126675,0
stale-soft,0,3,7,3,0.925069571,1,0.0983178616,0
stale-soft,0,3,8,15,-0.150518909,0,0,1
stale-soft,0,3,9,14,-0.170372918,0,0,1
stale-soft,0,3,10,9,-0.17918089,0,0,1
stale-soft,0,3,11,12,-0.194125116,0,0,1
stale-soft,0,3,12,13,-0.206056863,0,0,1
stale-soft,0,3,13,8,-0.208298445,0,0,1
stale-soft,0,3,14,10,-0.221704885,0,0,1
stale-soft,0,3,15,11,-0.266353518,0,0,1
stale-soft,0,4,0,6,0.954772592,1,0.155408919,0
stale-soft,0,4,1,5,0.95086509,1,0.1437262,0
stale-soft,0,4,2,7,0.949789405,1,0.14066723,0
stale-soft,0,4,3,2,0.948356032,1,0.136691913,0
stale-soft,0,4,4,1,0.944409192,1,0.126316667,0
stale-soft,0,4,5,4,0.939244628,1,0.113920577,0
stale-soft,0,4,6,3,0.932038963,1,0.098631233,0
stale-soft,0,4,7,0,0.924388349,1,0.0846372768,0
stale-soft,0,4,8,15,-0.082128644,0,0,1
stale-soft,0,4,9,14,-0.0872958452,0,0,1
stale-soft,0,4,10,8,-0.108345382,0,0,1
stale-soft,0,4,11,12,-0.115329213,0,0,1
stale-soft,0,4,12,9,-0.119374163,0,0,1
stale-soft,0,4,13,13,-0.12227007,0,0,1
stale-soft,0,4,14,10,-0.166163906,0,0,1
stale-soft,0,4,15,11,-0.209738001,0,0,1
stale-soft,0,5,0,0,0.959595859,1,0.15483135,0
stale-soft,0,5,1,4,0.954986811,1,0.141196758,0
stale-soft,0,5,2,5,0.953133404,1,0.136058763,0
stale-soft,0,5,3,6,0.952841103,1,0.135265678,0
stale-soft,0,5,4,2,0.952058196,1,0.133164272,0
stale-soft,0,5,5,1,0.947606981,1,0.121821634,0
stale-soft,0,5,6,3,0.931931555,1,0.0890367255,0
stale-soft,0,5,7,7,0.931699693,1,0.0886248425,0
stale-soft,0,5,8,15,-0.0251521021,0,0,1
stale-soft,0,5,9,14,-0.0434478894,0,0,1
stale-soft,0,5,10,9,-0.0437804572,0,0,1
stale-soft,0,5,11,8,-0.0561517738,0,0,1
stale-soft,0,5,12,13,-0.0648215637,0,0,1
stale-soft,0,5,13,12,-0.0677773207,0,0,1
stale-soft,0,5,14,10,-0.094692342,0,0,1
stale-soft,0,5,15,11,-0.14850226,0,0,1
stale-soft,0,6,0,4,0.954625368,1,0.182341561,0
stale-soft,0,6,1,6,0.94085753,1,0.138452232,0
stale-soft,0,6,2,7,0.937872529,1,0.130428523,0
stale-soft,0,6,3,0,0.937737167,1,0.130075991,0
stale-soft,0,6,4,1,0.937387049,1,0.129168138,0
stale-soft,0,6,5,2,0.932769299,1,0.11777325,0
stale-soft,0,6,6,5,0.929906011,1,0.111218303,0
stale-soft,0,6,7,3,0.899498105,1,0.0605419725,0
stale-soft,0,6,8,15,0.018088406,0,0,1
stale-soft,0,6,9,14,-0.00598512497,0,0,1
stale-soft,0,6,10,9,-0.00980879646,0,0,1
stale-soft,0,6,11,8,-0.0230211541,0,0,1
stale-soft,0,6,12,13,-0.0230471976,0,0,1
stale-soft,0,6,13,12,-0.0242933277,0,0,1
stale-soft,0,6,14,10,-0.0602885522,0,0,1
stale-soft,0,6,15,11,-0.108286783,0,0,1
stale-soft,0,7,0,6,0.943747401,1,0.167626068,0
stale-soft,0,7,1,2,0.941368043,1,0.15983586,0
stale-soft,0,7,2,7,0.931078851,1,0.13010782,0
stale-soft,0,7,3,1,0.930551887,1,0.128743932,0
stale-soft,0,7,4,4,0.930032611,1,0.127413779,0
stale-soft,0,7,5,5,0.919657648,1,0.103538081,0
stale-soft,0,7,6,3,0.919558346,1,0.103332698,0
stale-soft,0,7,7,0,0.906386673,1,0.0794017538,0
stale-soft,0,7,8,14,-0.172201395,0,0,1
stale-soft,0,7,9,15,-0.178860962,0,0,1
stale-soft,0,7,10,9,-0.181437179,0,0,1
stale-soft,0,7,11,8,-0.186601624,0,0,1
stale-soft,0,7,12,12,-0.211350083,0,0,1
stale-soft,0,7,13,13,-0.214294493,0,0,1
stale-soft,0,7,14,10,-0.235166267,0,0,1
stale-soft,0,7,15,11,-0.263571501,0,0,1
stale-soft,0,8,0,14,0.967852771,1,0.176100835,1
stale-soft,0,8,1,8,0.952588141,1,0.129769877,1
stale-soft,0,8,2,12,0.952478588,1,0.129486039,1
stale-soft,0,8,3,11,0.947547078,1,0.117324337,1
stale-soft,0,8,4,13,0.946992517,1,0.116030253,1
stale-soft,0,8,5,9,0.945841253,1,0.11338912,1
stale-soft,0,8,6,15,0.94517982,1,0.111899137,1
stale-soft,0,8,7,10,0.9424721,1,0.106000379,1
stale-soft,0,8,8,4,-0.12978974,0,0,0
stale-soft,0,8,9,2,-0.139218509,0,0,0
stale-soft,0,8,10,5,-0.147931889,0,0,0
stale-soft,0,8,11,0,-0.151047811,0,0,0
stale-soft,0,8,12,1,-0.153352022,0,0,0
stale-soft,0,8,13,6,-0.164690435,0,0,0
stale-soft,0,8,14,3,-0.219592199,0,0,0
stale-soft,0,8,15,7,-0.227061689,0,0,0
stale-soft,0,9,0,13,0.975731492,1,0.201661646,1
stale-soft,0,9,1,8,0.962448001,1,0.154612571,1
stale-soft,0,9,2,15,0.961114764,1,0.150544345,1
stale-soft,0,9,3,12,0.948190987,1,0.116254464,1
stale-soft,0,9,4,10,0.947836339,1,0.115432732,1
stale-soft,0,9,5,14,0.947423875,1,0.114484414,1
stale-soft,0,9,6,9,0.925501525,1,0.0738468021,1
stale-soft,0,9,7,11,0.92503643,1,0.0731630474,1
stale-soft,0,9,8,0,-0.0170903038,0,0,0
stale-soft,0,9,9,2,-0.0310987458,0,0,0
stale-soft,0,9,10,6,-0.039726641,0,0,0
stale-soft,0,9,11,1,-0.042239733,0,0,0
stale-soft,0,9,12,5,-0.0455211848,0,0,0
stale-soft,0,9,13,4,-0.0486980341,0,0,0
stale-soft,0,9,14,7,-0.0750776455,0,0,0
stale-soft,0,9,15,3,-0.109821342,0,0,0
stale-soft,0,10,0,13,0.968865037,1,0.171233252,1
stale-soft,0,10,1,15,0.966779113,1,0.164236769,1
stale-soft,0,10,2,14,0.954730451,1,0.129067391,1
stale-soft,0,10,3,10,0.954321444,1,0.128015846,1
stale-soft,0,10,4,8,0.950052559,1,0.117539838,1
stale-soft,0,10,5,9,0.947106719,1,0.110814899,1
stale-soft,0,10,6,12,0.944167376,1,0.104488082,1
stale-soft,0,10,7,11,0.927323341,1,0.0746039376,1
stale-soft,0,10,8,0,-0.063897416,0,0,0
stale-soft,0,10,9,5,-0.0671171471,0,0,0
stale-soft,0,10,10,2,-0.0711090714,0,0,0
stale-soft,0,10,11,4,-0.0777442679,0,0,0
stale-soft,0,10,12,1,-0.102860056,0,0,0
stale-soft,0,10,13,6,-0.103482947,0,0,0
stale-soft,0,10,14,7,-0.127280384,0,0,0
