arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
clean,0,4,0,2,0.482784957,1,0.378827035,0
clean,0,4,1,29,0.477392495,1,0.340096891,0
clean,0,4,2,27,0.467862219,1,0.281076103,0
clean,0,4,3,16,0.403755546,0,0,0
clean,0,4,4,25,0.385118067,0,0,0
clean,0,4,5,20,0.355622441,0,0,0
clean,0,4,6,21,0.343471289,0,0,0
clean,0,4,7,22,0.329276919,0,0,0
clean,0,4,8,14,0.327411264,0,0,0
clean,0,4,9,18,0.302837372,0,0,0
clean,0,4,10,26,0.300812006,0,0,0
clean,0,4,11,24,0.296919584,0,0,0
clean,0,4,12,31,0.295867145,0,0,0
clean,0,4,13,19,0.271880925,0,0,0
clean,0,4,14,23,0.267953098,0,0,0
clean,0,4,15,10,0.26494652,0,0,0
clean,0,4,16,28,0.262715459,0,0,0
clean,0,4,17,11,0.247285962,0,0,0
clean,0,4,18,12,0.187402844,0,0,0
clean,0,4,19,3,0.166123748,0,0,0
clean,0,5,0,29,0.565567911,1,0.788542926,0
clean,0,5,1,16,0.499759674,1,0.211457044,0
clean,0,5,2,27,0.447266877,0,0,0
clean,0,5,3,15,0.431626737,0,0,0
clean,0,5,4,28,0.418202102,0,0,0
clean,0,5,5,25,0.406880021,0,0,0
clean,0,5,6,20,0.360984147,0,0,0
clean,0,5,7,2,0.341712505,0,0,0
clean,0,5,8,31,0.316947401,0,0,0
clean,0,5,9,23,0.315873921,0,0,0
clean,0,5,10,14,0.311460614,0,0,0
clean,0,5,11,10,0.308106095,0,0,0
clean,0,5,12,21,0.291524351,0,0,0
clean,0,5,13,71,0.281814575,0,0,2
clean,0,5,14,26,0.269437253,0,0,0
clean,0,5,15,24,0.260114402,0,0,0
clean,0,5,16,33,0.246770278,0,0,1
clean,0,5,17,17,0.224377662,0,0,0
clean,0,5,18,8,0.213590831,0,0,0
clean,0,5,19,61,0.205803871,0,0,1
clean,0,6,0,16,0.63839227,1,0.964989662,0
clean,0,6,1,27,0.472568542,1,0.0350103043,0
clean,0,6,2,29,0.448909253,0,0,0
clean,0,6,3,23,0.438115865,0,0,0
clean,0,6,4,28,0.411187828,0,0,0
clean,0,6,5,26,0.383004516,0,0,0
clean,0,6,6,25,0.37280196,0,0,0
clean,0,6,7,2,0.367150843,0,0,0
clean,0,6,8,20,0.358001232,0,0,0
clean,0,6,9,24,0.357037634,0,0,0
clean,0,6,10,10,0.344484061,0,0,0
clean,0,6,11,14,0.343786031,0,0,0
