arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
clean,0,0,0,29,0.614534378,1,0.173592925,0
clean,0,0,1,11,0.605842233,1,0.145892441,0
clean,0,0,2,31,0.596081674,1,0.120020099,0
clean,0,0,3,18,0.58443284,1,0.0950765461,0
clean,0,0,4,28,0.576300979,1,0.0808054656,0
clean,0,0,5,20,0.575226545,1,0.0790876225,0
clean,0,0,6,14,0.567117929,1,0.0672477856,0
clean,0,0,7,21,0.556143999,1,0.0539957583,0
clean,0,0,8,1,0.543471038,1,0.0419067331,0
clean,0,0,9,25,0.522209048,1,0.0273907688,0
clean,0,0,10,24,0.517149687,1,0.0247547962,0
clean,0,0,11,7,0.51306963,1,0.0228149965,0
clean,0,0,12,22,0.512369394,1,0.0224977061,0
clean,0,0,13,10,0.500820279,1,0.0178576242,0
clean,0,0,14,27,0.499592692,1,0.017424535,0
clean,0,0,15,3,0.469964415,1,0.00963414647,0
clean,0,0,16,2,0.430218309,0,0,0
clean,0,0,17,0,0.429492533,0,0,0
clean,0,0,18,19,0.427021176,0,0,0
clean,0,0,19,15,0.379199862,0,0,0
clean,0,1,0,29,0.74850589,1,0.19970423,0
clean,0,1,1,28,0.745641351,1,0.188584536,0
clean,0,1,2,21,0.722538292,1,0.118805237,0
clean,0,1,3,22,0.713000178,1,0.0981721878,0
clean,0,1,4,14,0.696044922,1,0.0699386373,0
clean,0,1,5,24,0.69112432,1,0.0633836389,0
clean,0,1,6,11,0.685608387,1,0.0567631647,0
clean,0,1,7,2,0.684007525,1,0.0549745262,0
clean,0,1,8,1,0.672364295,1,0.0435541719,0
clean,0,1,9,20,0.639320612,1,0.0224913806,0
clean,0,1,10,27,0.632926583,1,0.0197914708,0
clean,0,1,11,9,0.606053591,1,0.0115627842,0
clean,0,1,12,0,0.60198462,1,0.0106590763,0
clean,0,1,13,18,0.593553185,1,0.00900502782,0
clean,0,1,14,3,0.593413651,1,0.0089799352,0
clean,0,1,15,19,0.591043472,1,0.00856418721,0
clean,0,1,16,7,0.582103372,1,0.00716198236,0
clean,0,1,17,31,0.561257005,1,0.00472023943,0
clean,0,1,18,10,0.511351347,1,0.00173975935,0
clean,0,1,19,25,0.502029777,1,0.00144385244,0
clean,0,2,0,0,0.851229668,1,0.437677801,0
clean,0,2,1,14,0.815602183,1,0.214633897,0
clean,0,2,2,19,0.760786951,1,0.0717099085,0
clean,0,2,3,24,0.743873,1,0.0511288643,0
clean,0,2,4,11,0.730203867,1,0.0388989374,0
clean,0,2,5,3,0.729381442,1,0.038264323,0
clean,0,2,6,27,0.72666049,1,0.0362376794,0
clean,0,2,7,22,0.723948121,1,0.0343242325,0
clean,0,2,8,1,0.709657907,1,0.0257915724,0
clean,0,2,9,28,0.686600983,1,0.0162632689,0
clean,0,2,10,18,0.669689894,1,0.0115963165,0
clean,0,2,11,29,0.659046173,1,0.00937281176,0
clean,0,2,12,20,0.621311128,1,0.00440664031,0
clean,0,2,13,21,0.602692485,1,0.00303660124,0
clean,0,2,14,2,0.587344885,1,0.00223398581,0
clean,0,2,15,9,0.55749613,1,0.00122975139,0
clean,0,2,16,10,0.545842648,1,0.000974084367,0
clean,0,2,17,7,0.544993758,1,0.000957685639,0
clean,0,2,18,31,0.536131263,1,0.000802129274,0
clean,0,2,19,25,0.508278608,1,0.00045953595,0
clean,0,3,0,27,0.83516866,1,0.397041857,0
clean,0,3,1,0,0.773964882,1,0.116742007,0
clean,0,3,2,1,0.756840289,1,0.0828866735,0
clean,0,3,3,20,0.756104231,1,0.0816754401,0
clean,0,3,4,24,0.751669884,1,0.0747438148,0
clean,0,3,5,22,0.733651936,1,0.0521282591,0
clean,0,3,6,19,0.731998444,1,0.0504325964,0
clean,0,3,7,14,0.718183041,1,0.0382571146,0
clean,0,3,8,11,0.690233052,1,0.0218746737,0
clean,0,3,9,28,0.688765526,1,0.0212419778,0
clean,0,3,10,29,0.680299461,1,0.0179332811,0
clean,0,3,11,31,0.672025204,1,0.0151981367,0
clean,0,3,12,3,0.64936173,1,0.00965912268,0
clean,0,3,13,18,0.637401879,1,0.00760424044,0
clean,0,3,14,7,0.596551836,1,0.00335920975,0
clean,0,3,15,2,0.595065951,1,0.00326084788,0
clean,0,3,16,25,0.58698976,1,0.0027744805,0
clean,0,3,17,21,0.578330874,1,0.00233330508,0
clean,0,3,18,10,0.504380286,1,0.00053167349,0
clean,0,3,19,9,0.479186296,1,0.000321227621,0
clean,0,4,0,12,0.658538997,1,0.569283247,0
clean,0,4,1,5,0.595329762,1,0.160805106,0
clean,0,4,2,26,0.566561818,1,0.0904533118,0
clean,0,4,3,4,0.560692728,1,0.0804352686,0
clean,0,4,4,8,0.531620979,1,0.0449709855,0
clean,0,4,5,17,0.522221148,1,0.0372637361,0
clean,0,4,6,6,0.482354403,1,0.0167883635,0
clean,0,4,7,16,0.457365602,0,0,0
clean,0,4,8,13,0.44728291,0,0,0
clean,0,4,9,2,0.369621098,0,0,0
clean,0,4,10,10,0.368513525,0,0,0
clean,0,4,11,18,0.353230298,0,0,0
clean,0,4,12,22,0.351079583,0,0,0
clean,0,4,13,9,0.322067499,0,0,0
clean,0,4,14,11,0.314147919,0,0,0
clean,0,4,15,3,0.30733034,0,0,0
clean,0,4,16,14,0.306018472,0,0,0
clean,0,4,17,21,0.291770816,0,0,0
clean,0,4,18,1,0.28810221,0,0,0
clean,0,4,19,29,0.282656848,0,0,0
clean,0,5,0,27,0.873169124,1,0.330473155,0
clean,0,5,1,1,0.854784489,1,0.228796408,0
clean,0,5,2,24,0.816608548,1,0.106624492,0
clean,0,5,3,20,0.802022576,1,0.0796461552,0
clean,0,5,4,28,0.799446344,1,0.0756463781,0
clean,0,5,5,22,0.764435828,1,0.0375569724,0
clean,0,5,6,19,0.75275898,1,0.0297349244,0
clean,0,5,7,0,0.751849532,1,0.0291989539,0
clean,0,5,8,14,0.747898459,1,0.0269804206,0
clean,0,5,9,11,0.727984428,1,0.0181166474,0
clean,0,5,10,25,0.691576838,1,0.00874672178,0
clean,0,5,11,2,0.689036965,1,0.00831350684,0
clean,0,5,12,29,0.685559332,1,0.00775493309,0
clean,0,5,13,31,0.650484324,1,0.00384521391,0
clean,0,5,14,3,0.639588177,1,0.00309227174,0
clean,0,5,15,18,0.613614678,1,0.00183939328,0
clean,0,5,16,21,0.607226551,1,0.00161878183,0
clean,0,5,17,7,0.598807096,1,0.00136791088,0
clean,0,5,18,9,0.541644931,1,0.000436067086,0
clean,0,5,19,10,0.50529325,1,0.000210768951,0
clean,0,6,0,0,0.859106421,1,0.310342848,0
clean,0,6,1,24,0.834645331,1,0.190271914,0
clean,0,6,2,19,0.82924211,1,0.170782596,0
clean,0,6,3,27,0.785082579,1,0.0706120133,0
clean,0,6,4,28,0.776429296,1,0.0593904927,0
clean,0,6,5,3,0.767572522,1,0.0497494154,0
clean,0,6,6,14,0.764007986,1,0.0463262461,0
clean,0,6,7,11,0.718710661,1,0.0187231731,0
clean,0,6,8,22,0.712569118,1,0.0165590141,0
