vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.03762426972389221,0.5110138058662415,0.47338953614234924,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.24231114983558655,2,clean,0.0,-1,0,28,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.15752142667770386,0.5575714111328125,0.40004998445510864,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.32683855295181274,2,clean,0.0,-1,1,3,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.09297966957092285,0.6945255994796753,0.6015459299087524,0.5489180684089661,1.7313787937164307,0.830181896686554,3,0,0,1,0,1,0,0.0,0.5842553973197937,2,clean,0.0,-1,2,14,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.014633804559707642,0.4974060356616974,0.48277223110198975,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.22393295168876648,2,clean,0.0,-1,10,17,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.08684149384498596,0.5661791563034058,0.4793376624584198,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.30210939049720764,2,clean,0.0,-1,13,3,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.0817604660987854,0.5454531908035278,0.46369272470474243,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2837834358215332,2,clean,0.0,-1,22,12,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.20138755440711975,0.5386088490486145,0.33722129464149475,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.3263370990753174,2,clean,0.0,-1,29,30,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.001230776309967041,0.5109431743621826,0.5097123980522156,1.0983421802520752,2.999189853668213,0.3424144387245178,3,0,0,1,0,1,0,0.0,0.2870919704437256,2,clean,0.0,-1,30,27,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.05672097206115723,0.527478814125061,0.4707578420639038,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.39053937792778015,2,clean,0.0,-1,31,21,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.06267088651657104,0.5771849155426025,0.5145140290260315,0.529564380645752,1.6981923580169678,0.7778909802436829,2,0,0,1,0,1,0,0.0,0.4579295516014099,2,clean,0.0,-1,32,21,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.07998856902122498,0.5272687673568726,0.4472801983356476,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.4179743826389313,2,clean,0.0,-1,33,22,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.042268991470336914,0.5554631948471069,0.51319420337677,0.6112053394317627,1.842651128768921,0.6995970606803894,2,0,0,1,0,1,0,0.0,0.339192658662796,2,clean,0.0,-1,37,14,CORRECT,0,0,0,0,0,0,0.0,0.0
margin,live-delta,0,0.0,0.2137,0.622487,0.0,0.984375,0.489487,0.639487,0.004916787147521973,0.5519967079162598,0.5470799207687378,1.2911443710327148,3.636946201324463,0.372834175825119,4,0,0,1,0,1,0,0.0,0.30704265832901,2,clean,0.0,-1,45,5,CORRECT,0,0,0,0,0,0,0.0,0.0
