arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
clean,0,0,0,18,0.74836874,1,0.279562622,0
clean,0,0,1,2,0.7144894,1,0.141973406,0
clean,0,0,2,4,0.685745537,1,0.0798988938,0
clean,0,0,3,28,0.6820544,1,0.0742129833,0
clean,0,0,4,16,0.678639889,1,0.0693141669,0
clean,0,0,5,29,0.673809588,1,0.062931262,0
clean,0,0,6,10,0.666241407,1,0.0540916435,0
clean,0,0,7,12,0.640228629,1,0.032150358,0
clean,0,0,8,8,0.637787342,1,0.0306183156,0
clean,0,0,9,24,0.636462212,1,0.0298175085,0
clean,0,0,10,13,0.633606553,1,0.028162241,0
clean,0,0,11,23,0.626307547,1,0.0243371073,0
clean,0,0,12,26,0.620744944,1,0.0217747353,0
clean,0,0,13,9,0.603828728,1,0.0155245997,0
clean,0,0,14,14,0.596854448,1,0.0135033866,0
clean,0,0,15,19,0.592501044,1,0.0123773962,0
clean,0,0,16,27,0.589198351,1,0.0115862442,0
clean,0,0,17,20,0.582650304,1,0.0101640513,0
clean,0,0,18,5,0.548716247,1,0.0051560807,0
clean,0,0,19,21,0.518950582,1,0.00284300814,0
clean,0,1,0,27,0.874986529,1,0.495834589,0
clean,0,1,1,8,0.805134773,1,0.122634299,0
clean,0,1,2,20,0.798741639,1,0.107914999,0
clean,0,1,3,24,0.778458178,1,0.0719286501,0
clean,0,1,4,10,0.771186113,1,0.0621924438,0
clean,0,1,5,4,0.759335279,1,0.0490684845,0
clean,0,1,6,12,0.73813808,1,0.0321133696,0
clean,0,1,7,18,0.727712214,1,0.0260692202,0
clean,0,1,8,28,0.666161001,1,0.00761204259,0
clean,0,1,9,2,0.662488341,1,0.00707295025,0
clean,0,1,10,16,0.646162808,1,0.00510268658,0
clean,0,1,11,19,0.635451436,1,0.00411870796,0
clean,0,1,12,29,0.592656195,1,0.00175003358,0
clean,0,1,13,26,0.591156602,1,0.00169832574,0
clean,0,1,14,9,0.585992038,1,0.00153166032,0
clean,0,1,15,22,0.580637634,1,0.00137611479,0
clean,0,1,16,21,0.579092503,1,0.00133423938,0
clean,0,1,17,13,0.512504578,1,0.000352255971,0
clean,0,1,18,5,0.470697582,1,0.000152660796,0
clean,0,1,19,23,0.467159957,1,0.000142232821,0
clean,0,2,0,28,0.687040806,1,0.265316039,0
clean,0,2,1,29,0.676729858,1,0.215875745,0
clean,0,2,2,21,0.665947139,1,0.173998848,0
clean,0,2,3,23,0.627505362,1,0.0806575641,0
clean,0,2,4,5,0.615164042,1,0.0630158633,0
clean,0,2,5,2,0.580555141,1,0.0315384902,0
clean,0,2,6,8,0.576069117,1,0.0288320594,0
clean,0,2,7,24,0.568109393,1,0.0245888475,0
clean,0,2,8,12,0.566404164,1,0.0237643998,0
clean,0,2,9,18,0.550561786,1,0.017310977,0
