arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,0,0.667303801,1,0.522000372,0
stale-soft,0,0,1,29,0.662900865,1,0.477999568,0
stale-soft,0,0,2,30,0.272951722,0,0,0
stale-soft,0,0,3,17,0.255387008,0,0,0
stale-soft,0,0,4,12,0.218767479,0,0,0
stale-soft,0,0,5,28,0.212092847,0,0,0
stale-soft,0,0,6,3,0.207879081,0,0,0
stale-soft,0,0,7,14,0.205747277,0,0,0
stale-soft,0,0,8,23,0.197314873,0,0,0
stale-soft,0,0,9,7,0.184806198,0,0,0
stale-soft,0,0,10,27,0.177581429,0,0,0
stale-soft,0,0,11,6,0.175425902,0,0,0
stale-soft,0,0,12,26,0.160792261,0,0,0
stale-soft,0,0,13,9,0.158104107,0,0,0
stale-soft,0,0,14,16,0.15548116,0,0,0
stale-soft,0,0,15,19,0.144477323,0,0,0
stale-soft,0,0,16,31,0.14265281,0,0,0
stale-soft,0,0,17,8,0.137356311,0,0,0
stale-soft,0,0,18,24,0.135173872,0,0,0
stale-soft,0,0,19,15,0.131044179,0,0,0
stale-soft,0,1,0,0,0.878195524,1,0.565862536,0
stale-soft,0,1,1,29,0.864946008,1,0.434137493,0
stale-soft,0,1,2,9,0.319331467,0,0,0
stale-soft,0,1,3,16,0.255221665,0,0,0
stale-soft,0,1,4,6,0.231763586,0,0,0
stale-soft,0,1,5,28,0.22469455,0,0,0
stale-soft,0,1,6,21,0.220979303,0,0,0
stale-soft,0,1,7,19,0.189121857,0,0,0
stale-soft,0,1,8,27,0.187855303,0,0,0
stale-soft,0,1,9,3,0.18660143,0,0,0
stale-soft,0,1,10,31,0.179178387,0,0,0
stale-soft,0,1,11,24,0.176058382,0,0,0
stale-soft,0,1,12,17,0.175299317,0,0,0
stale-soft,0,1,13,30,0.17243208,0,0,0
stale-soft,0,1,14,8,0.144265801,0,0,0
stale-soft,0,1,15,22,0.133758157,0,0,0
stale-soft,0,1,16,93,0.124952681,0,0,2
stale-soft,0,1,17,73,0.11787162,0,0,2
stale-soft,0,1,18,20,0.10949821,0,0,0
stale-soft,0,1,19,12,0.108873665,0,0,0
stale-soft,0,2,0,28,0.764734387,1,0.69413954,0
stale-soft,0,2,1,31,0.711439013,1,0.239072174,0
stale-soft,0,2,2,6,0.577496469,1,0.016410403,0
stale-soft,0,2,3,16,0.570538044,1,0.0142783821,0
stale-soft,0,2,4,26,0.569096506,1,0.0138726057,0
stale-soft,0,2,5,19,0.566111028,1,0.0130685233,0
stale-soft,0,2,6,3,0.548334658,1,0.00915846601,0
stale-soft,0,2,7,8,0.538759351,0,0,0
stale-soft,0,2,8,13,0.500495672,0,0,0
stale-soft,0,2,9,2,0.495862871,0,0,0
stale-soft,0,2,10,18,0.480127245,0,0,0
stale-soft,0,2,11,9,0.476544589,0,0,0
stale-soft,0,2,12,1,0.437180936,0,0,0
stale-soft,0,2,13,24,0.410708398,0,0,0
stale-soft,0,2,14,10,0.410531104,0,0,0
stale-soft,0,2,15,11,0.396227032,0,0,0
stale-soft,0,2,16,27,0.377165139,0,0,0
stale-soft,0,2,17,4,0.375796914,0,0,0
stale-soft,0,2,18,21,0.374616414,0,0,0
stale-soft,0,2,19,14,0.302169442,0,0,0
stale-soft,0,3,0,0,0.898138523,1,0.516777873,0
stale-soft,0,3,1,29,0.894781709,1,0.483222097,0
stale-soft,0,3,2,9,0.336931407,0,0,0
stale-soft,0,3,3,6,0.292484343,0,0,0
stale-soft,0,3,4,16,0.290543616,0,0,0
stale-soft,0,3,5,28,0.245478481,0,0,0
stale-soft,0,3,6,21,0.240333244,0,0,0
stale-soft,0,3,7,24,0.222528011,0,0,0
stale-soft,0,3,8,27,0.221984655,0,0,0
stale-soft,0,3,9,31,0.217626542,0,0,0
stale-soft,0,3,10,30,0.212096423,0,0,0
stale-soft,0,3,11,3,0.21164158,0,0,0
stale-soft,0,3,12,17,0.193957061,0,0,0
stale-soft,0,3,13,8,0.189528316,0,0,0
stale-soft,0,3,14,19,0.18803975,0,0,0
stale-soft,0,3,15,77,0.15412657,0,0,2
stale-soft,0,3,16,22,0.152893439,0,0,0
stale-soft,0,3,17,12,0.152302593,0,0,0
stale-soft,0,3,18,93,0.139535606,0,0,2
stale-soft,0,3,19,86,0.138281405,0,0,2
stale-soft,0,4,0,1,0.707013726,1,0.38765806,0
stale-soft,0,4,1,13,0.666594803,1,0.172732726,0
stale-soft,0,4,2,11,0.651717186,1,0.128277168,0
stale-soft,0,4,3,2,0.640636921,1,0.102779716,0
stale-soft,0,4,4,18,0.640288234,1,0.102065399,0
stale-soft,0,4,5,10,0.616090775,1,0.0629074872,0
stale-soft,0,4,6,4,0.572023988,1,0.0260581076,0
stale-soft,0,4,7,26,0.552178502,1,0.0175213329,0
stale-soft,0,4,8,28,0.526133537,0,0,0
stale-soft,0,4,9,31,0.466410637,0,0,0
stale-soft,0,4,10,5,0.425322115,0,0,0
stale-soft,0,4,11,3,0.420325667,0,0,0
stale-soft,0,4,12,8,0.398475707,0,0,0
stale-soft,0,4,13,19,0.380679965,0,0,0
stale-soft,0,4,14,16,0.338585228,0,0,0
stale-soft,0,4,15,14,0.320979357,0,0,0
stale-soft,0,4,16,27,0.306261063,0,0,0
stale-soft,0,4,17,21,0.297822535,0,0,0
stale-soft,0,4,18,17,0.292187035,0,0,0
stale-soft,0,4,19,20,0.292154759,0,0,0
stale-soft,0,5,0,9,0.712709785,1,0.790910482,0
stale-soft,0,5,1,16,0.637013197,1,0.174034491,0
stale-soft,0,5,2,24,0.556896508,1,0.035055045,0
stale-soft,0,5,3,27,0.481128573,0,0,0
stale-soft,0,5,4,21,0.471790075,0,0,0
stale-soft,0,5,5,28,0.440234065,0,0,0
stale-soft,0,5,6,29,0.431997269,0,0,0
stale-soft,0,5,7,31,0.424268484,0,0,0
stale-soft,0,5,8,8,0.413835615,0,0,0
stale-soft,0,5,9,0,0.406233549,0,0,0
stale-soft,0,5,10,20,0.396400392,0,0,0
stale-soft,0,5,11,19,0.386018604,0,0,0
stale-soft,0,5,12,6,0.381302327,0,0,0
stale-soft,0,5,13,22,0.353709191,0,0,0
stale-soft,0,5,14,3,0.329342663,0,0,0
stale-soft,0,5,15,93,0.32423991,0,0,2
stale-soft,0,5,16,73,0.321361542,0,0,2
stale-soft,0,5,17,12,0.286971778,0,0,0
stale-soft,0,5,18,30,0.282038629,0,0,0
stale-soft,0,5,19,66,0.277259827,0,0,2
stale-soft,0,6,0,19,0.789889157,1,0.731591046,0
stale-soft,0,6,1,13,0.682211995,1,0.0849173367,0
stale-soft,0,6,2,28,0.680337667,1,0.08179304,0
stale-soft,0,6,3,31,0.630864024,1,0.0304083973,0
stale-soft,0,6,4,10,0.60832566,1,0.0193743929,0
stale-soft,0,6,5,1,0.607184768,1,0.0189373028,0
stale-soft,0,6,6,4,0.587211609,1,0.0127008753,0
stale-soft,0,6,7,11,0.576433182,1,0.0102379611,0
stale-soft,0,6,8,18,0.57545507,1,0.0100396248,0
stale-soft,0,6,9,5,0.46840024,0,0,0
stale-soft,0,6,10,26,0.465833277,0,0,0
stale-soft,0,6,11,2,0.455856323,0,0,0
stale-soft,0,6,12,3,0.449824721,0,0,0
stale-soft,0,6,13,6,0.438744813,0,0,0
stale-soft,0,6,14,16,0.420524538,0,0,0
stale-soft,0,6,15,20,0.411073267,0,0,0
stale-soft,0,6,16,8,0.40813008,0,0,0
stale-soft,0,6,17,21,0.386177063,0,0,0
stale-soft,0,6,18,9,0.36255163,0,0,0
