arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,7,0.561647296,1,0.63894558,0
stale-soft,0,0,1,12,0.473058105,1,0.108639546,0
stale-soft,0,0,2,31,0.454603672,1,0.0751095191,0
stale-soft,0,0,3,3,0.43693161,1,0.0527469553,0
stale-soft,0,0,4,2,0.430708289,1,0.0465738475,0
stale-soft,0,0,5,24,0.394612312,1,0.0226264615,0
stale-soft,0,0,6,17,0.356034935,1,0.0104601448,0
stale-soft,0,0,7,51,0.33884263,1,0.00741664274,1
stale-soft,0,0,8,20,0.338447213,1,0.00735822041,0
stale-soft,0,0,9,29,0.314982176,1,0.00460212119,0
stale-soft,0,0,10,43,0.312588125,1,0.00438695867,1
stale-soft,0,0,11,56,0.312212646,1,0.00435413746,1
stale-soft,0,0,12,52,0.306260288,1,0.00386545504,1
stale-soft,0,0,13,21,0.302018374,1,0.00355104357,0
stale-soft,0,0,14,1,0.300293922,1,0.00343065872,0
stale-soft,0,0,15,62,0.298288375,1,0.00329577457,1
stale-soft,0,0,16,47,0.287135243,1,0.00263683358,1
stale-soft,0,0,17,46,0.279376745,0,0,1
stale-soft,0,0,18,9,0.26736027,0,0,0
stale-soft,0,0,19,30,0.265048772,0,0,0
stale-soft,0,1,0,0,0.419881403,1,0.609346271,0
stale-soft,0,1,1,21,0.354571104,1,0.165038854,0
stale-soft,0,1,2,57,0.345541775,1,0.137771174,1
stale-soft,0,1,3,13,0.291280866,1,0.0465429798,0
stale-soft,0,1,4,16,0.285306096,1,0.041300755,0
stale-soft,0,1,5,27,0.259014249,0,0,0
stale-soft,0,1,6,17,0.257830501,0,0,0
stale-soft,0,1,7,72,0.256932497,0,0,2
stale-soft,0,1,8,45,0.254029363,0,0,1
stale-soft,0,1,9,18,0.246218264,0,0,0
stale-soft,0,1,10,60,0.246022075,0,0,1
stale-soft,0,1,11,9,0.245883495,0,0,0
stale-soft,0,1,12,4,0.237033784,0,0,0
stale-soft,0,1,13,34,0.235590652,0,0,1
stale-soft,0,1,14,30,0.235359371,0,0,0
stale-soft,0,1,15,15,0.231721193,0,0,0
stale-soft,0,1,16,73,0.221748605,0,0,2
stale-soft,0,1,17,7,0.219536066,0,0,0
stale-soft,0,1,18,3,0.217556641,0,0,0
stale-soft,0,1,19,6,0.215748787,0,0,0
stale-soft,0,2,0,17,0.490217954,1,0.808749497,0
stale-soft,0,2,1,52,0.331874639,1,0.0340770259,1
stale-soft,0,2,2,16,0.315382034,1,0.024502404,0
stale-soft,0,2,3,14,0.313972384,1,0.0238212552,0
stale-soft,0,2,4,2,0.311879933,1,0.0228449292,0
stale-soft,0,2,5,7,0.309613585,1,0.0218325593,0
stale-soft,0,2,6,0,0.299455732,1,0.0178186484,0
stale-soft,0,2,7,21,0.298847854,1,0.017603321,0
stale-soft,0,2,8,20,0.295441866,1,0.0164441224,0
stale-soft,0,2,9,61,0.28094855,1,0.0123061808,1
stale-soft,0,2,10,38,0.27975738,0,0,1
stale-soft,0,2,11,29,0.278287858,0,0,0
stale-soft,0,2,12,24,0.247371793,0,0,0
stale-soft,0,2,13,10,0.243271753,0,0,0
stale-soft,0,2,14,46,0.24080804,0,0,1
stale-soft,0,2,15,50,0.2350398,0,0,1
stale-soft,0,2,16,1,0.234120771,0,0,0
stale-soft,0,2,17,5,0.23057954,0,0,0
stale-soft,0,2,18,60,0.22911641,0,0,1
stale-soft,0,2,19,53,0.227930158,0,0,1
stale-soft,0,3,0,7,0.459802985,1,0.186044469,0
stale-soft,0,3,1,2,0.453600675,1,0.164340317,0
stale-soft,0,3,2,20,0.441619366,1,0.129323035,0
stale-soft,0,3,3,3,0.427501053,1,0.0975092873,0
stale-soft,0,3,4,1,0.419315547,1,0.0827841908,0
stale-soft,0,3,5,30,0.411387295,1,0.0706453696,0
stale-soft,0,3,6,17,0.400384545,1,0.0566910841,0
stale-soft,0,3,7,13,0.383125067,1,0.040142186,0
stale-soft,0,3,8,5,0.369522095,1,0.030580679,0
stale-soft,0,3,9,24,0.367125273,1,0.0291493312,0
