arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,1,0.628385901,1,0.400385648,0
stale-soft,0,0,1,11,0.617974937,1,0.325124979,0
stale-soft,0,0,2,0,0.546953976,1,0.0785542876,0
stale-soft,0,0,3,27,0.546706796,1,0.0781668872,0
stale-soft,0,0,4,3,0.510766029,1,0.0380930267,0
stale-soft,0,0,5,22,0.488659412,1,0.0244810246,0
stale-soft,0,0,6,5,0.471670777,1,0.0174288359,0
stale-soft,0,0,7,31,0.468978107,1,0.016515065,0
stale-soft,0,0,8,10,0.451215416,1,0.0115769822,0
stale-soft,0,0,9,12,0.44223237,1,0.00967318937,0
stale-soft,0,0,10,19,0.437664568,0,0,0
stale-soft,0,0,11,7,0.436201155,0,0,0
stale-soft,0,0,12,2,0.428807557,0,0,0
stale-soft,0,0,13,18,0.411803186,0,0,0
stale-soft,0,0,14,25,0.410709441,0,0,0
stale-soft,0,0,15,13,0.405787349,0,0,0
stale-soft,0,0,16,8,0.390410632,0,0,0
stale-soft,0,0,17,9,0.388930082,0,0,0
stale-soft,0,0,18,17,0.383428097,0,0,0
stale-soft,0,0,19,26,0.368110836,0,0,0
stale-soft,0,1,0,20,0.538063586,1,0.434759676,0
stale-soft,0,1,1,19,0.510639846,1,0.251217514,0
stale-soft,0,1,2,16,0.504712403,1,0.223133385,0
stale-soft,0,1,3,30,0.459806085,1,0.0908893794,0
stale-soft,0,1,4,14,0.437369227,0,0,0
stale-soft,0,1,5,4,0.428639412,0,0,0
stale-soft,0,1,6,22,0.422820538,0,0,0
stale-soft,0,1,7,24,0.40701732,0,0,0
stale-soft,0,1,8,10,0.39499563,0,0,0
stale-soft,0,1,9,2,0.390525639,0,0,0
stale-soft,0,1,10,28,0.381435961,0,0,0
stale-soft,0,1,11,17,0.37998125,0,0,0
stale-soft,0,1,12,63,0.378238231,0,0,1
stale-soft,0,1,13,6,0.366334409,0,0,0
stale-soft,0,1,14,18,0.359559655,0,0,0
stale-soft,0,1,15,7,0.356795371,0,0,0
stale-soft,0,1,16,72,0.354614526,0,0,2
stale-soft,0,1,17,9,0.352402747,0,0,0
stale-soft,0,1,18,5,0.342173606,0,0,0
stale-soft,0,1,19,11,0.324376971,0,0,0
stale-soft,0,2,0,9,0.643501759,1,0.369601697,0
stale-soft,0,2,1,30,0.59286195,1,0.134240046,0
stale-soft,0,2,2,22,0.583474755,1,0.111261733,0
stale-soft,0,2,3,5,0.573529124,1,0.0911925063,0
stale-soft,0,2,4,20,0.536631584,1,0.0435984842,0
stale-soft,0,2,5,16,0.523955166,1,0.0338349342,0
stale-soft,0,2,6,112,0.515994906,1,0.0288551487,3
stale-soft,0,2,7,27,0.510900378,1,0.0260599032,0
stale-soft,0,2,8,2,0.489843667,1,0.017103171,0
stale-soft,0,2,9,19,0.489578098,1,0.0170125756,0
stale-soft,0,2,10,1,0.48932454,1,0.016926514,0
stale-soft,0,2,11,31,0.485183686,1,0.015581185,0
stale-soft,0,2,12,14,0.479891688,1,0.0140163479,0
stale-soft,0,2,13,18,0.477484226,1,0.0133574642,0
stale-soft,0,2,14,11,0.471980751,1,0.0119652422,0
stale-soft,0,2,15,25,0.471859813,1,0.0119363284,0
stale-soft,0,2,16,24,0.470799595,1,0.0116858957,0
stale-soft,0,2,17,0,0.46799171,1,0.0110477237,0
stale-soft,0,2,18,26,0.467197716,1,0.0108736763,0
stale-soft,0,2,19,12,0.462250918,1,0.00984938256,0
stale-soft,0,3,0,11,0.701787829,1,0.513320625,0
stale-soft,0,3,1,2,0.640327096,1,0.15015769,0
stale-soft,0,3,2,1,0.638599336,1,0.145057678,0
stale-soft,0,3,3,27,0.549717724,1,0.024520237,0
stale-soft,0,3,4,13,0.548882246,1,0.0241139252,0
stale-soft,0,3,5,19,0.54854399,1,0.0239513367,0
stale-soft,0,3,6,5,0.519440353,1,0.0133825531,0
stale-soft,0,3,7,22,0.515351295,1,0.0123316655,0
stale-soft,0,3,8,7,0.512993395,1,0.0117636258,0
stale-soft,0,3,9,4,0.507440686,1,0.0105271516,0
stale-soft,0,3,10,30,0.506590247,1,0.0103496118,0
stale-soft,0,3,11,31,0.501289487,1,0.00930855423,0
stale-soft,0,3,12,25,0.497270584,1,0.00858963467,0
stale-soft,0,3,13,24,0.495025396,1,0.00821245927,0
stale-soft,0,3,14,28,0.493549705,1,0.00797361601,0
stale-soft,0,3,15,3,0.48799175,1,0.00713476818,0
stale-soft,0,3,16,26,0.475679517,1,0.00557746505,0
stale-soft,0,3,17,0,0.471565694,1,0.00513694249,0
stale-soft,0,3,18,14,0.464238048,1,0.00443667406,0
stale-soft,0,3,19,9,0.460942924,1,0.00415371545,0
stale-soft,0,4,0,7,0.630625665,1,0.274039924,0
stale-soft,0,4,1,2,0.622165561,1,0.231382221,0
stale-soft,0,4,2,28,0.611852765,1,0.18825832,0
stale-soft,0,4,3,1,0.583435416,1,0.106641009,0
stale-soft,0,4,4,11,0.579550862,1,0.0986696184,0
stale-soft,0,4,5,3,0.518609643,1,0.0291645117,0
stale-soft,0,4,6,25,0.505289793,1,0.0223439634,0
stale-soft,0,4,7,31,0.504140377,1,0.0218361691,0
stale-soft,0,4,8,19,0.475534827,1,0.0123228673,0
stale-soft,0,4,9,14,0.457288116,1,0.00855505746,0
stale-soft,0,4,10,12,0.445707411,1,0.0067863185,0
stale-soft,0,4,11,26,0.433980286,0,0,0
stale-soft,0,4,12,18,0.425989807,0,0,0
stale-soft,0,4,13,13,0.418100506,0,0,0
stale-soft,0,4,14,0,0.416903138,0,0,0
stale-soft,0,4,15,6,0.415271759,0,0,0
stale-soft,0,4,16,5,0.407598794,0,0,0
stale-soft,0,4,17,22,0.398611575,0,0,0
stale-soft,0,4,18,27,0.395151496,0,0,0
stale-soft,0,4,19,17,0.387302667,0,0,0
stale-soft,0,5,0,13,0.635370612,1,0.630077899,0
stale-soft,0,5,1,11,0.554255843,1,0.124405712,0
stale-soft,0,5,2,0,0.534196258,1,0.0832923204,0
stale-soft,0,5,3,1,0.521310091,1,0.0643690899,0
stale-soft,0,5,4,22,0.476792544,1,0.0264242534,0
stale-soft,0,5,5,5,0.475876391,1,0.02594449,0
stale-soft,0,5,6,27,0.458635986,1,0.0183779523,0
stale-soft,0,5,7,30,0.444288075,1,0.0137934377,0
stale-soft,0,5,8,8,0.442522526,1,0.0133148795,0
stale-soft,0,5,9,26,0.437744617,0,0,0
stale-soft,0,5,10,9,0.42135334,0,0,0
stale-soft,0,5,11,24,0.420159996,0,0,0
stale-soft,0,5,12,25,0.418132305,0,0,0
stale-soft,0,5,13,2,0.408579141,0,0,0
stale-soft,0,5,14,12,0.407205552,0,0,0
stale-soft,0,5,15,21,0.395459294,0,0,0
stale-soft,0,5,16,18,0.394013822,0,0,0
stale-soft,0,5,17,19,0.378403395,0,0,0
stale-soft,0,5,18,31,0.368139207,0,0,0
stale-soft,0,5,19,4,0.356682032,0,0,0
stale-soft,0,6,0,27,0.614337325,1,0.381567627,0
stale-soft,0,6,1,22,0.551588058,1,0.108777359,0
stale-soft,0,6,2,30,0.53857851,1,0.0838569403,0
stale-soft,0,6,3,4,0.537250578,1,0.0816591084,0
stale-soft,0,6,4,0,0.527816355,1,0.0676176473,0
stale-soft,0,6,5,20,0.527009845,1,0.0665356889,0
stale-soft,0,6,6,18,0.519393086,1,0.0571342222,0
stale-soft,0,6,7,11,0.511944652,1,0.049226623,0
stale-soft,0,6,8,5,0.509187102,1,0.0465852357,0
stale-soft,0,6,9,16,0.456501305,1,0.0162414704,0
