arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,28,0.511013806,1,0.321640193,0
stale-soft,0,0,1,27,0.473389536,1,0.151554942,0
stale-soft,0,0,2,19,0.469192982,1,0.139353976,0
stale-soft,0,0,3,31,0.467473805,1,0.134643897,0
stale-soft,0,0,4,26,0.424633741,1,0.0571587496,0
stale-soft,0,0,5,32,0.417533964,1,0.049592372,1
stale-soft,0,0,6,54,0.405333757,1,0.0388548449,1
stale-soft,0,0,7,22,0.373590827,1,0.0205934737,0
stale-soft,0,0,8,39,0.3690705,1,0.0188133698,1
stale-soft,0,0,9,6,0.361946911,1,0.0163151808,0
stale-soft,0,0,10,62,0.345111012,1,0.0116508352,1
stale-soft,0,0,11,57,0.340234637,1,0.010568209,1
stale-soft,0,0,12,58,0.339905381,1,0.010498845,1
stale-soft,0,0,13,21,0.335584223,1,0.00962960161,0
stale-soft,0,0,14,5,0.3329283,1,0.00913144182,0
stale-soft,0,0,15,49,0.323804587,0,0,1
stale-soft,0,0,16,63,0.320081681,0,0,1
stale-soft,0,0,17,30,0.316793531,0,0,0
stale-soft,0,0,18,15,0.315110028,0,0,0
stale-soft,0,0,19,47,0.314542174,0,0,1
stale-soft,0,1,0,3,0.557571411,1,0.947927415,0
stale-soft,0,1,1,9,0.400049984,1,0.0406032912,0
stale-soft,0,1,2,20,0.336840749,1,0.0114691947,0
stale-soft,0,1,3,2,0.279730678,0,0,0
stale-soft,0,1,4,59,0.267147511,0,0,1
stale-soft,0,1,5,30,0.253953665,0,0,0
stale-soft,0,1,6,58,0.246498168,0,0,1
stale-soft,0,1,7,56,0.219189376,0,0,1
stale-soft,0,1,8,29,0.218141317,0,0,0
stale-soft,0,1,9,6,0.193609744,0,0,0
stale-soft,0,1,10,41,0.1936014,0,0,1
stale-soft,0,1,11,104,0.190882519,0,0,3
stale-soft,0,1,12,11,0.189625829,0,0,0
stale-soft,0,1,13,4,0.187127098,0,0,0
stale-soft,0,1,14,85,0.187041551,0,0,2
stale-soft,0,1,15,75,0.179824919,0,0,2
stale-soft,0,1,16,70,0.173661351,0,0,2
stale-soft,0,1,17,7,0.170750171,0,0,0
stale-soft,0,1,18,96,0.165674984,0,0,3
stale-soft,0,1,19,123,0.164305374,0,0,3
stale-soft,0,2,0,14,0.694525599,1,0.707389057,0
stale-soft,0,2,1,28,0.60154593,1,0.110165901,0
stale-soft,0,2,2,55,0.580329299,1,0.0720712245,1
stale-soft,0,2,3,10,0.543544173,1,0.0345342718,0
stale-soft,0,2,4,54,0.526313066,1,0.0244671311,1
stale-soft,0,2,5,62,0.512892246,1,0.0187073071,1
stale-soft,0,2,6,57,0.494806796,1,0.0130293509,1
stale-soft,0,2,7,34,0.486762762,1,0.0110931136,1
stale-soft,0,2,8,0,0.424028456,1,0.00316337077,0
