policy,target,bucket,predictor,concept,n,base_rate_correct,auc,separation,orientation
margin,top1_correct,all,top1_top2_margin,rank_gap,2325,0.8378,0.4283,0.0717,-1
margin,top1_correct,all,vote_entropy,support_dispersion,2325,0.8378,0.6822,0.1822,1
margin,top1_correct,all,effective_support,manifold_support,2325,0.8378,0.6822,0.1822,1
margin,top1_correct,all,max_vote_weight,peak_mass,2325,0.8378,0.3458,0.1542,-1
margin,top1_correct,all,n_surviving_votes,support_breadth,2325,0.8378,0.7377,0.2377,1
margin,top1_correct,all,sim_floor_active,floor_level,2325,0.8378,0.7299,0.2299,1
margin,top1_correct,forced,top1_top2_margin,rank_gap,437,0.1373,0.1492,0.3508,-1
margin,top1_correct,forced,vote_entropy,support_dispersion,437,0.1373,0.7692,0.2692,1
margin,top1_correct,forced,effective_support,manifold_support,437,0.1373,0.7692,0.2692,1
margin,top1_correct,forced,max_vote_weight,peak_mass,437,0.1373,0.1853,0.3147,-1
margin,top1_correct,forced,n_surviving_votes,support_breadth,437,0.1373,0.7166,0.2166,1
margin,top1_correct,forced,sim_floor_active,floor_level,437,0.1373,0.5723,0.0723,1
margin,top1_correct,borderline,top1_top2_margin,rank_gap,61,1.0,,,1
margin,top1_correct,borderline,vote_entropy,support_dispersion,61,1.0,,,1
margin,top1_correct,borderline,effective_support,manifold_support,61,1.0,,,1
margin,top1_correct,borderline,max_vote_weight,peak_mass,61,1.0,,,1
margin,top1_correct,borderline,n_surviving_votes,support_breadth,61,1.0,,,1
margin,top1_correct,borderline,sim_floor_active,floor_level,61,1.0,,,1
margin,top1_correct,recoverable,top1_top2_margin,rank_gap,1827,1.0,,,1
margin,top1_correct,recoverable,vote_entropy,support_dispersion,1827,1.0,,,1
margin,top1_correct,recoverable,effective_support,manifold_support,1827,1.0,,,1
margin,top1_correct,recoverable,max_vote_weight,peak_mass,1827,1.0,,,1
margin,top1_correct,recoverable,n_surviving_votes,support_breadth,1827,1.0,,,1
margin,top1_correct,recoverable,sim_floor_active,floor_level,1827,1.0,,,1
margin,vote_correct,all,top1_top2_margin,rank_gap,2325,0.8568,0.382,0.118,-1
margin,vote_correct,all,vote_entropy,support_dispersion,2325,0.8568,0.723,0.223,1
margin,vote_correct,all,effective_support,manifold_support,2325,0.8568,0.723,0.223,1
margin,vote_correct,all,max_vote_weight,peak_mass,2325,0.8568,0.2962,0.2038,-1
margin,vote_correct,all,n_surviving_votes,support_breadth,2325,0.8568,0.765,0.265,1
margin,vote_correct,all,sim_floor_active,floor_level,2325,0.8568,0.7351,0.2351,1
margin,vote_correct,forced,top1_top2_margin,rank_gap,437,0.2426,0.1385,0.3615,-1
margin,vote_correct,forced,vote_entropy,support_dispersion,437,0.2426,0.8448,0.3448,1
margin,vote_correct,forced,effective_support,manifold_support,437,0.2426,0.8448,0.3448,1
margin,vote_correct,forced,max_vote_weight,peak_mass,437,0.2426,0.1248,0.3752,-1
margin,vote_correct,forced,n_surviving_votes,support_breadth,437,0.2426,0.7897,0.2897,1
margin,vote_correct,forced,sim_floor_active,floor_level,437,0.2426,0.5888,0.0888,1
margin,vote_correct,borderline,top1_top2_margin,rank_gap,61,0.9672,0.3051,0.1949,-1
margin,vote_correct,borderline,vote_entropy,support_dispersion,61,0.9672,0.3051,0.1949,-1
margin,vote_correct,borderline,effective_support,manifold_support,61,0.9672,0.3051,0.1949,-1
margin,vote_correct,borderline,max_vote_weight,peak_mass,61,0.9672,0.6017,0.1017,1
margin,vote_correct,borderline,n_surviving_votes,support_breadth,61,0.9672,0.322,0.178,-1
margin,vote_correct,borderline,sim_floor_active,floor_level,61,0.9672,0.7331,0.2331,1
margin,vote_correct,recoverable,top1_top2_margin,rank_gap,1827,1.0,,,1
margin,vote_correct,recoverable,vote_entropy,support_dispersion,1827,1.0,,,1
margin,vote_correct,recoverable,effective_support,manifold_support,1827,1.0,,,1
margin,vote_correct,recoverable,max_vote_weight,peak_mass,1827,1.0,,,1
margin,vote_correct,recoverable,n_surviving_votes,support_breadth,1827,1.0,,,1
margin,vote_correct,recoverable,sim_floor_active,floor_level,1827,1.0,,,1
relative,top1_correct,all,top1_top2_margin,rank_gap,2325,0.8378,0.4283,0.0717,-1
relative,top1_correct,all,vote_entropy,support_dispersion,2325,0.8378,0.6822,0.1822,1
relative,top1_correct,all,effective_support,manifold_support,2325,0.8378,0.6822,0.1822,1
relative,top1_correct,all,max_vote_weight,peak_mass,2325,0.8378,0.3458,0.1542,-1
relative,top1_correct,all,n_surviving_votes,support_breadth,2325,0.8378,0.7377,0.2377,1
relative,top1_correct,all,sim_floor_active,floor_level,2325,0.8378,0.7299,0.2299,1
relative,top1_correct,forced,top1_top2_margin,rank_gap,437,0.1373,0.1492,0.3508,-1
relative,top1_correct,forced,vote_entropy,support_dispersion,437,0.1373,0.7692,0.2692,1
relative,top1_correct,forced,effective_support,manifold_support,437,0.1373,0.7692,0.2692,1
relative,top1_correct,forced,max_vote_weight,peak_mass,437,0.1373,0.1853,0.3147,-1
relative,top1_correct,forced,n_surviving_votes,support_breadth,437,0.1373,0.7166,0.2166,1
relative,top1_correct,forced,sim_floor_active,floor_level,437,0.1373,0.5723,0.0723,1
relative,top1_correct,borderline,top1_top2_margin,rank_gap,61,1.0,,,1
relative,top1_correct,borderline,vote_entropy,support_dispersion,61,1.0,,,1
relative,top1_correct,borderline,effective_support,manifold_support,61,1.0,,,1
relative,top1_correct,borderline,max_vote_weight,peak_mass,61,1.0,,,1
relative,top1_correct,borderline,n_surviving_votes,support_breadth,61,1.0,,,1
relative,top1_correct,borderline,sim_floor_active,floor_level,61,1.0,,,1
relative,top1_correct,recoverable,top1_top2_margin,rank_gap,1827,1.0,,,1
relative,top1_correct,recoverable,vote_entropy,support_dispersion,1827,1.0,,,1
relative,top1_correct,recoverable,effective_support,manifold_support,1827,1.0,,,1
relative,top1_correct,recoverable,max_vote_weight,peak_mass,1827,1.0,,,1
relative,top1_correct,recoverable,n_surviving_votes,support_breadth,1827,1.0,,,1
relative,top1_correct,recoverable,sim_floor_active,floor_level,1827,1.0,,,1
relative,vote_correct,all,top1_top2_margin,rank_gap,2325,0.8568,0.382,0.118,-1
relative,vote_correct,all,vote_entropy,support_dispersion,2325,0.8568,0.723,0.223,1
relative,vote_correct,all,effective_support,manifold_support,2325,0.8568,0.723,0.223,1
relative,vote_correct,all,max_vote_weight,peak_mass,2325,0.8568,0.2962,0.2038,-1
relative,vote_correct,all,n_surviving_votes,support_breadth,2325,0.8568,0.765,0.265,1
relative,vote_correct,all,sim_floor_active,floor_level,2325,0.8568,0.7351,0.2351,1
relative,vote_correct,forced,top1_top2_margin,rank_gap,437,0.2426,0.1385,0.3615,-1
relative,vote_correct,forced,vote_entropy,support_dispersion,437,0.2426,0.8448,0.3448,1
relative,vote_correct,forced,effective_support,manifold_support,437,0.2426,0.8448,0.3448,1
relative,vote_correct,forced,max_vote_weight,peak_mass,437,0.2426,0.1248,0.3752,-1
relative,vote_correct,forced,n_surviving_votes,support_breadth,437,0.2426,0.7897,0.2897,1
relative,vote_correct,forced,sim_floor_active,floor_level,437,0.2426,0.5888,0.0888,1
relative,vote_correct,borderline,top1_top2_margin,rank_gap,61,0.9672,0.3051,0.1949,-1
relative,vote_correct,borderline,vote_entropy,support_dispersion,61,0.9672,0.3051,0.1949,-1
relative,vote_correct,borderline,effective_support,manifold_support,61,0.9672,0.3051,0.1949,-1
relative,vote_correct,borderline,max_vote_weight,peak_mass,61,0.9672,0.6017,0.1017,1
relative,vote_correct,borderline,n_surviving_votes,support_breadth,61,0.9672,0.322,0.178,-1
relative,vote_correct,borderline,sim_floor_active,floor_level,61,0.9672,0.7331,0.2331,1
relative,vote_correct,recoverable,top1_top2_margin,rank_gap,1827,1.0,,,1
relative,vote_correct,recoverable,vote_entropy,support_dispersion,1827,1.0,,,1
relative,vote_correct,recoverable,effective_support,manifold_support,1827,1.0,,,1
relative,vote_correct,recoverable,max_vote_weight,peak_mass,1827,1.0,,,1
relative,vote_correct,recoverable,n_surviving_votes,support_breadth,1827,1.0,,,1
relative,vote_correct,recoverable,sim_floor_active,floor_level,1827,1.0,,,1
pooled,top1_correct,all,top1_top2_margin,rank_gap,4650,0.8378,0.4283,0.0717,-1
pooled,top1_correct,all,vote_entropy,support_dispersion,4650,0.8378,0.6822,0.1822,1
pooled,top1_correct,all,effective_support,manifold_support,4650,0.8378,0.6822,0.1822,1
pooled,top1_correct,all,max_vote_weight,peak_mass,4650,0.8378,0.3458,0.1542,-1
pooled,top1_correct,all,n_surviving_votes,support_breadth,4650,0.8378,0.7377,0.2377,1
pooled,top1_correct,all,sim_floor_active,floor_level,4650,0.8378,0.7299,0.2299,1
pooled,top1_correct,forced,top1_top2_margin,rank_gap,874,0.1373,0.1492,0.3508,-1
pooled,top1_correct,forced,vote_entropy,support_dispersion,874,0.1373,0.7692,0.2692,1
pooled,top1_correct,forced,effective_support,manifold_support,874,0.1373,0.7692,0.2692,1
pooled,top1_correct,forced,max_vote_weight,peak_mass,874,0.1373,0.1853,0.3147,-1
pooled,top1_correct,forced,n_surviving_votes,support_breadth,874,0.1373,0.7166,0.2166,1
pooled,top1_correct,forced,sim_floor_active,floor_level,874,0.1373,0.5723,0.0723,1
pooled,top1_correct,borderline,top1_top2_margin,rank_gap,122,1.0,,,1
pooled,top1_correct,borderline,vote_entropy,support_dispersion,122,1.0,,,1
pooled,top1_correct,borderline,effective_support,manifold_support,122,1.0,,,1
pooled,top1_correct,borderline,max_vote_weight,peak_mass,122,1.0,,,1
pooled,top1_correct,borderline,n_surviving_votes,support_breadth,122,1.0,,,1
pooled,top1_correct,borderline,sim_floor_active,floor_level,122,1.0,,,1
pooled,top1_correct,recoverable,top1_top2_margin,rank_gap,3654,1.0,,,1
pooled,top1_correct,recoverable,vote_entropy,support_dispersion,3654,1.0,,,1
pooled,top1_correct,recoverable,effective_support,manifold_support,3654,1.0,,,1
pooled,top1_correct,recoverable,max_vote_weight,peak_mass,3654,1.0,,,1
pooled,top1_correct,recoverable,n_surviving_votes,support_breadth,3654,1.0,,,1
pooled,top1_correct,recoverable,sim_floor_active,floor_level,3654,1.0,,,1
pooled,vote_correct,all,top1_top2_margin,rank_gap,4650,0.8568,0.382,0.118,-1
pooled,vote_correct,all,vote_entropy,support_dispersion,4650,0.8568,0.723,0.223,1
pooled,vote_correct,all,effective_support,manifold_support,4650,0.8568,0.723,0.223,1
pooled,vote_correct,all,max_vote_weight,peak_mass,4650,0.8568,0.2962,0.2038,-1
pooled,vote_correct,all,n_surviving_votes,support_breadth,4650,0.8568,0.765,0.265,1
pooled,vote_correct,all,sim_floor_active,floor_level,4650,0.8568,0.7351,0.2351,1
pooled,vote_correct,forced,top1_top2_margin,rank_gap,874,0.2426,0.1385,0.3615,-1
pooled,vote_correct,forced,vote_entropy,support_dispersion,874,0.2426,0.8448,0.3448,1
pooled,vote_correct,forced,effective_support,manifold_support,874,0.2426,0.8448,0.3448,1
pooled,vote_correct,forced,max_vote_weight,peak_mass,874,0.2426,0.1248,0.3752,-1
pooled,vote_correct,forced,n_surviving_votes,support_breadth,874,0.2426,0.7897,0.2897,1
pooled,vote_correct,forced,sim_floor_active,floor_level,874,0.2426,0.5888,0.0888,1
pooled,vote_correct,borderline,top1_top2_margin,rank_gap,122,0.9672,0.3051,0.1949,-1
pooled,vote_correct,borderline,vote_entropy,support_dispersion,122,0.9672,0.3051,0.1949,-1
pooled,vote_correct,borderline,effective_support,manifold_support,122,0.9672,0.3051,0.1949,-1
pooled,vote_correct,borderline,max_vote_weight,peak_mass,122,0.9672,0.6017,0.1017,1
pooled,vote_correct,borderline,n_surviving_votes,support_breadth,122,0.9672,0.322,0.178,-1
pooled,vote_correct,borderline,sim_floor_active,floor_level,122,0.9672,0.7331,0.2331,1
pooled,vote_correct,recoverable,top1_top2_margin,rank_gap,3654,1.0,,,1
