split,target,model,n_train,n_test,train_auc,heldout_auc,note
parity,vote_correct,baseline:rank_gap,1671,1849,0.8435,0.8321,
parity,vote_correct,baseline:support_breadth,1671,1849,0.6853,0.6653,
parity,vote_correct,baseline:manifold_support,1671,1849,0.7982,0.7757,
parity,vote_correct,main:rank_gap+manifold_support,1671,1849,0.8502,0.8376,
parity,vote_correct,diag:rank_gap+manifold_support+support^2,1671,1849,0.853,0.8407,
parity,top1_correct,baseline:rank_gap,1671,1849,0.8498,0.8509,
parity,top1_correct,baseline:support_breadth,1671,1849,0.6522,0.6501,
parity,top1_correct,baseline:manifold_support,1671,1849,0.7532,0.7429,
parity,top1_correct,main:rank_gap+manifold_support,1671,1849,0.8498,0.8506,
parity,top1_correct,diag:rank_gap+manifold_support+support^2,1671,1849,0.8538,0.855,
contiguous,vote_correct,baseline:rank_gap,1209,2311,0.8648,0.8243,
contiguous,vote_correct,baseline:support_breadth,1209,2311,0.7596,0.6508,
contiguous,vote_correct,baseline:manifold_support,1209,2311,0.8312,0.7692,
contiguous,vote_correct,main:rank_gap+manifold_support,1209,2311,0.8649,0.8309,
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,1209,2311,0.8896,0.8276,
contiguous,top1_correct,baseline:rank_gap,1209,2311,0.8675,0.8417,
contiguous,top1_correct,baseline:support_breadth,1209,2311,0.683,0.6354,
contiguous,top1_correct,baseline:manifold_support,1209,2311,0.7525,0.7468,
contiguous,top1_correct,main:rank_gap+manifold_support,1209,2311,0.8701,0.841,
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,1209,2311,0.8729,0.8436,
